,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1592668463293779968,2022-11-15 23:58:46+00:00,chicagosportshq,ICYMI: #Bears running back placed on injured reserve https://t.co/MrllpdsUA3,['Bears'],0,0,,,icymi running back placed injured reserve,-0.4019,0.0,-0.4019,False
2,1592668462786269186,2022-11-15 23:58:46+00:00,dabearshq,ICYMI: #Bears running back placed on injured reserve https://t.co/lSoWBpB8C6,['Bears'],0,0,,,icymi running back placed injured reserve,-0.4019,0.0,-0.4019,False
3,1592667246463094785,2022-11-15 23:53:56+00:00,VOODOOx07,"If the #Bears could add 
Olumuyiwa Fashanu and Andrew Vorhees to the OL, in the draft, I’d be very happy. Then add maybe one more OL and focus the rest of D and WR.",['Bears'],1,0,,,could add olumuyiwa fashanu andrew vorhees ol draft happy add maybe one ol focus rest wr,0.5719,0.8,1.3719000000000001,True
4,1592667010156175360,2022-11-15 23:53:00+00:00,bears_insider,Can the #Bears offense fix its fourth-quarter woes? https://t.co/Dtx0bLRvGE,['Bears'],4,0,,,offense fix fourth quarter woes,-0.5994,0.0,-0.5994,False
5,1592666760162856960,2022-11-15 23:52:00+00:00,BearsViews,UNC football hopes to ride momentum from NAU win into final weekend #Bears #ChicagoBears #BearsNation #DaBears https://t.co/RMwjqFknGf,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,unc football hopes ride momentum nau win final weekend,0.765,0.4,1.165,True
6,1592666659361550336,2022-11-15 23:51:36+00:00,TomOMalley23,@TheDraftNetwork @TheJoeMarino @SMUFB @RiceRashee11 Love him. Really want to see him teamed up with Justin Fields #Bears,['Bears'],0,0,"[User(username='TheDraftNetwork', id=70624996, displayname='The Draft Network', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheJoeMarino', id=1395654318, displayname='Joe Marino', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SMUFB', id=312737543, displayname='SMU FootbaIl', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RiceRashee11', id=1188255272743178241, displayname='Doub11e_R', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,love really want see teamed justin fields,0.6997,0.35,1.0497,True
8,1592665880936480768,2022-11-15 23:48:30+00:00,ReyMDiaz,"If you missed @TJenkinsElite’s breakdown of #Bears QB Justin Fields today on @BernsyHolmes, check it out now!

⬇️ https://t.co/hvEY2UoouI",['Bears'],0,0,"[User(username='TJenkinsElite', id=414560006, displayname='Tim Jenkins', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BernsyHolmes', id=138061211, displayname='Bernstein & Holmes Show', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,missed breakdown qb justin fields today check,-0.296,0.0,-0.296,False
9,1592665147847323648,2022-11-15 23:45:36+00:00,rydotc,Need the #MUT market to crash so I can afford a #Bears TT,"['MUT', 'Bears']",0,0,,,need market crash afford tt,-0.4019,0.0,-0.4019,False
13,1592663684434001921,2022-11-15 23:39:47+00:00,BryKno,"The #Bears also can be eliminated from the #1 seed with a loss and a win by any one of WAS/NYG/PHI.  Chicago's tiebreakers are so bad, y'all, and they've already lost to the Commanders and Giants.

Lots of guaranteed wins left in the East, as everyone still plays one another. https://t.co/6l11W1IhmD",['Bears'],0,0,,,also eliminated seed loss win one nyg phi chicagos tiebreakers bad yall theyve already lost commanders giants lots guaranteed wins left east everyone still plays one another,0.34,0.10000000000000005,0.44000000000000006,True
14,1592663680155799552,2022-11-15 23:39:46+00:00,BryKno,"Alright, fixed a couple tiebreaker errors, so this should be corrected now.  Let's do Week 11 elimination scenarios!

No one can be eliminated from the playoffs entirely, but the #Bears can get knocked out of the NFC North with a loss and a Vikings win.  That's your headline. https://t.co/Ne8qO09WpE",['Bears'],1,0,,,alright fixed couple tiebreaker errors corrected lets week 11 elimination scenarios one eliminated playoffs entirely get knocked nfc north loss vikings win thats headline,-0.4336,0.3,-0.1336,False
