,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1595203264923959296,2022-11-22 23:51:10+00:00,Zack_Pearson,#Bears QB Justin Fields is set to met the media on his normal day tomorrow per the updated schedule. The only change is that it’s AFTER practice. Not before.,['Bears'],341,14,,,qb justin fields set met media normal day tomorrow per updated schedule change practice,0.0,0.15,0.15,True
2,1595203223094263808,2022-11-22 23:51:00+00:00,BearsViews,Houston-Carson chosen as Bears' nominee for Sportsmanship Award #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/51SdsxFIHj,"['BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,houston carson chosen bears nominee sportsmanship award,0.5423,0.0,0.5423,True
4,1595200957834563584,2022-11-22 23:42:00+00:00,BearsViews,And Just Like That the Bears Are in Play for the No. 2 Overall Pick #BearsBlog #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/SzPOuAU5Uu,"['BearsBlog', 'BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,like bears play 2 overall pick,0.5994,0.0,0.5994,True
5,1595200706285539328,2022-11-22 23:41:00+00:00,BearsViews,NFC North Week 12 power rankings: Lions are on the way up #BearsNation #DaBears #MonstersOfTheMidway #Bears https://t.co/6uC4TbdFir,"['BearsNation', 'DaBears', 'MonstersOfTheMidway', 'Bears']",0,0,,,nfc north week 12 power rankings lions way,-0.5719,0.0,-0.5719,False
7,1595199911850659843,2022-11-22 23:37:51+00:00,chibears99,"@UnfilteredNBC @markgrotesports @rob_schaef @ChuckGarfien @NBCSChicago They should draft a QB and also bring in a QB like @RGIII who has/had the same style of play as @justnfields and can work with him.
If he is needed to play and or make starts, he wouldn't have trouble running the offense they have set up for Fields.
#Bears",['Bears'],0,0,"[User(username='UnfilteredNBC', id=100598125, displayname='Unfiltered with David Kaplan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='markgrotesports', id=284245418, displayname='Mark Grote', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='rob_schaef', id=396937770, displayname='Rob Schaefer', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChuckGarfien', id=46933773, displayname='Chuck Garfien', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NBCSChicago', id=20460897, displayname='NBC Sports Chicago', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RGIII', id=498961017, displayname='Robert Griffin III', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='justnfields', id=2641158161, displayname='Justin Fields', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,draft qb also bring qb like style play work needed play make starts wouldnt trouble running offense set fields,0.8518,-0.2,0.6517999999999999,True
8,1595199524926103553,2022-11-22 23:36:18+00:00,SNParker_,"The result of the #Steelers trading Chase Claypool to the #Bears could end up being equivalent to a first round pick.

https://t.co/hKd7ROH5Gf","['Steelers', 'Bears']",55,7,,,result trading chase claypool could end equivalent first round pick,0.0,0.024999999999999994,0.024999999999999994,True
9,1595198329041870851,2022-11-22 23:31:33+00:00,terryehl,"@PaulCharchian Think I can speak for 90% + of #Bears fans when I say this is the happiest 3-8 we’ve ever been as a fan base. In a total rebuild phase we finally have our 1st ever franchise QB. Some nice young building blocks.  Most 2023 cap space. Now @ pick 3 next year, trade down major haul.",['Bears'],2,0,"[User(username='PaulCharchian', id=43898331, displayname='Paul Charchian', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,think speak 90 fans say happiest 3 8 ever fan base total rebuild phase finally 1st ever franchise qb nice young building blocks 2023 cap space pick 3 next year trade major haul,0.8126,-0.005357142857142866,0.8072428571428572,True
10,1595198190449369089,2022-11-22 23:31:00+00:00,BearsViews,"Chicago Bears vs. New York Jets odds, tips and betting trends | Week 12 #BearsNation #DaBears #MonstersOfTheMidway #Bears https://t.co/W2bIXdRamO","['BearsNation', 'DaBears', 'MonstersOfTheMidway', 'Bears']",2,0,,,chicago bears vs new york jets odds tips betting trends week 12,0.0,0.13636363636363635,0.13636363636363635,True
11,1595197938673897473,2022-11-22 23:30:00+00:00,BearsViews,Bears defense has Justin Fields' back after he tried to apologize for Falcons loss #BearsNation #DaBears #MonstersOfTheMidway #Bears https://t.co/ayUHX6WicL,"['BearsNation', 'DaBears', 'MonstersOfTheMidway', 'Bears']",0,0,,,bears defense justin fields back tried apologize falcons loss,-0.1027,0.0,-0.1027,False
12,1595197739205365760,2022-11-22 23:29:13+00:00,jacobinfante24,"Justin Fields still struggles sometimes with holding onto the ball for too long and failing to throw it away.

But his speed has gotten him out of many more sacks that poor pass protection and separation have caused. #Bears may realize that the hard way without him at QB.",['Bears'],222,6,,,justin fields still struggles sometimes holding onto ball long failing throw away speed gotten many sacks poor pass protection separation caused may realize hard way without qb,-0.8519,-0.060416666666666674,-0.9123166666666667,False
