,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
2,1579983185315708929,2022-10-11 23:52:00+00:00,BearsViews,Andy Dalton could start third game for third team in three seasons against Cincinnati #Bears #ChicagoBears #BearsNation #DaBears https://t.co/v04eXq8hw5,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,andy dalton could start third game third team three seasons cincinnati,0.0,-0.13333333333333333,-0.13333333333333333,False
5,1579982722751422465,2022-10-11 23:50:10+00:00,MarcD1075,If the Panthers are truly sellers then the #Bears &amp; #Colts should be dialing their number early and often.,"['Bears', 'Colts']",4,1,,,panthers truly sellers amp dialing number early often,0.4939,0.1,0.5939,True
6,1579981969563463680,2022-10-11 23:47:10+00:00,TheRedzoneorg,Week 6 Tuesday Commanders and Bears Injury Report https://t.co/j05eW45wz0  #NFL #Commanders #Bears,"['NFL', 'Commanders', 'Bears']",0,0,,,week 6 tuesday commanders bears injury report,-0.4215,0.0,-0.4215,False
7,1579981012704325634,2022-10-11 23:43:22+00:00,dog884,@ChicagoBears @Hyundai This orange stuff is stupid for the #Bears . Why all of these insults to Papa 🐻 Bear?,['Bears'],0,0,"[User(username='ChicagoBears', id=47964412, displayname='Chicago Bears', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Hyundai', id=26007726, displayname='Hyundai USA', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,orange stuff stupid insults papa bear,-0.7351,-0.7999999999999999,-1.5351,False
8,1579980667537879040,2022-10-11 23:42:00+00:00,BearsViews,Chicago Bears climb in some polls even after loss #Bears #ChicagoBears #BearsNation #DaBears https://t.co/MK9GDGR3yi,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,chicago bears climb polls even loss,-0.3182,0.0,-0.3182,False
9,1579980633136566274,2022-10-11 23:41:52+00:00,Jake_B30,"Against the 49ers (7) Vikings (1.6) and Texans (.2) they scored more than what those teams allow

The Giants and Packers are the only teams that they helped make the scores look better 

#Bears https://t.co/CI1BROlswG",['Bears'],1,0,,,49ers 7 vikings 1 6 texans 2 scored teams allow giants packers teams helped make scores look better,0.5859,0.5,1.0859,True
10,1579980429868007424,2022-10-11 23:41:03+00:00,dailyherald,"Mass hysteria? That's not for #Bears QB Justin Fields, who talks about why it's important to be himself during games. @johndietzdh https://t.co/SskqsQAzL9",['Bears'],0,0,"[User(username='johndietzdh', id=64459082, displayname='John Dietz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,mass hysteria thats qb justin fields talks important games,-0.2732,0.4,0.12680000000000002,True
11,1579980419881086977,2022-10-11 23:41:01+00:00,BearsViews,Jaylon Johnson listed as full participant in Bears practice #Bears #ChicagoBears #BearsNation #DaBears https://t.co/78zLIqqKdY,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,jaylon johnson listed full participant bears practice,0.0,0.35,0.35,True
12,1579980269716910081,2022-10-11 23:40:25+00:00,JeffsBearsTakes,Not looking good for #DaBears  pass rush. Robert Quinn has looked more like the most overpaid pass rusher in the league from 2020 than the Bears single season sack record holder of last year https://t.co/lpgkV8D6Lx,['DaBears'],0,0,,,looking good pass rush robert quinn looked like overpaid pass rusher league 2020 bears single season sack record holder last year,0.6597,0.20952380952380953,0.8692238095238095,True
13,1579980128146231296,2022-10-11 23:39:51+00:00,BradBiggs,"#Bears brought in P Ryan Anderson for a tryout today. He is left-footed and it's got get returners work with spin coming from a lefty.

#Commanders P Tress Way is left-footed. He was in camp with Bears in 2013 and has since become one of the best in the NFL.","['Bears', 'Commanders']",262,14,,,brought p ryan anderson tryout today left footed got get returners work spin coming lefty p tress way left footed camp bears 2013 since become one best nfl,0.6369,0.3333333333333333,0.9702333333333333,True
