,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1587595290328301568,2022-11-01 23:59:47+00:00,Jake_B30,"I’m just glad Poles made a move I actually like so people don’t think I’m 1 sided

I’ve already said I liked the Brisker pick, I just felt like Fields deserved a proven WR or OL

I feel strongly about Fields’ capabilities, but needed a “this is for Fields” move &amp; got it

#Bears",['Bears'],24,0,,,glad poles made move actually like people think 1 sided already said liked brisker pick felt like fields deserved proven wr ol feel strongly fields capabilities needed fields move amp got,0.8979,0.38333333333333336,1.2812333333333334,True
2,1587594545553874945,2022-11-01 23:56:50+00:00,ErikLambert1,"Here's the way I see it.

There are 4 games left on the schedule I would call winnable.

vs. Lions
@ Falcons
@ Jets
@ Lions

Three on the road and two of those teams have good offenses going against a #Bears defense that just lost its two biggest leaders. https://t.co/dQjZNSSOp7",['Bears'],30,3,,,heres way see 4 games left schedule would call winnable vs lions falcons jets lions three road two teams good offenses going defense lost two biggest leaders,0.34,0.35,0.69,True
3,1587594026311901184,2022-11-01 23:54:46+00:00,LifelongRealty,"Random fact: the grizzly bear is the official state animal of California but no grizzly bears have been seen there since 1922. 

Do you know your state animal

#stateanimal #grizzlybear #california #bears #bear
#Lifelong https://t.co/LCQ52WHO3s","['stateanimal', 'grizzlybear', 'california', 'bears', 'bear', 'Lifelong']",0,0,,,random fact grizzly bear official state animal california grizzly bears seen since 1922 know state animal,0.0,-0.5,-0.5,False
5,1587593460961402882,2022-11-01 23:52:31+00:00,CBWriter07,"@ChaseClaypool We will miss you in Pittsburgh, but hope you find happiness and success in Chicago. Checking in on you from time to time to see how you and the Bears are doing! #Steelers #Bears #NFLTradeDeadline","['Steelers', 'Bears', 'NFLTradeDeadline']",1,0,"[User(username='ChaseClaypool', id=840969061, displayname='Chase Claypool', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,miss pittsburgh hope find happiness success chicago checking time time see bears,0.8625,0.5,1.3625,True
6,1587593460118441984,2022-11-01 23:52:31+00:00,sqa4188,"If you aren’t happy with this you must not like PROGRESS

#Bears https://t.co/ytRxUJsTuF",['Bears'],0,0,,,happy must like progress,0.8402,0.8,1.6402,True
7,1587593456096088064,2022-11-01 23:52:30+00:00,clayharbs82,"Ok let’s settle this. 

Are you happy about the Bears move to acquire Chase Claypool?  #DaBears #Bears","['DaBears', 'Bears']",20,1,,,ok let settle happy bears move acquire chase claypool,0.7096,0.65,1.3596,True
8,1587593329964945410,2022-11-01 23:52:00+00:00,BearsViews,New Bears WR Chase Claypool #BearsPhotos #BearsFootball #DaBears #BearDown #BearsFans https://t.co/P832LlQho3,"['BearsPhotos', 'BearsFootball', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,new bears wr chase claypool,0.0,0.13636363636363635,0.13636363636363635,True
9,1587593215573909509,2022-11-01 23:51:33+00:00,bluegrasskings,"We tryna win the super bowl not have the best got damn roster &amp; that's why I be callin him lame. What if you build the greatest roster ever in the NFL, but don't ever win a Superbowl is my point &amp; he's got us a beautiful roster, but you let the best LB in the NFL go🤬 #bears 🤔 https://t.co/DWz1GYqcY5",['bears'],0,0,,,tryna win super bowl best got damn roster amp thats callin lame build greatest roster ever nfl dont ever win superbowl point amp hes got us beautiful roster let best lb nfl go,0.9764,0.6604166666666667,1.6368166666666668,True
10,1587593215447863296,2022-11-01 23:51:33+00:00,bluegrasskings,85 bears🤔🤬U sound just a retarded as the move he made wit Quan #bears ain't nothin he can say that's fine justify that move when we got all dat damn cap money especially after he let Quinn go so save the sob stories flus &amp; poles @BoJack4🏆 dat was some snake azz shid yall did🎯 https://t.co/CWxMX7icml,['bears'],0,0,"[User(username='BoJack4', id=482107784, displayname='Eddie Jackson', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,85 bears u sound retarded move made wit quan aint nothin say thats fine justify move got dat damn cap money especially let quinn go save sob stories flus amp poles dat snake azz shid yall,-0.5267,0.004166666666666666,-0.5225333333333333,False
11,1587593196909039617,2022-11-01 23:51:28+00:00,ErikLambert1,"Always a possibility. The key is having QB on the board another team wants bad enough.

#Bears https://t.co/dGv1DwTYT1",['Bears'],29,1,,,always possibility key qb board another team wants bad enough,-0.5423,-0.12499999999999996,-0.6673,False
12,1587593078029914114,2022-11-01 23:51:00+00:00,BearsViews,Roster Move: Bears agree to acquire Chase Claypool in trade with Steelers #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/bdq1WNWrml,"['BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,roster move bears agree acquire chase claypool trade steelers,0.3612,0.0,0.3612,True
13,1587592838619037697,2022-11-01 23:50:03+00:00,Schrock_And_Awe,"Final call for #Bears overreactions/reactions to the Roquan trade, Claypool deal and Cowboys loss. Fire away.",['Bears'],25,2,,,final call overreactions reactions roquan trade claypool deal cowboys loss fire away,-0.5719,0.0,-0.5719,False
15,1587592437530497024,2022-11-01 23:48:27+00:00,ThatFFBaller,"Fields will benefit hugely with the addition of Claypool, especially now he's finding his groove and the team are building a playbook around him #FantasyFootball #FantasyFootballleague #BearsNation #Bears #NFL #NFLTwitter","['FantasyFootball', 'FantasyFootballleague', 'BearsNation', 'Bears', 'NFL', 'NFLTwitter']",3,0,,,fields benefit hugely addition claypool especially hes finding groove team building playbook around,0.4588,0.20000000000000004,0.6588,True
16,1587592391728537607,2022-11-01 23:48:16+00:00,ErikLambert1,"They'll need a top 3 pick.

They have lots of stiff competition for that.

#Bears https://t.co/pKTz4Svj2o",['Bears'],26,0,,,theyll need top 3 pick lots stiff competition,0.2023,0.14285714285714285,0.34515714285714283,True
