,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1564402130362007553,2022-08-29 23:58:27+00:00,usaydkoshul,"Regarding the #Bears and Teven Jenkins: 

You don't trade a player who's excelled at right guard unless you believe a true upgrade is available on the market that would significantly alter the outlook of the offensive line.",['Bears'],42,1,,,regarding teven jenkins dont trade player whos excelled right guard unless believe true upgrade available market would significantly alter outlook offensive line,0.4588,0.3526785714285714,0.8114785714285714,True
1,1564402069162934272,2022-08-29 23:58:13+00:00,gabby_h11,".@Darnell_M1 said the #Bears offense showed a glimpse of its identity in the preseason finale: 

“Just let Justin [Fields] do his thing and have him comfortable wherever he wants to be, and we just get in the right spot.""

https://t.co/bikccDXCjf",['Bears'],2,0,"[User(username='Darnell_M1', id=3228565465, displayname='Darnell Mooney', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,said offense showed glimpse identity preseason finale let justin thing comfortable wherever wants get right spot,0.3182,0.29523809523809524,0.6134380952380952,True
2,1564402052519845889,2022-08-29 23:58:09+00:00,blakelewis26,"As a #Bears fan and a NFL fan, this trade proposal make no sense to me. https://t.co/uUSC1enT3M",['Bears'],1,0,,,fan nfl fan trade proposal make sense,0.5574,0.0,0.5574,True
4,1564397418254319616,2022-08-29 23:39:44+00:00,BearsOnTap,"We present to you a realistic guide to the 2022 Chicago Bears season. #DaBears

https://t.co/bLrTI00Mzf",['DaBears'],2,2,,,present realistic guide 2022 chicago bears season,0.0,0.08333333333333333,0.08333333333333333,True
5,1564397136904654849,2022-08-29 23:38:37+00:00,OnTapSportsNet,"Everyone in Chicago is excited for football season and have high hopes. However, @PremierAmp provides his realistic guide to the 2022 season for the #Bears. 

@BearsOnTap | #DaBears 
https://t.co/dLSj2UBETT","['Bears', 'DaBears']",10,5,"[User(username='PremierAmp', id=355691470, displayname='PremierAmp', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BearsOnTap', id=1110599572466925569, displayname='Bears On Tap', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,everyone chicago excited football season high hopes however provides realistic guide 2022 season,0.6369,0.2338888888888889,0.870788888888889,True
6,1564396227130703872,2022-08-29 23:35:00+00:00,sean_hammond,"As regular season approaches, #Bears rookie CB Kyler Gordon is ‘ready to take it on’ https://t.co/rz7KiyTJ1Y",['Bears'],4,1,,,regular season approaches rookie cb kyler gordon ready take,0.3612,0.1,0.46120000000000005,True
8,1564395267591380992,2022-08-29 23:31:11+00:00,MEdwardCanter,"Bears Cut Three More Players via @Bearslnsider #DaBears #NFLCuts 
https://t.co/JluTBCmRqx","['DaBears', 'NFLCuts']",0,0,"[User(username='Bearslnsider', id=1314005118711283712, displayname='Bears Insider', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,bears cut three players via,-0.2732,0.0,-0.2732,False
10,1564394489493344256,2022-08-29 23:28:05+00:00,JF_2DM,@_tonyjefferson If only yall seen how many tweets i sent to him telling him to come to the #Bears smh goodluck to you tho 🐻⬇️,['Bears'],0,0,"[User(username='_tonyjefferson', id=806681055889485824, displayname='Tony Jefferson II', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,yall seen many tweets sent telling come smh goodluck tho,-0.3182,0.5,0.18180000000000002,True
11,1564394169640095744,2022-08-29 23:26:49+00:00,365Scores,"Our @arwootton covered the NFC North's best bets with his latest #NFL divisional preview!

Check out his breakdown of:
💸 #GoPackGo 
💸 Kirk Cousins and Justin Jefferson #Vikings
💰 Dan Campbell's muscles #Lions 
💰 Justin Fields' outlook #Bears 

https://t.co/EUCr4q6w1A","['NFL', 'GoPackGo', 'Vikings', 'Lions', 'Bears']",3,0,"[User(username='arwootton', id=60871489, displayname='Anthony Wootton', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,covered nfc norths best bets latest divisional preview check breakdown kirk cousins justin jefferson dan campbells muscles justin fields outlook,0.128,0.75,0.878,True
14,1564392326914383872,2022-08-29 23:19:30+00:00,TimmyDFootball,"Great thought-provoking post. But I this is an easy one. 
I wont say a bust but #JustinFields will be the one who struggles professionally.  I see him as a career backup after his rookie contract is up for the #Bears.

#TreyLance #NFL #49ers #football #timdanielfootball https://t.co/v5X3LMBGEq","['JustinFields', 'Bears', 'TreyLance', 'NFL', '49ers', 'football', 'timdanielfootball']",1,0,,,great thought provoking post easy one wont say bust one struggles professionally see career backup rookie contract,0.5719,0.4444444444444445,1.0163444444444445,True
