,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1558604140548444160,2022-08-13 23:59:19+00:00,_TalkSportsCLE,It sickens me to say this because I love my #Browns but Pickens is about to be a problem,['Browns'],1,0,,,it sickens me say this because i love my but pickens is about be problem,"{'neg': 0.29, 'neu': 0.574, 'pos': 0.136, 'compound': -0.4497}",False,-0.4497
1,1558603823475720192,2022-08-13 23:58:03+00:00,jrod9176,Amazing sunset tonight!! Go #Browns https://t.co/ZhHfBa4BAe,['Browns'],17,1,,"Coordinates(longitude=-79.975455, latitude=32.639107)",amazing sunset tonight go,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}",True,0.5859
2,1558603343076925440,2022-08-13 23:56:09+00:00,thehorne01,Ill take it 🙌🏼#browns,['browns'],2,0,,,ill take it,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}",False,-0.4215
3,1558601943840432130,2022-08-13 23:50:35+00:00,JXDubs727,The amount of #Browns fans I saw saying they don't want him was a TON. https://t.co/CXMTKGtuhi,['Browns'],2,0,,,amount fans i saw saying they dont want him was ton,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.0572}",False,-0.0572
4,1558601918469095425,2022-08-13 23:50:29+00:00,romans_duffie,"@jeffzrebiec @N7Cable September 13, 2020 BAL vs CLE
15:00 left in the 4th quarter
1st and 10 on CLE 20 yard line
(SHOTGUN) BAL rushed to the LEFT END for 0 yards.

#NFL #RavensFlock #Browns https://t.co/khOP5YAb7y","['NFL', 'RavensFlock', 'Browns']",0,0,"[User(username='jeffzrebiec', id=245132050, displayname='Jeff Zrebiec', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='N7Cable', id=777258026, displayname='Jay', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,september 13 2020 bal vs cle 15 00 left 4th quarter 1st 10 cle 20 yard line shotgun bal rushed left end 0 yards,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1558601797413093376,2022-08-13 23:50:00+00:00,BrownsChat,Kevin Stefanski: Browns are getting Jacoby Brissett ready for Week One #ClevelandBrowns #Browns #BrownsNation #GoBrowns #yahoo https://t.co/bJze5D9C6d,"['ClevelandBrowns', 'Browns', 'BrownsNation', 'GoBrowns', 'yahoo']",0,0,,,kevin stefanski browns are getting jacoby brissett ready week one,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",True,0.3612
6,1558601301931474945,2022-08-13 23:48:02+00:00,MockGenDraft,It’s tough to see the George Pickens hype train grow as a #Browns fan…when we traded out of the 2nd round and let him fall in to the Steelers lap,['Browns'],1,0,,,it s tough see george pickens hype train grow as fan when we traded out 2nd round let him fall steelers lap,"{'neg': 0.066, 'neu': 0.833, 'pos': 0.101, 'compound': 0.2023}",True,0.2023
7,1558600518213197835,2022-08-13 23:44:55+00:00,vpope34,What other #Browns fan besides myself is jealous of the #Steelers pre-season showing as of now!!!!!,"['Browns', 'Steelers']",0,0,,,what other fan besides myself is jealous pre season showing as now,"{'neg': 0.196, 'neu': 0.654, 'pos': 0.15, 'compound': -0.1779}",False,-0.1779
8,1558600109645934592,2022-08-13 23:43:18+00:00,antdawgvintage,I need all of the #Browns gear in this photo https://t.co/v6fm8GAsg4,['Browns'],77,8,,,i need all gear this photo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1558599449588400133,2022-08-13 23:40:40+00:00,JonathanHimsky,"George Pickens was really there for us to take.  Literally was there #Browns. smh. 

Knowing we needed WR help. 

This is a negative point on andrew berry. Gotta deduct one smh",['Browns'],1,0,,,george pickens was really there us take literally was there smh knowing we needed wr help this is negative point andrew berry gotta deduct one smh,"{'neg': 0.252, 'neu': 0.667, 'pos': 0.082, 'compound': -0.6808}",False,-0.6808
10,1558599034121732096,2022-08-13 23:39:01+00:00,jsnider33,We could have had him. 🤷🏻‍♂️🤦🏻‍♂️#Browns https://t.co/qpC8opaopX,['Browns'],2,0,,,we could have had him,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
11,1558599029029847046,2022-08-13 23:39:00+00:00,BrownsChat,"Watson starts first game in 583 days, struggles against Jaguars defense #ClevelandBrowns #Browns #BrownsNation #GoBrowns #yahoo https://t.co/dEFquPxK8K","['ClevelandBrowns', 'Browns', 'BrownsNation', 'GoBrowns', 'yahoo']",0,0,,,watson starts first game 583 days struggles against jaguars defense,"{'neg': 0.208, 'neu': 0.667, 'pos': 0.125, 'compound': -0.25}",False,-0.25
