,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1592304141795459072,2022-11-14 23:51:05+00:00,MaqagiWonga,"If it pleases the court, your honor ... The defense calls to the stand, Pleasure P  🎥😀🎵

https://t.co/USMc4dog21 

#MondayThoughts #NewMusicMonday #JAX #Jaguars #VyStarArena #gsquaredevents #AtlanticRecords #Atlantic #PleasureP https://t.co/fHV8ZMdjmt","['MondayThoughts', 'NewMusicMonday', 'JAX', 'Jaguars', 'VyStarArena', 'gsquaredevents', 'AtlanticRecords', 'Atlantic', 'PleasureP']",0,0,,,pleases court honor defense calls stand pleasure p,0.8779,0.0,0.8779,True
2,1592302327896997890,2022-11-14 23:43:53+00:00,englishheadline,‘How is that not a penalty?’ Twitter reacts to Jaguars’ big hit on JuJu Smith-Schuster #penalty #Twitter #reacts #Jaguars #big #hit #JuJu #SmithSchuster #englishheadline https://t.co/wjRQIEFpxK,"['penalty', 'Twitter', 'reacts', 'Jaguars', 'big', 'hit', 'JuJu', 'SmithSchuster', 'englishheadline']",0,0,,,penalty twitter reacts jaguars big hit juju smith schuster,-0.4588,0.0,-0.4588,False
3,1592301422049169408,2022-11-14 23:40:17+00:00,MoeMoton,"Yeah the #Chiefs are tough to bottle up and stifle, but you don’t get credit for a close loss to the #Cardinals (without DeAndre Hopkins) and the #Jaguars when you had them down 17-20 points. 

The context of those losses matter.","['Chiefs', 'Cardinals', 'Jaguars']",86,5,,,yeah tough bottle stifle get credit close loss without deandre hopkins 17 20 points context losses matter,-0.1531,-0.3888888888888889,-0.5419888888888889,False
5,1592288660862689281,2022-11-14 22:49:34+00:00,MonicaNunez___,"summary (Eng/Spa) to follow. research especially relevant to law enforcement agencies &amp; institutions “training the trainers” such as judges and prosecutors. study focus on #jaguars (❤️ again) but relevant to all endangered spp illegal trade, which is increasingly moving online",['jaguars'],1,0,,,summary eng spa follow research especially relevant law enforcement agencies amp institutions training trainers judges prosecutors study focus relevant endangered spp illegal trade increasingly moving online,-0.5574,0.2333333333333334,-0.3240666666666666,False
7,1592285210053599233,2022-11-14 22:35:51+00:00,dfilaroski,"For those who may have missed it, not only did Cisco lay a legal lick on JuJu - he picked up the fumble! (And it was a fumble.) #Jaguars",['Jaguars'],19,0,,,may missed cisco lay legal lick juju picked fumble fumble,-0.1779,0.2,0.02210000000000001,True
8,1592276506713137152,2022-11-14 22:01:16+00:00,JaguarsViews,"Fantasy football sizzlers, fizzlers: Jaguars' Christian Kirk exploring new territory #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/CMLJTExs0R","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,1,,,fantasy football sizzlers fizzlers jaguars christian kirk exploring new territory,0.0,0.06818181818181818,0.06818181818181818,True
9,1592276270225952768,2022-11-14 22:00:20+00:00,PlayNFLRivals,"#DUUUVAL 

Snag a @jaguars Rarity League NFT on November 15th and rep your Jags with the ultimate fan gear. 

Get ‘em soon here ⬇️⬇️⬇️

https://t.co/KkrCmCiwAY https://t.co/r97sCcm2Am",['DUUUVAL'],8,3,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,snag rarity league nft november 15th rep jags ultimate fan gear get em soon,0.3182,0.0,0.3182,True
10,1592276053925445634,2022-11-14 21:59:28+00:00,Surfandartific1,97 corners have played a minimum of 1 snap in week 10 Tre Herndon finished 96th in PFF grade @Jaguars finished tied for 9th in team pressures and only 14 players had more solo pressures than Josh Allen and Travon Walker (4 each). Y'all focusing on wrong part of Defense #DUUUVAL,['DUUUVAL'],2,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,97 corners played minimum 1 snap week 10 tre herndon finished 96th pff grade finished tied 9th team pressures 14 players solo pressures josh allen travon walker 4 yall focusing wrong part defense,-0.5859,-0.5,-1.0859,False
11,1592273684529659905,2022-11-14 21:50:04+00:00,JaguarsViews,"Biggest takeaways heading into the bye week | Jaguars Happy Hour | Monday, November 14 #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/5iCEGKCOFf","['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,biggest takeaways heading bye week jaguars happy hour monday november 14,0.5719,0.8,1.3719000000000001,True
12,1592273477553520640,2022-11-14 21:49:14+00:00,1010XL,"The #Jaguars are 3-7.

What grade would you give Trevor Lawrence for his play through 10 games in 2022?",['Jaguars'],0,0,,,3 7 grade would give trevor lawrence play 10 games 2022,0.34,0.0,0.34,True
