,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1584696235532857344,2022-10-24 23:59:59+00:00,DaveMyersBIB,"The #Jets fleeced the #Jaguars. 

A 6th that can become a conditional 5th…

Geez, I thought Robinson was worth a lot more than that.","['Jets', 'Jaguars']",14,2,,,fleeced 6th become conditional 5th geez thought robinson worth lot,0.2263,0.3,0.5263,True
1,1584696224992874496,2022-10-24 23:59:56+00:00,BradyBuchheit,Michael carter is somewhere crying #NFL #Jets #Jaguars https://t.co/9BTrq82Imz,"['NFL', 'Jets', 'Jaguars']",2,0,,,michael carter somewhere crying,-0.4767,-0.2,-0.6767000000000001,False
4,1584696117706764288,2022-10-24 23:59:31+00:00,MundoNFL,"🚨 TRADE DE LOS @nyjets 🚨

Tras la perdida de Breece Hall, el RB James Robinson llegará a New York a cambio de un pick condicional de sexta ronda para los Jaguars.

#MundoNFL #DUUUVAL #TakeFlight https://t.co/RGQIcPQCeA","['MundoNFL', 'DUUUVAL', 'TakeFlight']",7,3,"[User(username='nyjets', id=17076218, displayname='New York Jets', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,trade de los tras la perdida de breece hall el rb james robinson llegar new york cambio de un pick condicional de sexta ronda para los jaguars,0.0,0.13636363636363635,0.13636363636363635,True
6,1584695867231342592,2022-10-24 23:58:31+00:00,PharveyWJCL,I’m sad about this James Robinson trade 😢. #DUUUVAL @Jaguars,['DUUUVAL'],0,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,sad james robinson trade,-0.4767,-0.5,-0.9767,False
8,1584695783198171136,2022-10-24 23:58:11+00:00,nfl_trades,TRADE: The #Jaguars are trading Robinson to the #Jets in exchange for a 2023 conditional 6th-round pick that can become a 5th-rounder https://t.co/0HoaLU9qER,"['Jaguars', 'Jets']",0,0,,,trade trading robinson exchange 2023 conditional 6th round pick become 5th rounder,0.0,-0.2,-0.2,False
11,1584695671478964225,2022-10-24 23:57:44+00:00,Ryan_DTWD,The #Jaguars love trading away fan favorites lol,['Jaguars'],1,0,,,love trading away fan favorites lol,0.9022,0.65,1.5522,True
16,1584695563563331586,2022-10-24 23:57:19+00:00,JvilleJaguars,"Best of luck to James Robinson, dude earned his numbers and fought his ass off to get back from injury. #Jaguars",['Jaguars'],1,0,,,best luck james robinson dude earned numbers fought ass get back injury,-0.1027,0.5,0.3973,True
19,1584695419203772417,2022-10-24 23:56:44+00:00,NFLUnlimited,"The trade makes sense for both teams:

The #Jets get a replacement after they lost Breece Hall for the season. 

And the #Jaguars officially commit to former first round pick Travis Etienne, who has played great lately. https://t.co/GxXhUmd327","['Jets', 'Jaguars']",0,0,,,trade makes sense teams get replacement lost breece hall season officially commit former first round pick travis etienne played great lately,0.7506,0.11000000000000001,0.8606,True
20,1584695313507692544,2022-10-24 23:56:19+00:00,nyjetscenter,"TRADE: #Jets sending a conditional 6th-round pick to the #Jaguars for RB James Robinson, per @AdamSchefter 

#TakeFlight https://t.co/YhpaKdo3iU","['Jets', 'Jaguars', 'TakeFlight']",13,2,"[User(username='AdamSchefter', id=51263592, displayname='Adam Schefter', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,trade sending conditional 6th round pick rb james robinson per,0.0,-0.2,-0.2,False
21,1584695228283265025,2022-10-24 23:55:59+00:00,TalkPrimeTime,"The #Jets have acquired RB James Robinson from the #Jaguars in exchange for a conditional fifth-round draft pick, per @RapSheet. 

New York quickly reinforces its running game after losing Breece Hall while the Jaguars reaffirm their commitment to a Travis Etienne-led backfield. https://t.co/KU5tugRKjK","['Jets', 'Jaguars']",6,1,"[User(username='RapSheet', id=16403943, displayname='Ian Rapoport', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,acquired rb james robinson exchange conditional fifth round draft pick per new york quickly reinforces running game losing breece hall jaguars reaffirm commitment travis etienne led backfield,0.0,-0.03257575757575759,-0.03257575757575759,False
22,1584695183949430785,2022-10-24 23:55:48+00:00,3ptCnvrsn,"The Jacksonville #Jaguars are trading running back James Robinson to the New York #Jets for a conditional sixth-round pick that could become a fifth-round pick. 

#NFL #Duuuval #TakeFlight #3ptcnvrsn https://t.co/6k734RjDxt","['Jaguars', 'Jets', 'NFL', 'Duuuval', 'TakeFlight', '3ptcnvrsn']",2,2,,,jacksonville trading running back james robinson new york conditional sixth round pick could become fifth round pick,0.0,-0.06590909090909092,-0.06590909090909092,False
26,1584694926352453633,2022-10-24 23:54:47+00:00,PhillyPhillyTP,"#Jaguars get a conditional 6th rd pick for RB James Robinson from the #Jets

Steal for the Jets, let the tank start for #Jaguars 

#FlyEaglesFly","['Jaguars', 'Jets', 'Jaguars', 'FlyEaglesFly']",3,1,,,get conditional 6th rd pick rb james robinson steal jets let tank start,-0.4939,0.0,-0.4939,False
