,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1597379785914736641,2022-11-28 23:59:53+00:00,FOX2Sports,"WATCH - #Lions quarterback Jared Goff sat down with @DanMillerFox2 on Monday to look back at the close loss to the #Bills on Thanksgiving and looking ahead to facing the #Jaguars this week.

https://t.co/5UbncTDAnt","['Lions', 'Bills', 'Jaguars']",9,4,"[User(username='DanMillerFox2', id=35116297, displayname='Dan Miller', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,watch quarterback jared goff sat monday look back close loss thanksgiving looking ahead facing week,-0.3182,0.0,-0.3182,False
1,1597379310784061442,2022-11-28 23:58:00+00:00,The33rdTeamFB,"""Nothing is too big for him... He just continues to improve each and every week.""

#Jaguars HC Doug Pederson on the growth Trevor Lawrence has had in Year 2 as an #NFL QB

@JadeMcCarthy | #DUUUVAL","['Jaguars', 'NFL', 'DUUUVAL']",112,19,"[User(username='JadeMcCarthy', id=67859711, displayname='Jade McCarthy', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,nothing big continues improve every week hc doug pederson growth trevor lawrence year 2 qb,0.05,0.0,0.05,True
3,1597378059320950784,2022-11-28 23:53:01+00:00,chodges724,"Damn I’m still happy about Sunday’s @Jaguars game. They get all of the criticism and none of the praise, but @crobinson_68 @jawaan_taylor74 @bscherff68 Ben Barton and @lukefortner79 all played amazing. I love seeing a line playing that great. #DUUUVAL",['DUUUVAL'],3,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='crobinson_68', id=311794382, displayname='Cam.', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='jawaan_taylor74', id=2728620982, displayname='Jawaan M. Taylor ♛', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='bscherff68', id=1850157182, displayname='Brandon Scherff', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='lukefortner79', id=553775491, displayname='Luke Fortner', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,damn still happy sunday game get criticism none praise ben barton played amazing love seeing line playing great,0.9095,0.45999999999999996,1.3695,True
5,1597373888316715008,2022-11-28 23:36:27+00:00,josephweimer_,My manager is a ravens fan and I showed up to work like this #DUUUVAL @Jaguars @1010XL @RyanGreen1010XL @Trevorlawrencee @TonyKhan https://t.co/bTKUSj7Ucu,['DUUUVAL'],2,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='1010XL', id=22014993, displayname='1010 XL / 92.5 FM', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RyanGreen1010XL', id=180882165, displayname='Hacker', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Trevorlawrencee', id=1416537146, displayname='Trevor Lawrence', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TonyKhan', id=397823963, displayname='Tony Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-81.6673775, latitude=30.3206946)",manager ravens fan showed work like,0.5859,0.0,0.5859,True
7,1597372013605228544,2022-11-28 23:29:00+00:00,JaguarsViews,"Doug Pederson: Travis Etienne Has a Foot Sprain, Should Play vs. Lions #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/cAGaazT73U","['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,doug pederson travis etienne foot sprain play vs lions,0.34,0.0,0.34,True
8,1597371355909197825,2022-11-28 23:26:23+00:00,AndrewBR_sports,What's up #DUUUVAL! Did Trevor Lawrence play his ass off or what? The #Jaguars QB's recent strong play is only a stepping stone for his career. @Sportsnaut https://t.co/xXjDRw88Ea,"['DUUUVAL', 'Jaguars']",0,2,"[User(username='Sportsnaut', id=1943371212, displayname='Sportsnaut', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,whats trevor lawrence play ass qbs recent strong play stepping stone career,0.5574,0.21666666666666665,0.7740666666666667,True
12,1597367749029699585,2022-11-28 23:12:03+00:00,FantasyGregory,"There are only 5 NFC teams with a positive point differential this season. No team in the NFC south is positive. 

For AFC has 9! Incredibly, every team in the AFC east is positive. 

Another odd one, the #Jaguars have the best DIFF in the AFC South. 

What a weird #NFL year","['Jaguars', 'NFL']",0,0,,,5 nfc teams positive point differential season team nfc south positive afc 9 incredibly every team afc east positive another odd one best diff afc south weird year,0.6808,0.27359307359307355,0.9543930735930735,True
14,1597365974268870656,2022-11-28 23:05:00+00:00,jaxdotcom,Trevor Lawrence finally had his signature moment on Sunday. This week's Trevor Tracker takes a closer look at the #Jaguars QB's progress from 2021 to now. https://t.co/Mw9DCwBNPQ,['Jaguars'],3,0,,,trevor lawrence finally signature moment sunday weeks trevor tracker takes closer look qbs progress 2021,0.4215,0.0,0.4215,True
15,1597364209679237120,2022-11-28 22:57:59+00:00,RussellStReport,"Was that really a touchdown? The real culprits for the loss in Jacksonville. Where is 99? The #Ravens play-calling and John Harbaugh's culpability. This and more hot takes following the Ravens at #Jaguars from @RSRLombardi 
https://t.co/wzrk5UdGQF","['Ravens', 'Jaguars']",8,2,"[User(username='RSRLombardi', id=823313526, displayname='Tony Lombardi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,really touchdown real culprits loss jacksonville 99 play calling john harbaughs culpability hot takes following ravens,0.0258,0.1625,0.1883,True
16,1597363716240117761,2022-11-28 22:56:02+00:00,JaguarsViews,"Doug Pederson: Travis Etienne Has a Foot Sprain, Should Play vs. Lions #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/PkInjixnLz","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,doug pederson travis etienne foot sprain play vs lions,0.34,0.0,0.34,True
