,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1579622696471916545,2022-10-10 23:59:33+00:00,bdbsport,"Here are Trevor Lawrence's good plays from the Jaguars 13-6 loss to the #Texans. This is why it's too early to give up on him as a prospect, even if his ceiling isn't what we expected. To me, I see a lot of Daniel Jones in his game. #DUUUVAL https://t.co/Lh1XY63kGQ","['Texans', 'DUUUVAL']",0,0,,,trevor lawrences good plays jaguars 13 6 loss early give prospect even ceiling isnt expected see lot daniel jones game,0.5859,0.07499999999999998,0.6608999999999999,True
3,1579611498946899970,2022-10-10 23:15:03+00:00,BigCatCountry,"#Jaguars outside linebacker K’Lavon Chaisson is reportedly headed to injured reserve.

More here: https://t.co/hwCLq1muiQ",['Jaguars'],9,0,,,outside linebacker k lavon chaisson reportedly headed injured reserve,-0.4019,0.0,-0.4019,False
5,1579606703422611456,2022-10-10 22:56:00+00:00,JaguarsViews,Texans QB Davis Mills says RB Dameon Pierce has energy that ‘rubs off’ on rest of the team #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/chwrQVJsQb,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,texans qb davis mills says rb dameon pierce energy rubs rest team,0.2732,0.0,0.2732,True
10,1579592761292230658,2022-10-10 22:00:36+00:00,Pkm89,Lie to me and tell me everythings ok. JUST DO IT YOU BITCH 😭😭😭 #jaguars,['jaguars'],2,0,,,lie tell everythings ok bitch,-0.3818,0.5,0.11820000000000003,True
11,1579588381365133312,2022-10-10 21:43:12+00:00,trevorville_,"@jpshadrick @PriscoCBS @TonyBoselli 

We need a HBO version of Happy Hour, so Uncle Pete can use the language he wants 😂 #Jaguars",['Jaguars'],0,0,"[User(username='jpshadrick', id=256678708, displayname='J.P. Shadrick', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PriscoCBS', id=56411751, displayname='Pete Prisco', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TonyBoselli', id=25490481, displayname='Tony Boselli', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,need hbo version happy hour uncle pete use language wants,0.5719,0.5,1.0718999999999999,True
12,1579586954899124224,2022-10-10 21:37:32+00:00,QuantCoach,Here is classic example of bad playmaking nullifying good play design. #Jaguars flood end zone w/3 receivers at different levels. #Texans cover it perfectly. But Lawrence can still run for 1DN if he moves decisively. Instead he forces his pass into triangle of defenders. https://t.co/0Fx5gyxxyT,"['Jaguars', 'Texans']",2,0,,,classic example bad playmaking nullifying good play design flood end zone w 3 receivers different levels cover perfectly lawrence still run 1dn moves decisively instead forces pass triangle defenders,0.743,0.23333333333333334,0.9763333333333333,True
13,1579581789844041729,2022-10-10 21:17:00+00:00,JaguarsViews,Report: Jaguars OLB K'Lavon Chaisson headed to injured reserve #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/p1LG4DYo7i,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",0,0,,,report jaguars olb klavon chaisson headed injured reserve,-0.4019,0.0,-0.4019,False
15,1579579021888626688,2022-10-10 21:06:00+00:00,JaguarsViews,Report: Jaguars OLB K’Lavon Chaisson headed to injured reserve #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/gXh500ZBfK,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,report jaguars olb k lavon chaisson headed injured reserve,-0.4019,0.0,-0.4019,False
16,1579577515915419648,2022-10-10 21:00:01+00:00,1010XL,"Right now: ""The O Show"" with @JohnOehser

Reaction to Sunday's #Jaguars loss to Houston.

LISTEN: 92.5 FM | https://t.co/K9m8Foa2wT https://t.co/Gd9jEtY7ui",['Jaguars'],3,0,"[User(username='JohnOehser', id=21979267, displayname='John Oehser', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,right show reaction sundays loss houston listen 92 5 fm,-0.3182,0.2857142857142857,-0.032485714285714284,False
17,1579576344953982976,2022-10-10 20:55:22+00:00,TAMUSAEsports,"The Block Party Table was a success! We gave students that were able to answer one question a free T-Shirt, and we even had a surprise Oakley &amp; General visit. 
We can't wait until the next event! 🐾❤️
#JaguarGG #TAMUSA #Esports #JagFam #Jaguars #tamusaesports  #Videogames https://t.co/FsBsK8tiAw","['JaguarGG', 'TAMUSA', 'Esports', 'JagFam', 'Jaguars', 'tamusaesports', 'Videogames']",15,0,,,block party table success gave students able answer one question free shirt even surprise oakley amp general visit cant wait next event,0.836,0.25000000000000006,1.086,True
18,1579576257955921920,2022-10-10 20:55:01+00:00,JaguarsViews,Jaguars Place OLB K’Lavon Chaisson On Injured Reserve #JacksonvilleJaguars #Jaguars #Jags #GoJags https://t.co/KxHaQpUJFe,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags']",0,0,,,jaguars place olb k lavon chaisson injured reserve,-0.4019,0.0,-0.4019,False
