,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1577042320540995584,2022-10-03 21:06:03+00:00,Comm_Auctions,"#ThankYou @bestwestern Premier (4011 Blue Ridge Cutoff, Kansas City, MO) for partnering with us in a #charity event benefiting @SOMissouri! Visit this location to show your #support for @SpecialOlympics.

#specialolympics #missouri #KansasCity #ChiefsKingdom #cheifs https://t.co/3uN1Tkep6T","['ThankYou', 'charity', 'support', 'specialolympics', 'missouri', 'KansasCity', 'ChiefsKingdom', 'cheifs']",0,0,"[User(username='bestwestern', id=22213638, displayname='Best Western', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SOMissouri', id=27908051, displayname='Special Olympics MO', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SpecialOlympics', id=19598173, displayname='Special Olympics', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,premier 4011 blue ridge cutoff kansas city mo partnering with us event benefiting visit this location show your,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1577000722192687105,2022-10-03 18:20:46+00:00,Amirish6,"Results from this past weekend! 💯💯💯💯💯💯💯💯💯💯💯

#nfl
#cheifs 
#EaglesNation 
#parlays 
#NCAAFootball 
#bettingtwitter https://t.co/oTScysAVAV","['nfl', 'cheifs', 'EaglesNation', 'parlays', 'NCAAFootball', 'bettingtwitter']",0,0,,,results this past weekend,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1576996138065879040,2022-10-03 18:02:33+00:00,VegasMaxBets,"Amazing that #Cheifs vs #Raiders is now 7.5. Wow! Gross overreaction and amazing value with Vegas here.

#NFL #GamblingTwitter","['Cheifs', 'Raiders', 'NFL', 'GamblingTwitter']",1,0,,,amazing that vs is now 7 5 wow gross overreaction amazing value with vegas here,"{'neg': 0.188, 'neu': 0.273, 'pos': 0.539, 'compound': 0.875}",True,0.875
3,1576778852973805570,2022-10-03 03:39:08+00:00,NycJ23,Mahomes finished with 249 yards passing when he had a shovel pass to Edwards in the 3rd that was ruled a hand off #nfl #cheifs #gamblingtwitter,"['nfl', 'cheifs', 'gamblingtwitter']",1,1,,,mahomes finished with 249 yards passing when he had shovel pass edwards 3rd that was ruled hand off,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}",True,0.4939
4,1576778595585794054,2022-10-03 03:38:06+00:00,LatinaMomInLA,@USNY64 @ChrisGem65 And there you have it 🏈 #Cheifs,['Cheifs'],2,0,"[User(username='USNY64', id=1295148021018243074, displayname='Just me,vince 🤷😌✌❤😉', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChrisGem65', id=546961396, displayname='🎀PatriotsGirl🎀♏️🎉🏖🌞🏈☮️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,there you have it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1576776755570176000,2022-10-03 03:30:48+00:00,SaluteSaints504,brb going jump off a bridge #fanduel #bucs #cheifs #Mahomes https://t.co/nAe2LxnFYj,"['fanduel', 'bucs', 'cheifs', 'Mahomes']",0,0,,,brb going jump off bridge,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1576775070386884609,2022-10-03 03:24:06+00:00,spade360,"#cheifs still playing like the super bowl is on the line, good.",['cheifs'],0,0,,,still playing like super bowl is line good,"{'neg': 0.0, 'neu': 0.265, 'pos': 0.735, 'compound': 0.8779}",True,0.8779
7,1576768168550350848,2022-10-03 02:56:40+00:00,ImSamm31,🗣️ Go AWF sir!!! #Mahomes #Cheifs #NFL #Yards #Football #Period https://t.co/YPGgNTwt3E,"['Mahomes', 'Cheifs', 'NFL', 'Yards', 'Football', 'Period']",0,0,,,go awf sir,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1576752975732568064,2022-10-03 01:56:18+00:00,OfficialjusD,Isiah Pacheco gone be a problem. #Cheifs,['Cheifs'],0,0,,,isiah pacheco gone be problem,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",False,-0.4019
9,1576741180821626880,2022-10-03 01:09:26+00:00,Mike_Da_Dreamer,"Omg watching the cheifs vs bucs, Can you say backyard football!!! 
#cheifs #SuperBowl","['cheifs', 'SuperBowl']",1,0,,,omg watching cheifs vs bucs can you say backyard football,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
