,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1570870048310558720,2022-09-16 20:19:39+00:00,Eluard_Gabriel,Redskins original logo since the #Cheifs are trending. https://t.co/AUKPDsbfFj,['Cheifs'],0,0,,,redskins original logo since are trending,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",True,0.3182
1,1570822698863038465,2022-09-16 17:11:30+00:00,BFtNH19,"There is no better QB in the #NFL than #Cheifs Patrick Mahomes, Allen is close, but not throwing on the run. #NFL.  🇺🇸","['NFL', 'Cheifs', 'NFL']",0,0,,,there is no better qb than patrick mahomes allen is close but not throwing run,"{'neg': 0.097, 'neu': 0.785, 'pos': 0.118, 'compound': 0.09}",True,0.09
2,1570816339027308545,2022-09-16 16:46:14+00:00,NotYourAvgMatt,#jeffbezos #cheifs #normal “that’s totally how normal people interact!” https://t.co/m0R6srBOS0,"['jeffbezos', 'cheifs', 'normal']",0,0,,,that s totally how normal people interact,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1570786690779983875,2022-09-16 14:48:25+00:00,pronews_com_pk,"Sindh Chief Minister Rules Out The Possibility Of Dams Storing'sea-Like' Flood Waters.
#PRONEWS #Sindh #cheifs #Minister #rules #Possible #store #floods #water https://t.co/oaIlUVXu8W","['PRONEWS', 'Sindh', 'cheifs', 'Minister', 'rules', 'Possible', 'store', 'floods', 'water']",0,0,,,sindh chief minister rules out possibility dams storingsea like flood waters,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",True,0.3612
4,1570767823764590594,2022-09-16 13:33:27+00:00,kapgunzz,Let's be serious the Ref's won that game last night not the #cheifs lol #NFL #ChargersvsChiefs,"['cheifs', 'NFL', 'ChargersvsChiefs']",1,0,,,lets be serious refs won that game last night not lol,"{'neg': 0.237, 'neu': 0.522, 'pos': 0.241, 'compound': 0.2658}",True,0.2658
5,1570739465123168258,2022-09-16 11:40:46+00:00,GLITCH3N,Lol #NFLTwitter #NFLPicks #nfl #nflmemes #memes #nflmeme #cheifs #KansasCityChiefs #KansasCity https://t.co/eUw31PpVoD,"['NFLTwitter', 'NFLPicks', 'nfl', 'nflmemes', 'memes', 'nflmeme', 'cheifs', 'KansasCityChiefs', 'KansasCity']",1,0,,,lol,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",True,0.4215
6,1570612473908318208,2022-09-16 03:16:09+00:00,BillsFan1217,I hate the #cheifs more than the Patriots and the Patriots ruined my life for 17 straight years!,['cheifs'],0,0,,,i hate more than patriots patriots ruined my life 17 straight years,"{'neg': 0.407, 'neu': 0.479, 'pos': 0.114, 'compound': -0.7096}",False,-0.7096
7,1570602874014699520,2022-09-16 02:38:00+00:00,LEBRON_batman23,LETS GOOO PICK 6 #cheifs,['cheifs'],0,0,,,lets gooo pick 6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1570602292130484225,2022-09-16 02:35:41+00:00,CoachKenGriffin,Pick six #cheifs,['cheifs'],0,0,,,pick six,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1570602282613637121,2022-09-16 02:35:39+00:00,dlinevids1,"Chris Jones (@StoneColdJones) attacks the blocker’s elbows &amp; forklifts them away. Gets the sack! #passrush #cheifs #chiefskingdom

via @DevclemNFL https://t.co/F4Rgtmf0vN","['passrush', 'cheifs', 'chiefskingdom']",290,33,"[User(username='StoneColdJones', id=2761802652, displayname='Chris Jones', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DevclemNFL', id=2475971873, displayname='Devon Clements', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,chris jones attacks blocker s elbows amp forklifts them away gets sack via,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.4404}",False,-0.4404
