,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1579911033065730048,2022-10-11 19:05:18+00:00,MattfromKC,@BenMcLemore #CHEIFS https://t.co/AjPbLdh4Do,['CHEIFS'],3,0,"[User(username='BenMcLemore', id=364970961, displayname='Ben McLemore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1579679892857581569,2022-10-11 03:46:50+00:00,braja702,"@PFF_NateJahnke No they lost the game when #Cheifs missed the FG and Koonce was called for holding penalty and chiefs ended up getting 1st down, which translated to a TD. Game over!",['Cheifs'],0,0,"[User(username='PFF_NateJahnke', id=182495200, displayname='Nathan Jahnke', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,no they lost game when missed fg koonce was called holding penalty chiefs ended up getting 1st down which translated td game over,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.8271}",False,-0.8271
2,1579677746925830144,2022-10-11 03:38:18+00:00,DJJonnyFever,Fcuk yeah &amp; #ChiefsKingdom #Cheifs #MNF #andyreid https://t.co/9A9LU3vE4j,"['ChiefsKingdom', 'Cheifs', 'MNF', 'andyreid']",0,0,,,fcuk yeah amp,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}",True,0.296
3,1579676722449895424,2022-10-11 03:34:14+00:00,KennedyMillis,Huge win 🔥🔥🔥🔥 #Cheifs @PatrickMahomes #MNFxESPN https://t.co/gaI9Jow0dR,"['Cheifs', 'MNFxESPN']",0,0,"[User(username='PatrickMahomes', id=353178677, displayname='Patrick Mahomes II', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,huge win,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7269}",True,0.7269
4,1579675303156543491,2022-10-11 03:28:35+00:00,_LatesBaseball,LETS GOOOOOOOOOOOO. At least something good happens. #cheifs #NFL #ChiefsKingdom https://t.co/MdWFhp9mWc,"['cheifs', 'NFL', 'ChiefsKingdom']",2,0,,,lets goooooooooooo at least something good happens,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",True,0.4404
5,1579674940340834305,2022-10-11 03:27:09+00:00,ParlayKev,"Cash the live bet 💰✅✅

Chiefs ML ✅

#gamblingtwitter #cheifs #NFL https://t.co/ANEt6WVds4","['gamblingtwitter', 'cheifs', 'NFL']",1,0,,,cash live bet chiefs ml,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1579674796555898886,2022-10-11 03:26:35+00:00,ASamuel912,This damn bum made me lose all my parlays @Chiefs fans why was he getting no touches I need answers #cheifs #nfl #clydeedwards @Clydro_22 https://t.co/XhWLc8ne4z,"['cheifs', 'nfl', 'clydeedwards']",0,0,"[User(username='Chiefs', id=33583496, displayname='Kansas City Chiefs', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Clydro_22', id=2409977076, displayname='GLYDE', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,this damn bum made me lose all my parlays fans why was he getting no touches i need answers,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.765}",False,-0.765
7,1579674352328806402,2022-10-11 03:24:49+00:00,culhane,The ending of that Raiders drive is how #sportsbetting went tonight #mnf #cheifs https://t.co/SwtsDHiNx1,"['sportsbetting', 'mnf', 'cheifs']",0,0,,,ending that raiders drive is how went tonight,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1579673810483437568,2022-10-11 03:22:39+00:00,BBB_804,@nflcommish @NFL how can @Raiders coach Josh McDaniels wear a #nfl100 hat when the rule is you have to wear a hat from the current season? I have Redskins gear with the nfl 100 logo so clearly not from this year… seems like a fine to me @NFL reward me for my work #mnf #cheifs https://t.co/Y0jWF2mmNt,"['nfl100', 'mnf', 'cheifs']",0,0,"[User(username='nflcommish', id=34104616, displayname='Roger Goodell', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NFL', id=19426551, displayname='NFL', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Raiders', id=16332223, displayname='Las Vegas Raiders', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NFL', id=19426551, displayname='NFL', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,how can coach josh mcdaniels wear hat when rule is you have wear hat current season i have redskins gear with nfl 100 logo so clearly not this year seems like fine me reward me my work,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8883}",True,0.8883
9,1579667016390422528,2022-10-11 02:55:40+00:00,MandySalzmann,KELCE!!!!! LAWD almighty that’s a STAR 👏🏽👏🏽👏🏽🫶🏽🫶🏽 makin this bearcat alum proud  #bearcats4eva #cheifs,"['bearcats4eva', 'cheifs']",1,0,,,kelce lawd almighty that s star makin this bearcat alum proud,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.4767}",True,0.4767
