,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1587231471999352832,2022-10-31 23:54:06+00:00,wjhsd,Congrats to @TJHSJaguars on being selected the @TribLiveHSSN Football Team of the Week! The #Jaguars defeated previously unbeaten McKeesport to earn a share of the Section/Big Seven Conference title. #WJHSD #WErTJ https://t.co/V4Jl44XWnN,"['Jaguars', 'WJHSD', 'WErTJ']",10,1,"[User(username='TJHSJaguars', id=1024692203141181441, displayname='TJHSJaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TribLiveHSSN', id=39548286, displayname='TribLive HSSN', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,congrats being selected football team week defeated previously unbeaten mckeesport earn share section big seven conference title,"{'neg': 0.137, 'neu': 0.617, 'pos': 0.247, 'compound': 0.3612}",True,0.3612
1,1587230691749773313,2022-10-31 23:51:00+00:00,JaguarsViews,"Jacksonville Jaguars owner Shad Khan talks Lemon Bar purchase, playing in London, his coaches #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/dpyYI4hpPG","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",2,1,,,jacksonville jaguars owner shad khan talks lemon bar purchase playing london his coaches,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2023}",True,0.2023
2,1587222385199038466,2022-10-31 23:18:00+00:00,JaguarsViews,Football teams condemn pro-Kanye antisemitic message shared at game #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/rDUPTaRy2D,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,football teams condemn pro kanye antisemitic message shared at game,"{'neg': 0.2, 'neu': 0.615, 'pos': 0.185, 'compound': -0.0516}",False,-0.0516
3,1587214097514479618,2022-10-31 22:45:04+00:00,JaguarsViews,Jaguars claim former 49ers G Blake Hance off waivers #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/IsZ0QiSLiE,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",0,0,,,jaguars claim former 49ers g blake hance off waivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1587211312651812867,2022-10-31 22:34:00+00:00,JaguarsViews,Jaguars claim former 49ers G Blake Hance off waivers #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/Ro0a6c3CIe,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,jaguars claim former 49ers g blake hance off waivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1587211104265961472,2022-10-31 22:33:10+00:00,trevorville_,We are officially playing spoiler for teams still in the hunt. #Jaguars,['Jaguars'],0,0,,,we are officially playing spoiler teams still hunt,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}",True,0.2023
6,1587210981540855812,2022-10-31 22:32:41+00:00,zachh312,Kooky idea for #Jaguars trade for Taysom Hill use him when ya get in the redzone... send the Saints 2 or 3  picks because of the contract @Jaguars,['Jaguars'],0,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,kooky idea trade taysom hill use him when ya get redzone send saints 2 or 3 picks because contract,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1587210073822343169,2022-10-31 22:29:05+00:00,Demetrius82,Sorry. Tired and read it incorrectly. #Jaguars are 1.5-point underdogs against the Raiders according to @tipico https://t.co/EhsQBqEyaf,['Jaguars'],7,1,"[User(username='tipico', id=1278389786034782208, displayname='Tipico Sportsbook', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,sorry tired read it incorrectly are 1 5 point underdogs against raiders according,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4939}",False,-0.4939
8,1587209626872938496,2022-10-31 22:27:18+00:00,wjhsd,"Good luck to @tjgirlsvb in #WPIAL 3A semifinals!  The #Jaguars play North Catholic on Tuesday at Gateway HS at approx. 8 pm. The first 3A semi is at 6 pm. Buy tickets at: https://t.co/4bUBVmM1EK . Adults $7; Students $5. All tickets $7 at gate, cash only.  #WJHSD #WErTJ https://t.co/z4wLDWLVWD","['WPIAL', 'Jaguars', 'WJHSD', 'WErTJ']",11,1,"[User(username='tjgirlsvb', id=1539044356488929281, displayname='TJ Girls Volleyball', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,good luck 3a semifinals play north catholic tuesday at gateway hs at approx 8 pm first 3a semi is at 6 pm buy tickets at adults 7 students 5 all tickets 7 at gate cash only,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8074}",True,0.8074
9,1587208544209739776,2022-10-31 22:23:00+00:00,JaguarsViews,NFL Transactions: Monday 10/31 #JacksonvilleJaguars #Jaguars #Jags #GoJags https://t.co/pzPEk8t19E,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags']",0,0,,,nfl transactions monday 10 31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
