,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1558604129328578563,2022-08-13 23:59:16+00:00,trilwil92,#Jaguars legend Blaine Gabbert. https://t.co/572zNHGyXU,['Jaguars'],2,0,,,legend blaine gabbert,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1558603307484160000,2022-08-13 23:56:00+00:00,JaguarsViews,Jags' Travon Walker has another good performance in second preseason game #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/iMbx6GU5HD,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",1,1,,,jags travon walker has another good performance second preseason game,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",True,0.4404
2,1558600538895392774,2022-08-13 23:45:00+00:00,JaguarsViews,Jaguars Hosted WR Jordan Veasy For Visit #JacksonvilleJaguars #Jaguars #Jags #GoJags https://t.co/5r0IQ9jDUo,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags']",0,0,,,jaguars hosted wr jordan veasy visit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1558597956487593984,2022-08-13 23:34:44+00:00,LoganFCadek,I miss you already Myles Jack #Jaguars,['Jaguars'],1,0,,,i miss you already myles jack,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}",False,-0.1531
4,1558597903370829825,2022-08-13 23:34:32+00:00,MainManPlan,So damn weird seeing Myles Jack not in teal anymore. Of all teams....the Steelers........ #Jaguars,['Jaguars'],1,0,,,so damn weird seeing myles jack not teal anymore all teams steelers,"{'neg': 0.332, 'neu': 0.668, 'pos': 0.0, 'compound': -0.6087}",False,-0.6087
5,1558596363356717056,2022-08-13 23:28:25+00:00,TealTalkPod,"A look at the new Jacksonville Jaguars Offense. Film. Breakdown. Thoughts. Etc.

#NFL #JacksonvilleJaguars #Jaguars #Football #Offense #TealTalk #Sports #Podcast #Film #Breakdown #Duuuval https://t.co/VFOJk1VRbs","['NFL', 'JacksonvilleJaguars', 'Jaguars', 'Football', 'Offense', 'TealTalk', 'Sports', 'Podcast', 'Film', 'Breakdown', 'Duuuval']",3,0,,,look at new jacksonville jaguars offense film breakdown thoughts etc,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.25}",False,-0.25
6,1558596346940047362,2022-08-13 23:28:21+00:00,AnthemAZComm,It’s that ‘Meet The Teacher” time at @BCHS_DVUSD #jaguars https://t.co/Cv2NgBEzx7,['jaguars'],1,0,"[User(username='BCHS_DVUSD', id=906224314810155008, displayname='Boulder Creek High', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,it s that meet teacher time at,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1558594580835995651,2022-08-13 23:21:20+00:00,News247Planet,"#Jaguars #Trevor #Sports
Jaguars' Trevor Lawrence, Travis Etienne Will not Play vs. Raiders in Corridor of Fame Sport 
https://t.co/GhxstBFV8f 
https://t.co/GhxstBFV8f","['Jaguars', 'Trevor', 'Sports']",0,0,,,jaguars trevor lawrence travis etienne will not play vs raiders corridor fame sport,"{'neg': 0.128, 'neu': 0.69, 'pos': 0.182, 'compound': 0.2177}",True,0.2177
8,1558578445206142976,2022-08-13 22:17:12+00:00,boudytechnolog2,"What a revolution in automotive industry!!!!!!!!!!!!!!!!!!!
#Automotive #Automotivedesign #Automobile #Auto #car #Automobil #BMW #Tesla #Mercedes #Jaguars #automotiveindustry https://t.co/naO4LUdZqn","['Automotive', 'Automotivedesign', 'Automobile', 'Auto', 'car', 'Automobil', 'BMW', 'Tesla', 'Mercedes', 'Jaguars', 'automotiveindustry']",0,0,,,what revolution automotive industry,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1558578414730317824,2022-08-13 22:17:05+00:00,TechnologyBoudy,"What a revolution in automotive industry!!!!!!!!!!!!!!!!!!!
#Automotive #Automotivedesign #Automobile #Auto #car #Automobil #BMW #Tesla #Mercedes #Jaguars
 #automotiveindustry https://t.co/yMrpbO1mm4","['Automotive', 'Automotivedesign', 'Automobile', 'Auto', 'car', 'Automobil', 'BMW', 'Tesla', 'Mercedes', 'Jaguars', 'automotiveindustry']",0,0,,,what revolution automotive industry,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
