,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1572012060887613440,2022-09-19 23:57:36+00:00,FratletesPod,Did @JakeMancini3 really predict the #Jaguars to win the AFC South in the Preseason? Yes… Yes he did. https://t.co/sjvzzG5P82,['Jaguars'],14,6,"[User(username='JakeMancini3', id=734091703, displayname='Jake', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,did really predict win afc south preseason yes yes he did,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.8583}",True,0.8583
1,1572011661849944064,2022-09-19 23:56:01+00:00,JaguarsViews,"NFL betting: Point spread, over/under for Chargers vs. Jaguars in Week 3 #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/CyChXU8VVW","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,nfl betting point spread over under chargers vs jaguars week 3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1572008894876225536,2022-09-19 23:45:01+00:00,JaguarsViews,NFL observers around the nation react to Colts' stunningly bad start #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/VmXA5leyun,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,nfl observers around nation react colts stunningly bad start,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",False,-0.5423
3,1572008384383315968,2022-09-19 23:42:59+00:00,DraftHistory,"Prior to yesterday how many of these QBs would you have guessed to be in the top 6 in passing ratings for the week
#Ravens Lamar Jackson 142.6
#Packers Aaron Rodgers 131.1
#Dolphins Tua Tagovailoa 124.1
#Lions Jared Goff 121.7
#Jaguars Trevor Lawrence 121.5
#Jets Joe Flacco 110.7","['Ravens', 'Packers', 'Dolphins', 'Lions', 'Jaguars', 'Jets']",1,0,,,prior yesterday how many these qbs would you have guessed be top 6 passing ratings week lamar jackson 142 6 aaron rodgers 131 1 tua tagovailoa 124 1 jared goff 121 7 trevor lawrence 121 5 joe flacco 110 7,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.2023}",True,0.2023
4,1572005518088060928,2022-09-19 23:31:36+00:00,MainManPlan,"I may have missed it but is Tyson Campbell ok after he got hurt yesterday? #Jaguars 

@_John_Shipley @Demetrius82",['Jaguars'],0,0,"[User(username='_John_Shipley', id=797228195007385600, displayname='John Shipley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Demetrius82', id=15216982, displayname='Demetrius Harvey', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,i may have missed it but is tyson campbell ok after he got hurt yesterday,"{'neg': 0.31, 'neu': 0.55, 'pos': 0.14, 'compound': -0.5267}",False,-0.5267
5,1572001341412724737,2022-09-19 23:15:00+00:00,Duffykev36,"Next weeks matchup vs Chargers . Love being the Underdog's!! Go Jags !!!
#DUUUVAL
#jaguars , #gojags , #FlipTheScript
 ,#jagstwitter ,#jags

https://t.co/m7U5SWb8tX","['DUUUVAL', 'jaguars', 'gojags', 'FlipTheScript', 'jagstwitter', 'jags']",0,0,,,next weeks matchup vs chargers love being underdogs go jags,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",True,0.6369
6,1572000794286915584,2022-09-19 23:12:50+00:00,berniesbolttalk,Bolt fam! Chargers tix raffle going down! Get a chance to watch the Chargers beat down the Jags this weekend for $40! A few slots still open! HMU if interested! #Chargerstix #Chargers #BoltUp #Jaguars #DUUUVAL https://t.co/wWNZRmANzI,"['Chargerstix', 'Chargers', 'BoltUp', 'Jaguars', 'DUUUVAL']",0,0,,,bolt fam chargers tix raffle going down get chance watch chargers beat down jags this weekend 40 few slots still open hmu if interested,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5719}",True,0.5719
7,1572000006663536645,2022-09-19 23:09:42+00:00,theryanmichael,"#TrevorLawrence (95.3) led all #NFL QBs in Week 2 in Total QBR (via @espn).

*Prior to Monday Night Football. #MNF

#Jaguars #DUUUVAL https://t.co/71PCmtonj5","['TrevorLawrence', 'NFL', 'MNF', 'Jaguars', 'DUUUVAL']",3,0,"[User(username='espn', id=2557521, displayname='ESPN', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,95 3 led all qbs week 2 total qbr via prior monday night football,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1571999796503908357,2022-09-19 23:08:52+00:00,astrojaguar,"New neighbors dropped off cookies 🍪 😋 
It's the victory Monday karma. #Jaguars https://t.co/X5mVaIfSYx",['Jaguars'],6,0,,,new neighbors dropped off cookies its victory monday karma,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1571998520298668034,2022-09-19 23:03:48+00:00,theryanmichael,"#Jaguars QB #TrevorLawrence has a 123.2 career PR on 4th down passing attempts.

#DUUUVAL https://t.co/IAUnuVKlqy","['Jaguars', 'TrevorLawrence', 'DUUUVAL']",6,1,,,qb has 123 2 career pr 4th down passing attempts,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
