,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1569474946711146496,2022-09-12 23:56:01+00:00,JaguarsViews,"Commanders 28, Jaguars 22: 5 Observations on Lawrence, Robinson and More #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/z4oXRiQOgb","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,commanders 28 jaguars 22 5 observations lawrence robinson more,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1569474299337097216,2022-09-12 23:53:27+00:00,msUrlacher,⁦@kaceurlacher⁩ and ⁦@briwooldridge⁩  Teammates again soon ‼️ #Bobcats ⏩ #Vikings ⏩ #Jaguars https://t.co/MfaTs5jFvM,"['Bobcats', 'Vikings', 'Jaguars']",27,2,"[User(username='kaceurlacher', id=1164743415260753921, displayname='kace', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='briwooldridge', id=1015645401255432192, displayname='Brianna Wooldridge', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,teammates again soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1569472188801064963,2022-09-12 23:45:03+00:00,JaguarsViews,Jaguars cornerback Tyson Campbell expounds on culture being created by Doug Pederson #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/ijohphnNvt,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,jaguars cornerback tyson campbell expounds culture being created by doug pederson,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.25}",True,0.25
3,1569472129908752385,2022-09-12 23:44:49+00:00,jpaw1002,Another stadium knocked off the list. Had a great weekend with some #Jaguars fans and family. 🐆#DUUUVAL @Jaguars #dtwd #jaxvswash https://t.co/xUvIOIQQER,"['Jaguars', 'DUUUVAL', 'dtwd', 'jaxvswash']",59,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,another stadium knocked off list had great weekend with some fans family,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",True,0.6249
4,1569471961083822081,2022-09-12 23:44:09+00:00,JCS312Q,Happy Monday from our amazing jaguars! We ROAR! #JCSPride #Jaguars https://t.co/hQ80Y8AQva,"['JCSPride', 'Jaguars']",5,0,,,happy monday our amazing jaguars we roar,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.8176}",True,0.8176
5,1569471002224238595,2022-09-12 23:40:20+00:00,LanceMedow,"McDermott fills the opening created by the #AZCardinals grabbing Max Garcia 

KC spent the last 4 seasons on the #Jaguars practice squad &amp; active roster..he appeared in 16 games over the last 2 seasons with 1 start #giantschat https://t.co/ijzLMHwcvI","['AZCardinals', 'Jaguars', 'giantschat']",1,0,,,mcdermott fills opening created by grabbing max garcia kc spent last 4 seasons practice squad amp active roster he appeared 16 games over last 2 seasons with 1 start,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.5719}",True,0.5719
6,1569470518268678144,2022-09-12 23:38:25+00:00,JCS312Q,Morning arrival and ready to take on the day! We ROAR! #JCSPride #Jaguars https://t.co/HudBWspkkK,"['JCSPride', 'Jaguars']",4,0,,,morning arrival ready take day we roar,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",True,0.3612
7,1569467143351050240,2022-09-12 23:25:00+00:00,Scott_Spratt,"The #Chargers face the #Chiefs, #Jaguars, and #Texans in Weeks 2-4, and those teams increased their opponents' expected passing touchdowns by 0.26, 0.01, and 0.09 per game in 2021. Josh Palmer would see a fantasy-friendly slate if Keenan Allen missed a few weeks.","['Chargers', 'Chiefs', 'Jaguars', 'Texans']",1,0,,,face weeks 2 4 those teams increased their opponents expected passing touchdowns by 0 26 0 01 0 09 per game 2021 josh palmer would see fantasy friendly slate if keenan allen missed few weeks,"{'neg': 0.064, 'neu': 0.783, 'pos': 0.154, 'compound': 0.4767}",True,0.4767
8,1569465520633815042,2022-09-12 23:18:34+00:00,j_cordell,"Theory: NYC Loves the #Jaguars? First, they beat the #Titans. Then here at Port Authority Bus Terminal, they have a Save the Jaguars display. #DUUUVAL Thank you, @NYCMayor https://t.co/ae1HSOgjPG","['Jaguars', 'Titans', 'DUUUVAL']",0,0,"[User(username='NYCMayor', id=19834403, displayname='Mayor Eric Adams', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,theory nyc loves first they beat then here at port authority bus terminal they have save jaguars display thank you,"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.8658}",True,0.8658
9,1569465389477658626,2022-09-12 23:18:02+00:00,raw_chili,"Sun Sep 11, 2022 - Aidan Hutchinson had one tackle in his season debut with the ... 
 
https://t.co/S3e4qr88Vm
 
#AmericanFootballConference #AmericanFootballConferenceSouthDivision #Florida #Football #Jacksonville #JacksonvilleJaguars #Jaguars #NationalFootballLeague #NFL https://t.co/G7ktv6cWbO","['AmericanFootballConference', 'AmericanFootballConferenceSouthDivision', 'Florida', 'Football', 'Jacksonville', 'JacksonvilleJaguars', 'Jaguars', 'NationalFootballLeague', 'NFL']",1,0,,,sun sep 11 2022 aidan hutchinson had one tackle his season debut with,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
