,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1577083829856133127,2022-10-03 23:51:00+00:00,JaguarsViews,"Latavius Murray scores in return; SU alum gets pick-six (Syracuse, CNY in the NFL) #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/ypjHKNa0Nv","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,latavius murray scores return su alum gets pick six syracuse cny nfl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1577080392875548672,2022-10-03 23:37:21+00:00,NFLDraftBites,"#Jaguars At a really fun spot. Competent Coach &amp; Staff. Makings of a Franchise QB. Legitimate building blocks on Defense. Not this yrs Bengals, but they'll compete in the AFC South all yr. Stack another solid offseason, they might be the team to beat AFCS.",['Jaguars'],7,0,,,at really fun spot competent coach amp staff makings franchise qb legitimate building blocks defense not this yrs bengals but theyll compete afc south all yr stack another solid offseason they might be team beat afcs,"{'neg': 0.037, 'neu': 0.781, 'pos': 0.182, 'compound': 0.5829}",True,0.5829
2,1577079605420167168,2022-10-03 23:34:13+00:00,NFLDraftBites,"#Jaguars Defensive Front faced toughest test yesterday. Josh Allen consistently jumps out. Extension Eligible in final yr of rookie deal with 5th Yr Option exercised for '23. Devin Lloyd looks exceptional &amp; there's flashes from Travon Walker.

Offense will keep improving...",['Jaguars'],4,0,,,defensive front faced toughest test yesterday josh allen consistently jumps out extension eligible final yr rookie deal with 5th yr option exercised 23 devin lloyd looks exceptional amp theres flashes travon walker offense will keep improving,"{'neg': 0.084, 'neu': 0.816, 'pos': 0.099, 'compound': 0.1531}",True,0.1531
3,1577076011795038208,2022-10-03 23:19:56+00:00,bennyandthejags,If Fatukasi can’t go on Sunday that is a HUGE blow to the jags run D. And pierce is for real. Need better depth at interior D lineman. #jaguars,['jaguars'],1,0,,,if fatukasi can t go sunday that is huge blow jags run d pierce is real need better depth at interior d lineman,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6369}",True,0.6369
4,1577075871613333504,2022-10-03 23:19:23+00:00,BuzzedSportsJAX,"It was so nice to have Agnew be involved again 🔥

#Jaguars #DUUUVAL https://t.co/5ESwJT6bsn","['Jaguars', 'DUUUVAL']",1,0,,,it was so nice have agnew be involved again,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.5598}",True,0.5598
5,1577073533980590083,2022-10-03 23:10:05+00:00,MattsMusings1,"That trade was one of the best moves they made in a long time, and with how thin that front is (and the Foley injury), they may need to swing it. #Jaguars https://t.co/pm3PWqEw9a",['Jaguars'],1,0,,,that trade was one best moves they made long time with how thin that front is foley injury they may need swing it,"{'neg': 0.1, 'neu': 0.75, 'pos': 0.15, 'compound': 0.34}",True,0.34
6,1577072757711544334,2022-10-03 23:07:00+00:00,JaguarsViews,"Eagles 29, Jaguars 21: The Good, the Bad and the Ugly #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/fkN2JBzuex","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,eagles 29 jaguars 21 good bad ugly,"{'neg': 0.496, 'neu': 0.292, 'pos': 0.212, 'compound': -0.5994}",False,-0.5994
7,1577072526970298398,2022-10-03 23:06:05+00:00,johnsap25,".@adamjones985 
The Following Teams Have Better Records Than The #Patriots :
#NYGiants       (3-1)
#NYJets            (2-2)
#Jaguars          (2-2)
#Bears               (2-2)
#Falcons           (2-2)
#Seahawks (2-2)
#NFL","['Patriots', 'NYGiants', 'NYJets', 'Jaguars', 'Bears', 'Falcons', 'Seahawks', 'NFL']",3,1,"[User(username='adamjones985', id=246959956, displayname='Hockey Jones 🏒🏒🏒', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-71.011197, latitude=42.343839)",following teams have better records than 3 1 2 2 2 2 2 2 2 2 2 2,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",True,0.4404
8,1577069993488941056,2022-10-03 22:56:01+00:00,JaguarsViews,Mike Sielski: Nick Sirianni's Eagles look just like the best of Doug Pederson's Eagles. Buckle up. #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/AsNra8oIG6,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,mike sielski nick siriannis eagles look just like best doug pedersons eagles buckle up,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.7717}",True,0.7717
9,1577063746559778827,2022-10-03 22:31:12+00:00,RealMBB,"Once you see this angle, I'm not sure how many QBs drop it in there once you add in the conditions. #Jaguars https://t.co/vKOF1LGKUN",['Jaguars'],1,0,,,once you see this angle im not sure how many qbs drop it there once you add conditions,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.47}",False,-0.47
