,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1564039214957731841,2022-08-28 23:56:21+00:00,TheJaguarsWire,These four positional groups will keep the #Jaguars’ front office up at night heading into cut week.  https://t.co/PNnjrWzCe3,['Jaguars'],1,0,,,these four positional groups will keep front office up at night heading into cut week,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2732}",False,-0.2732
1,1564039126596419585,2022-08-28 23:56:00+00:00,JaguarsViews,Jaguars' HC Doug Pederson 'feels good' about team ahead of regular season #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/1yVyQff9i8,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",2,0,,,jaguars hc doug pederson feels good about team ahead regular season,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",True,0.4404
2,1564036366203322369,2022-08-28 23:45:02+00:00,JaguarsViews,Jaguars’ HC Doug Pederson ‘feels good’ about team ahead of regular season #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/bnfrTcQDkx,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,jaguars hc doug pederson feels good about team ahead regular season,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",True,0.4404
3,1564035373583433728,2022-08-28 23:41:06+00:00,PhotoBowles,"Big month for 83 #preseason 

#NFL #Jaguars 

📸 for @Jaguars https://t.co/kLXIAGicdI","['preseason', 'NFL', 'Jaguars']",45,1,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,big month 83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1564032580692807680,2022-08-28 23:30:00+00:00,lockedonfalcons,"LIVE NOW!!

Desmond Ridder had his ups &amp; downs vs. #Jaguars, what does that tell us about what to expect from him in the regular season?

Who helped their chances of sticking in Saturday's win?

@falcfans breaks it down on tonight's podcast!

📺 Watch: https://t.co/iiMfdmJKMI https://t.co/6KcXaP5Cen",['Jaguars'],3,3,"[User(username='falcfans', id=44354301, displayname='Aaron Freeman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,live now desmond ridder had his ups amp downs vs what does that tell us about what expect him regular season who helped their chances sticking saturdays win breaks it down tonights podcast watch,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.6808}",True,0.6808
5,1564029565575593990,2022-08-28 23:18:01+00:00,SSN_GOD_,"@Jaystus I see crybabies, a child molestor, an injury-prone dude, and an old guy. Not one sack registered vs the Patriots in the AFC Championship game. Don’t miss them at all. #Jaguars #DUUUVAL #NFL","['Jaguars', 'DUUUVAL', 'NFL']",0,0,"[User(username='Jaystus', id=183036747, displayname='Justus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,i see crybabies child molestor injury prone dude old guy not one sack registered vs patriots afc championship game don t miss them at all,"{'neg': 0.161, 'neu': 0.733, 'pos': 0.106, 'compound': -0.128}",False,-0.128
6,1564026146798424071,2022-08-28 23:04:26+00:00,DUVAL_DOOM,@JagsandRedsfan Sure. It's when you celebrate the joy of being a #Jaguars fan.,['Jaguars'],1,0,"[User(username='JagsandRedsfan', id=318785899, displayname='BeccaLouWho🎄🐆❤️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-81.719358, latitude=30.752932)",sure its when you celebrate joy being fan,"{'neg': 0.0, 'neu': 0.248, 'pos': 0.752, 'compound': 0.9022}",True,0.9022
7,1564023038613520385,2022-08-28 22:52:05+00:00,NickElenis,I’d like to see Tim Jones play with Trevor. #Jaguars,['Jaguars'],4,0,,,i d like see tim jones play with trevor,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.5994}",True,0.5994
8,1564011356495511554,2022-08-28 22:05:39+00:00,pfrumors,"The #Jaguars have brought in a new HC and made plenty of free agent additions in 2022. Will they help turn the franchise's fortunes around?
https://t.co/xRVrliPZgc",['Jaguars'],9,1,,,have brought new hc made plenty free agent additions 2022 will they help turn franchises fortunes around,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.7184}",True,0.7184
9,1564011140912381953,2022-08-28 22:04:48+00:00,JaguarReport,Final #Jaguars 53-Man Roster Prediction: Who Makes Squad Following Preseason? https://t.co/cyh1Am3hBF via @_john_shipley,['Jaguars'],4,0,"[User(username='_John_Shipley', id=797228195007385600, displayname='John Shipley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,final 53 man roster prediction who makes squad following preseason via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
