,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
2,1569472188801064963,2022-09-12 23:45:03+00:00,JaguarsViews,Jaguars cornerback Tyson Campbell expounds on culture being created by Doug Pederson #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/ijohphnNvt,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,jaguars cornerback tyson campbell expounds culture created doug pederson,0.25,0.0,0.25,True
3,1569472129908752385,2022-09-12 23:44:49+00:00,jpaw1002,Another stadium knocked off the list. Had a great weekend with some #Jaguars fans and family. 🐆#DUUUVAL @Jaguars #dtwd #jaxvswash https://t.co/xUvIOIQQER,"['Jaguars', 'DUUUVAL', 'dtwd', 'jaxvswash']",59,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,another stadium knocked list great weekend fans family,0.6249,0.8,1.4249,True
4,1569471961083822081,2022-09-12 23:44:09+00:00,JCS312Q,Happy Monday from our amazing jaguars! We ROAR! #JCSPride #Jaguars https://t.co/hQ80Y8AQva,"['JCSPride', 'Jaguars']",5,0,,,happy monday amazing jaguars roar,0.8176,0.7000000000000001,1.5176,True
5,1569471002224238595,2022-09-12 23:40:20+00:00,LanceMedow,"McDermott fills the opening created by the #AZCardinals grabbing Max Garcia 

KC spent the last 4 seasons on the #Jaguars practice squad &amp; active roster..he appeared in 16 games over the last 2 seasons with 1 start #giantschat https://t.co/ijzLMHwcvI","['AZCardinals', 'Jaguars', 'giantschat']",1,0,,,mcdermott fills opening created grabbing max garcia kc spent last 4 seasons practice squad amp active roster appeared 16 games last 2 seasons 1 start,0.5719,-0.058333333333333334,0.5135666666666666,True
6,1569470518268678144,2022-09-12 23:38:25+00:00,JCS312Q,Morning arrival and ready to take on the day! We ROAR! #JCSPride #Jaguars https://t.co/HudBWspkkK,"['JCSPride', 'Jaguars']",4,0,,,morning arrival ready take day roar,0.3612,0.2,0.5612,True
7,1569467143351050240,2022-09-12 23:25:00+00:00,Scott_Spratt,"The #Chargers face the #Chiefs, #Jaguars, and #Texans in Weeks 2-4, and those teams increased their opponents' expected passing touchdowns by 0.26, 0.01, and 0.09 per game in 2021. Josh Palmer would see a fantasy-friendly slate if Keenan Allen missed a few weeks.","['Chargers', 'Chiefs', 'Jaguars', 'Texans']",1,0,,,face weeks 2 4 teams increased opponents expected passing touchdowns 0 26 0 01 0 09 per game 2021 josh palmer would see fantasy friendly slate keenan allen missed weeks,0.4767,-0.041666666666666664,0.4350333333333333,True
9,1569465520633815042,2022-09-12 23:18:34+00:00,j_cordell,"Theory: NYC Loves the #Jaguars? First, they beat the #Titans. Then here at Port Authority Bus Terminal, they have a Save the Jaguars display. #DUUUVAL Thank you, @NYCMayor https://t.co/ae1HSOgjPG","['Jaguars', 'Titans', 'DUUUVAL']",0,0,"[User(username='NYCMayor', id=19834403, displayname='Mayor Eric Adams', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,theory nyc loves first beat port authority bus terminal save jaguars display thank,0.8658,0.25,1.1158000000000001,True
11,1569465119419023361,2022-09-12 23:16:58+00:00,TheJaguarsWire,"The #Jaguars season didn’t get off to a hot start, but Campbell still has faith in Pederson’s ability to take the team to new heights in 2022.  https://t.co/Ce6MbDclwj",['Jaguars'],0,0,,,season get hot start campbell still faith pederson ability take team new heights 2022,0.6249,0.19318181818181818,0.8180818181818181,True
12,1569464252012048384,2022-09-12 23:13:31+00:00,_John_Shipley,"My takez on the #Jaguars Week 1 loss. 

-- How I think Lawrence played and balancing that with the clear angst 
-- James Robinson: still that dude
-- When is the defense the Jaguars have poured resources into going to start playing like it? 

https://t.co/QRRhDLv7GH",['Jaguars'],27,3,,,takez week 1 loss think lawrence played balancing clear angst james robinson still dude defense jaguars poured resources going start playing like,0.7579,0.10000000000000002,0.8579,True
14,1569463536811933696,2022-09-12 23:10:41+00:00,godfatherleague,"very promising. 
getting sent downfield in passing game. 
usage mirrors how Pederson used M. Sanders in 2019. 
#jaguars https://t.co/dQHmfofIGT",['jaguars'],0,0,,,promising getting sent downfield passing game usage mirrors pederson used sanders 2019,0.4019,-0.1,0.30189999999999995,True
