,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1572012060887613440,2022-09-19 23:57:36+00:00,FratletesPod,Did @JakeMancini3 really predict the #Jaguars to win the AFC South in the Preseason? Yes… Yes he did. https://t.co/sjvzzG5P82,['Jaguars'],14,6,"[User(username='JakeMancini3', id=734091703, displayname='Jake', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,really predict win afc south preseason yes yes,0.8583,0.5,1.3582999999999998,True
2,1572008894876225536,2022-09-19 23:45:01+00:00,JaguarsViews,NFL observers around the nation react to Colts' stunningly bad start #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/VmXA5leyun,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,nfl observers around nation react colts stunningly bad start,-0.5423,-0.6999999999999998,-1.2422999999999997,False
3,1572008384383315968,2022-09-19 23:42:59+00:00,DraftHistory,"Prior to yesterday how many of these QBs would you have guessed to be in the top 6 in passing ratings for the week
#Ravens Lamar Jackson 142.6
#Packers Aaron Rodgers 131.1
#Dolphins Tua Tagovailoa 124.1
#Lions Jared Goff 121.7
#Jaguars Trevor Lawrence 121.5
#Jets Joe Flacco 110.7","['Ravens', 'Packers', 'Dolphins', 'Lions', 'Jaguars', 'Jets']",1,0,,,prior yesterday many qbs would guessed top 6 passing ratings week lamar jackson 142 6 aaron rodgers 131 1 tua tagovailoa 124 1 jared goff 121 7 trevor lawrence 121 5 joe flacco 110 7,0.2023,0.3333333333333333,0.5356333333333333,True
4,1572005518088060928,2022-09-19 23:31:36+00:00,MainManPlan,"I may have missed it but is Tyson Campbell ok after he got hurt yesterday? #Jaguars 

@_John_Shipley @Demetrius82",['Jaguars'],0,0,"[User(username='_John_Shipley', id=797228195007385600, displayname='John Shipley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Demetrius82', id=15216982, displayname='Demetrius Harvey', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,may missed tyson campbell ok got hurt yesterday,-0.5267,0.5,-0.026699999999999946,False
5,1572001341412724737,2022-09-19 23:15:00+00:00,Duffykev36,"Next weeks matchup vs Chargers . Love being the Underdog's!! Go Jags !!!
#DUUUVAL
#jaguars , #gojags , #FlipTheScript
 ,#jagstwitter ,#jags

https://t.co/m7U5SWb8tX","['DUUUVAL', 'jaguars', 'gojags', 'FlipTheScript', 'jagstwitter', 'jags']",0,0,,,next weeks matchup vs chargers love underdogs go jags,0.6369,0.25,0.8869,True
6,1572000794286915584,2022-09-19 23:12:50+00:00,berniesbolttalk,Bolt fam! Chargers tix raffle going down! Get a chance to watch the Chargers beat down the Jags this weekend for $40! A few slots still open! HMU if interested! #Chargerstix #Chargers #BoltUp #Jaguars #DUUUVAL https://t.co/wWNZRmANzI,"['Chargerstix', 'Chargers', 'BoltUp', 'Jaguars', 'DUUUVAL']",0,0,,,bolt fam chargers tix raffle going get chance watch chargers beat jags weekend 40 slots still open hmu interested,0.5719,0.125,0.6969,True
7,1572000587654250496,2022-09-19 23:12:01+00:00,JaguarsViews,Jaguars Daily: Twitter blasts Colts after ‘lifeless loss’ #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/rhd0KNd2tQ,"['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,jaguars daily twitter blasts colts lifeless loss,-0.3182,0.0,-0.3182,False
9,1571999796503908357,2022-09-19 23:08:52+00:00,astrojaguar,"New neighbors dropped off cookies 🍪 😋 
It's the victory Monday karma. #Jaguars https://t.co/X5mVaIfSYx",['Jaguars'],6,0,,,new neighbors dropped cookies victory monday karma,0.0,0.13636363636363635,0.13636363636363635,True
11,1571997891455234050,2022-09-19 23:01:18+00:00,JaguarsViews,Check out Lawrence's postgame interview after win #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/s5Gt7EfrkR,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,check lawrences postgame interview win,0.5859,0.8,1.3859,True
12,1571995054343962624,2022-09-19 22:50:01+00:00,JaguarsViews,Jaguars' Christian Kirk proving to be worth every penny of $72M deal #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/ASTUdkYB9z,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,jaguars christian kirk proving worth every penny 72m deal,0.2263,0.15,0.37629999999999997,True
