,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1587232702134046720,2022-10-31 23:59:00+00:00,MileHighHuddle,"Tonight at 6M/7C/8E! @ChadNJensen &amp; @KelbermanNFL sift through the eruption of trade rumors following the #Broncos' big win over the #Jaguars. Whose name is being bandied about? And what did we learn from Week 8? 

https://t.co/2heOYYDTVh","['Broncos', 'Jaguars']",2,1,"[User(username='ChadNJensen', id=247338532, displayname='Chad Jensen', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KelbermanNFL', id=22870863, displayname='Zack Kelberman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,tonight 6m 7c 8e amp sift eruption trade rumors following big win whose name bandied learn week 8,0.5859,0.26666666666666666,0.8525666666666667,True
1,1587231471999352832,2022-10-31 23:54:06+00:00,wjhsd,Congrats to @TJHSJaguars on being selected the @TribLiveHSSN Football Team of the Week! The #Jaguars defeated previously unbeaten McKeesport to earn a share of the Section/Big Seven Conference title. #WJHSD #WErTJ https://t.co/V4Jl44XWnN,"['Jaguars', 'WJHSD', 'WErTJ']",10,1,"[User(username='TJHSJaguars', id=1024692203141181441, displayname='TJHSJaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TribLiveHSSN', id=39548286, displayname='TribLive HSSN', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,congrats selected football team week defeated previously unbeaten mckeesport earn share section big seven conference title,0.3612,-0.08333333333333333,0.2778666666666667,True
2,1587230691749773313,2022-10-31 23:51:00+00:00,JaguarsViews,"Jacksonville Jaguars owner Shad Khan talks Lemon Bar purchase, playing in London, his coaches #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/dpyYI4hpPG","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",2,1,,,jacksonville jaguars owner shad khan talks lemon bar purchase playing london coaches,0.2023,0.0,0.2023,True
5,1587222385199038466,2022-10-31 23:18:00+00:00,JaguarsViews,Football teams condemn pro-Kanye antisemitic message shared at game #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/rDUPTaRy2D,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,football teams condemn pro kanye antisemitic message shared game,-0.0516,-0.4,-0.4516,False
6,1587221618840915969,2022-10-31 23:14:57+00:00,Duffykev36,"Maybe the @Jaguars  should show the team the chargers and colts team film again and show them what they did right , instead of showing them the last games film of what they did wrong. Show them something they can achieve and they will believe they can do it again. #DUUUVAL ,#jags","['DUUUVAL', 'jags']",0,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,maybe show team chargers colts team film show right instead showing last games film wrong show something achieve believe,-0.4767,-0.07142857142857144,-0.5481285714285714,False
10,1587214399327981569,2022-10-31 22:46:16+00:00,TheMHHPod,"Tonight at 6M/7C/8E! @ChadNJensen &amp; @KelbermanNFL sift through the eruption of trade rumors following the #Broncos' big win over the #Jaguars. Whose name is being bandied about? And what did we learn from Week 8? 

https://t.co/JglssUzqJT","['Broncos', 'Jaguars']",3,4,"[User(username='ChadNJensen', id=247338532, displayname='Chad Jensen', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KelbermanNFL', id=22870863, displayname='Zack Kelberman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,tonight 6m 7c 8e amp sift eruption trade rumors following big win whose name bandied learn week 8,0.5859,0.26666666666666666,0.8525666666666667,True
13,1587213704751448065,2022-10-31 22:43:30+00:00,SportsTalkFLA,"@stevieslick14 was live at @Jaguars game yesterday talking with NFL fans.
#DUUUVAL #NFLTwitter https://t.co/ivzdAIP6Gs","['DUUUVAL', 'NFLTwitter']",1,0,"[User(username='stevieslick14', id=2488371173, displayname='Steve Probert', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,live game yesterday talking nfl fans,0.0,-0.13181818181818183,-0.13181818181818183,False
15,1587211104265961472,2022-10-31 22:33:10+00:00,trevorville_,We are officially playing spoiler for teams still in the hunt. #Jaguars,['Jaguars'],0,0,,,officially playing spoiler teams still hunt,0.2023,0.0,0.2023,True
17,1587210073822343169,2022-10-31 22:29:05+00:00,Demetrius82,Sorry. Tired and read it incorrectly. #Jaguars are 1.5-point underdogs against the Raiders according to @tipico https://t.co/EhsQBqEyaf,['Jaguars'],7,1,"[User(username='tipico', id=1278389786034782208, displayname='Tipico Sportsbook', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,sorry tired read incorrectly 1 5 point underdogs raiders according,-0.4939,-0.45,-0.9439,False
18,1587209626872938496,2022-10-31 22:27:18+00:00,wjhsd,"Good luck to @tjgirlsvb in #WPIAL 3A semifinals!  The #Jaguars play North Catholic on Tuesday at Gateway HS at approx. 8 pm. The first 3A semi is at 6 pm. Buy tickets at: https://t.co/4bUBVmM1EK . Adults $7; Students $5. All tickets $7 at gate, cash only.  #WJHSD #WErTJ https://t.co/z4wLDWLVWD","['WPIAL', 'Jaguars', 'WJHSD', 'WErTJ']",11,1,"[User(username='tjgirlsvb', id=1539044356488929281, displayname='TJ Girls Volleyball', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,good luck 3a semifinals play north catholic tuesday gateway hs approx 8 pm first 3a semi 6 pm buy tickets adults 7 students 5 tickets 7 gate cash,0.8074,0.31666666666666665,1.1240666666666668,True
