,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1589767407123537920,2022-11-07 23:51:00+00:00,JaguarsViews,3 men arrested after running onto the Jaguars’ football field during game against the Raiders #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/gCfIlc02Qg,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,3 men arrested running onto jaguars football field game raiders,-0.4767,-0.4,-0.8767,False
1,1589766956517068800,2022-11-07 23:49:13+00:00,rgroveslaw,"During Sunday’s nationally televised #jaguars game against the #RaiderNation a 32 year old man ran on the field. He was immediately apprehended. If he had thought it through, he would have dumped his cocaine and methamphetamines beforehand. Charged with possession. https://t.co/ab1ytIPsJw","['jaguars', 'RaiderNation']",0,0,,,sunday nationally televised game 32 year old man ran field immediately apprehended thought would dumped cocaine methamphetamines beforehand charged possession,-0.5423,-0.15000000000000002,-0.6923,False
2,1589763430957076485,2022-11-07 23:35:12+00:00,3forceWarrior,#JagFam really showing love! I appreciate it! #DUUUVAL #Jaguars 🐆,"['JagFam', 'DUUUVAL', 'Jaguars']",2,0,,,really showing love appreciate,0.8147,0.35,1.1646999999999998,True
3,1589759447240695808,2022-11-07 23:19:23+00:00,ACathberry,"Intramural golden State college koronadal city
#Jaguars 
#goldenstatecolloge https://t.co/FYl3KKUvh6","['Jaguars', 'goldenstatecolloge']",1,0,,,intramural golden state college koronadal city,0.0,0.3,0.3,True
4,1589757903703244802,2022-11-07 23:13:15+00:00,Bestmrfootball,"🏈 NFL Draft Prospect: Devin Lloyd, LB, Utah with Vincent Turner https://t.co/WP1JpXYerY via @YouTube #jaguars",['jaguars'],0,0,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,nfl draft prospect devin lloyd lb utah vincent turner via,0.296,0.0,0.296,True
7,1589754578697846790,2022-11-07 23:00:02+00:00,habshype,"Shop #DUUUVAL Frames, Phone Cases, Puzzles, Throw Pillows and more! @ &gt;&gt; https://t.co/YpWrrSjEUT &lt;&lt; #NFL #Football #FootballSunday #sundayfootball #Jacksonville #JacksonvilleJags #JacksonvilleJaguars #Jaguars","['DUUUVAL', 'NFL', 'Football', 'FootballSunday', 'sundayfootball', 'Jacksonville', 'JacksonvilleJags', 'JacksonvilleJaguars', 'Jaguars']",1,1,,,shop frames phone cases puzzles throw pillows gt gt lt lt,0.4939,0.0,0.4939,True
9,1589752250443800576,2022-11-07 22:50:47+00:00,Bkwaye1,Finally able to wear my Victory Monday Tee. FEELS GREAT  @Jaguars #DTWD #DUUUVAL @HRBCB https://t.co/DVjXTXNV5I,"['DTWD', 'DUUUVAL']",2,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HRBCB', id=3201448055, displayname='BCB Hampton Roads', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,finally able wear victory monday tee feels great,0.6249,0.65,1.2749000000000001,True
10,1589751166426284033,2022-11-07 22:46:28+00:00,MissFoucault,SCOTT WE GOT A DUB YESTERDAY!! 🤩 🏈 🎉  @SHOTOFYAGER would love to hear your thoughts on the #Jaguars,['Jaguars'],1,0,"[User(username='SHOTOFYAGER', id=104665793, displayname='Scott Yager🪁', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,scott got dub yesterday would love hear thoughts,0.6369,0.5,1.1369,True
11,1589750808870285313,2022-11-07 22:45:03+00:00,JaguarsViews,Man runs through Jaguars football field during game against the Raiders #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/Eft7HZIPZt,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,1,,,man runs jaguars football field game raiders,0.0,-0.4,-0.4,False
13,1589748302580715520,2022-11-07 22:35:06+00:00,_John_Shipley,"My takes on the #Jaguars victory over the Raiders. 

- Tough performance from Travis Etienne, who is only getting better
- Dawuane Smoot is in impressive company
- Trevor Lawrence's development needed a game like that

 https://t.co/90UAZGEv1a",['Jaguars'],27,4,,,takes victory raiders tough performance travis etienne getting better dawuane smoot impressive company trevor lawrences development needed game like,0.802,0.17777777777777778,0.9797777777777779,True
