,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1584696235532857344,2022-10-24 23:59:59+00:00,DaveMyersBIB,"The #Jets fleeced the #Jaguars. 

A 6th that can become a conditional 5th…

Geez, I thought Robinson was worth a lot more than that.","['Jets', 'Jaguars']",14,2,,,fleeced 6th that can become conditional 5th geez i thought robinson was worth lot more than that,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}",True,0.2263
1,1584696224992874496,2022-10-24 23:59:56+00:00,BradyBuchheit,Michael carter is somewhere crying #NFL #Jets #Jaguars https://t.co/9BTrq82Imz,"['NFL', 'Jets', 'Jaguars']",2,0,,,michael carter is somewhere crying,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",False,-0.4767
2,1584696125449068545,2022-10-24 23:59:33+00:00,jeremywilks8,"BREAKING: The #Jaguars are trading RB James Robinson to the #Jets, per @rapsheet.

Robinson is in the final year of his rookie deal and will be an RFA in 2023, so the Jets can retain his rights. ✈️✈️ #TakeFlight https://t.co/5fp2zcAjA4","['Jaguars', 'Jets', 'TakeFlight']",1,0,"[User(username='RapSheet', id=16403943, displayname='Ian Rapoport', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,breaking are trading rb james robinson per robinson is final year his rookie deal will be rfa 2023 so jets can retain his rights,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1584696120495992834,2022-10-24 23:59:32+00:00,JcSportsTalk20,Man #Jaguars gave this man away for nothing. #NFLTwitter https://t.co/z1VhxcCfpg,"['Jaguars', 'NFLTwitter']",2,0,,,man gave this man away nothing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1584695885258424320,2022-10-24 23:58:35+00:00,theryanmichael,Awful move by the #Jaguars. https://t.co/Az2Jl2NRZ3,['Jaguars'],9,0,,,awful move by,"{'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.4588}",False,-0.4588
5,1584695799102853120,2022-10-24 23:58:15+00:00,JohnnieLJ,#Jaguars #DUUUVAL https://t.co/hTLBodmtry,"['Jaguars', 'DUUUVAL']",0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1584695783198171136,2022-10-24 23:58:11+00:00,nfl_trades,TRADE: The #Jaguars are trading Robinson to the #Jets in exchange for a 2023 conditional 6th-round pick that can become a 5th-rounder https://t.co/0HoaLU9qER,"['Jaguars', 'Jets']",0,0,,,trade are trading robinson exchange 2023 conditional 6th round pick that can become 5th rounder,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1584695728005603328,2022-10-24 23:57:58+00:00,KJA_722,👋🏾🙁 Robinson #Jaguars,['Jaguars'],0,0,,,robinson,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1584695702500044800,2022-10-24 23:57:52+00:00,keithshoe,@NFLDraftBites Trade sorry GM with him. #Jaguars,['Jaguars'],0,0,"[User(username='NFLDraftBites', id=1022442133, displayname='Chad Forbes', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,trade sorry gm with him,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.0772}",False,-0.0772
9,1584695671478964225,2022-10-24 23:57:44+00:00,Ryan_DTWD,The #Jaguars love trading away fan favorites lol,['Jaguars'],1,0,,,love trading away fan favorites lol,"{'neg': 0.0, 'neu': 0.142, 'pos': 0.858, 'compound': 0.9022}",True,0.9022
