,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1555704009830420480,2022-08-05 23:55:14+00:00,ajsg,"@DraftKings Derrick Henry. As a @jaguars Fanatic #DUUUVAL I've No Love for the Titans, but I like♥️ that young man 🤗!",['DUUUVAL'],0,0,"[User(username='DraftKings', id=296520276, displayname='DraftKings', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,derrick henry fanatic ive love titans like young man,0.7717,0.10000000000000002,0.8717,True
1,1555702911547604995,2022-08-05 23:50:52+00:00,GRevmgbrown4,"The Las Vegas #RAIDERS Defeated the Jacksonville #Jaguars in 2022 ""Hall of Fame"" #NFL Game at Canton, Ohio on Thursday night, August 4. The final score was #Raiders 27 &amp; #Jaguars 11. 🏈🏈🏈🏈👍🏾👍🏾😎😎😎 https://t.co/cOmOqSNSYb","['RAIDERS', 'Jaguars', 'NFL', 'Raiders', 'Jaguars']",0,1,,,las vegas defeated jacksonville 2022 hall fame game canton ohio thursday night august 4 final score 27 amp 11,-0.0516,-0.2,-0.2516,False
2,1555701444833153024,2022-08-05 23:45:02+00:00,JaguarsViews,These NFL stars aren't expected to play in the 2022 preseason #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/fc7Q75atCz,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,nfl stars arent expected play 2022 preseason,-0.2584,-0.1,-0.35840000000000005,False
7,1555687595425910795,2022-08-05 22:50:00+00:00,JaguarsViews,These NFL stars aren't expected to play in the 2022 preseason #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/FG1xQ0e2qS,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,nfl stars arent expected play 2022 preseason,-0.2584,-0.1,-0.35840000000000005,False
10,1555683048968036354,2022-08-05 22:31:56+00:00,DuvalGiant77,Oh yeah I'll still be in your favorite teams space so don't let me clown on your team like you do the Jaguars so be cautious #Duuuval Giant https://t.co/a50pLeIRDP,['Duuuval'],5,0,,,oh yeah ill still favorite teams space dont let clown team like jaguars cautious giant,0.5423,0.0,0.5423,True
12,1555679291689558016,2022-08-05 22:17:00+00:00,JaguarsViews,Las Vegas Raiders vs Jacksonville Jaguars HOF Game Recap #JagsOpinion #JagsFans #DTWD #JagsFan #DUUUVAL https://t.co/njiGYbF0b9,"['JagsOpinion', 'JagsFans', 'DTWD', 'JagsFan', 'DUUUVAL']",0,0,,,las vegas raiders vs jacksonville jaguars hof game recap,0.0,-0.4,-0.4,False
14,1555676816974782465,2022-08-05 22:07:10+00:00,e24795,NFL Hall of Fame Game 2022 Jacksonville Jaguars vs. Las Vegas Raiders #DUUUVAL #HOFGame @Jaguars https://t.co/k94psvcqFL,"['DUUUVAL', 'HOFGame']",1,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-81.877771, latitude=41.392684)",nfl hall fame game 2022 jacksonville jaguars vs las vegas raiders,0.4404,-0.4,0.04039999999999999,True
16,1555670684369653761,2022-08-05 21:42:48+00:00,carwaxo,Studs and Duds from Hall of Fame Game vs Jaguars #bitcoin #Studs #Duds #Hall #Fame #Game #Jaguars https://t.co/BM0U1dJzDH,"['bitcoin', 'Studs', 'Duds', 'Hall', 'Fame', 'Game', 'Jaguars']",0,0,,,studs duds hall fame game vs jaguars,0.4404,-0.4,0.04039999999999999,True
19,1555667764064518145,2022-08-05 21:31:12+00:00,mynameisteo,Jacksonville #Jaguars vs. Las Vegas #Raiders | 2022 Hall of Fame Game High... https://t.co/ilPP1zwzUG via @YouTube #NFL is back!!!,"['Jaguars', 'Raiders', 'NFL']",0,0,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,jacksonville vs las vegas 2022 hall fame game high via back,0.4404,-0.08,0.3604,True
20,1555664491270004743,2022-08-05 21:18:12+00:00,ally32250,"@TonyBoselli @1010XL Congratulations, Tony! #1 in our Jaguar hearts, always! Enjoy this once in a lifetime weekend!! #Duuuval",['Duuuval'],2,0,"[User(username='TonyBoselli', id=25490481, displayname='Tony Boselli', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='1010XL', id=22014993, displayname='1010 XL / 92.5 FM', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,congratulations tony jaguar hearts always enjoy lifetime weekend,0.7964,0.4,1.1964000000000001,True
