,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1558603307484160000,2022-08-13 23:56:00+00:00,JaguarsViews,Jags' Travon Walker has another good performance in second preseason game #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/iMbx6GU5HD,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",1,1,,,jags travon walker another good performance second preseason game,0.4404,0.09999999999999998,0.5404,True
3,1558597956487593984,2022-08-13 23:34:44+00:00,LoganFCadek,I miss you already Myles Jack #Jaguars,['Jaguars'],1,0,,,miss already myles jack,-0.1531,0.0,-0.1531,False
4,1558597903370829825,2022-08-13 23:34:32+00:00,MainManPlan,So damn weird seeing Myles Jack not in teal anymore. Of all teams....the Steelers........ #Jaguars,['Jaguars'],1,0,,,damn weird seeing myles jack teal anymore teams steelers,-0.5267,-0.5,-1.0267,False
5,1558596363356717056,2022-08-13 23:28:25+00:00,TealTalkPod,"A look at the new Jacksonville Jaguars Offense. Film. Breakdown. Thoughts. Etc.

#NFL #JacksonvilleJaguars #Jaguars #Football #Offense #TealTalk #Sports #Podcast #Film #Breakdown #Duuuval https://t.co/VFOJk1VRbs","['NFL', 'JacksonvilleJaguars', 'Jaguars', 'Football', 'Offense', 'TealTalk', 'Sports', 'Podcast', 'Film', 'Breakdown', 'Duuuval']",3,0,,,look new jacksonville jaguars offense film breakdown thoughts etc,-0.25,0.13636363636363635,-0.11363636363636365,False
7,1558594580835995651,2022-08-13 23:21:20+00:00,News247Planet,"#Jaguars #Trevor #Sports
Jaguars' Trevor Lawrence, Travis Etienne Will not Play vs. Raiders in Corridor of Fame Sport 
https://t.co/GhxstBFV8f 
https://t.co/GhxstBFV8f","['Jaguars', 'Trevor', 'Sports']",0,0,,,jaguars trevor lawrence travis etienne play vs raiders corridor fame sport,0.6486,0.0,0.6486,True
8,1558594410698481664,2022-08-13 23:20:39+00:00,Staffords_House,"How hot is the following take?

The Jacksonville Jaguars could win the AFC South this season #DUUUVAL #NFLTwitter","['DUUUVAL', 'NFLTwitter']",0,0,,,hot following take jacksonville jaguars could win afc south season,0.5859,0.35000000000000003,0.9359,True
12,1558573831354204160,2022-08-13 21:58:52+00:00,TheSoTG,"After last night’s game, @Jaguars head coach Doug Peterson talked about how effective his defense’s pass rush was. #DUUUVAL @3ptCnvrsn https://t.co/astHEtLp8W",['DUUUVAL'],2,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='3ptCnvrsn', id=1660463137, displayname='The 3 Point Conversion', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-87.634643, latitude=24.396308)",last night game head coach doug peterson talked effective defense pass rush,0.5574,0.06666666666666665,0.6240666666666667,True
13,1558570089359753218,2022-08-13 21:44:00+00:00,JaguarsViews,2022 Fantasy Football Wide Receiver Shuffle Up: Everyone loves Michael Pittman #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/nwlyTdcrpK,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,2022 fantasy football wide receiver shuffle everyone loves michael pittman,0.5719,-0.1,0.4719,True
14,1558566579234902018,2022-08-13 21:30:03+00:00,UCFKent,"I this video brings me a ton happiness. However for the love of everything Jacksonville, can some please teach Baldy the proper way to say ""Duval"". 

#DUUUVAL #Jaguars #CLEvsJAX https://t.co/rjkKWhVCex","['DUUUVAL', 'Jaguars', 'CLEvsJAX']",6,0,,"Coordinates(longitude=-87.634643, latitude=24.396308)",video brings ton happiness however love everything jacksonville please teach baldy proper way say duval,0.8779,0.39999999999999997,1.2779,True
15,1558564735007817729,2022-08-13 21:22:44+00:00,The3rdharris,Baldy's breakdowns always gets me fired up #DUUUVAL  #Jaguars https://t.co/q2VsaPeCwm,"['DUUUVAL', 'Jaguars']",15,0,,,baldys breakdowns always gets fired,-0.5574,0.0,-0.5574,False
16,1558561154376646656,2022-08-13 21:08:30+00:00,mlp_sabres,"Glad to see the @Colts are still playing like it was the last game of the year a season ago, against the @Jaguars #DUUUVAL",['DUUUVAL'],0,0,"[User(username='Colts', id=180884045, displayname='Indianapolis Colts', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,glad see still playing like last game year season ago,0.743,0.033333333333333326,0.7763333333333333,True
17,1558559285667299328,2022-08-13 21:01:04+00:00,trilwil92,#Jaguars legend QB Nick Foles gets rekt and fumbles and the #Bills scoop n score it.,"['Jaguars', 'Bills']",39,1,,,legend qb nick foles gets rekt fumbles scoop n score,0.1531,0.0,0.1531,True
18,1558559066728943617,2022-08-13 21:00:12+00:00,JaguarsViews,Jaguars vs Browns: 3 encouraging stats from preseason loss #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/KKJxawHDqO,"['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,jaguars vs browns 3 encouraging stats preseason loss,0.2732,0.0,0.2732,True
19,1558556253156261888,2022-08-13 20:49:01+00:00,JaguarsViews,"Cleveland Browns center Nick Harris will likely need season-ending surgery, Stefanski says #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/k1PBo6TpgB","['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,cleveland browns center nick harris likely need season ending surgery stefanski says,0.0,-0.05,-0.05,False
20,1558553477483200513,2022-08-13 20:38:00+00:00,FanDuel,"🗣️ CALL IT NOW

How many games will the Jaguars win this season? 🤔

#DUUUVAL | #NFL https://t.co/4CgkxGOc5d","['DUUUVAL', 'NFL']",15,0,,,call many games jaguars win season,0.5859,0.65,1.2359,True
21,1558553237149470722,2022-08-13 20:37:02+00:00,DankJaguars,"Get you someone that looks at you like @zayjones11 is looking at you. 

#Jaguars #DUUUVAL #DTWD https://t.co/j0SRS9JyE1","['Jaguars', 'DUUUVAL', 'DTWD']",34,8,"[User(username='zayjones11', id=290791732, displayname='zay', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,get someone looks like looking,0.3612,0.0,0.3612,True
22,1558551959111495682,2022-08-13 20:31:58+00:00,dlinevids1,"Arden Key (@ArdenKeyEl) goes speed to power &amp; bull rushes his blocker to the ground. Would’ve had a sack, but gets tripped. He at least gets the QB off the spot! #passrush #jaguars https://t.co/8QXjuY6JxG","['passrush', 'jaguars']",518,59,"[User(username='ArdenKeyEl', id=1482980575786901504, displayname='Arden Key', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,arden key goes speed power amp bull rushes blocker ground would sack gets tripped least gets qb spot,0.0,-0.15,-0.15,False
