,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1555701444833153024,2022-08-05 23:45:02+00:00,JaguarsViews,These NFL stars aren't expected to play in the 2022 preseason #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/fc7Q75atCz,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,these nfl stars arent expected play 2022 preseason,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.2584}",False,-0.2584
1,1555696973524656132,2022-08-05 23:27:16+00:00,1010xljoec,It’s real #Jaguars @ProFootballHOF https://t.co/8pncej8rHH,['Jaguars'],23,1,"[User(username='ProFootballHOF', id=23632910, displayname='Pro Football Hall of Fame', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,it s real,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1555687595425910795,2022-08-05 22:50:00+00:00,JaguarsViews,These NFL stars aren't expected to play in the 2022 preseason #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/FG1xQ0e2qS,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,these nfl stars arent expected play 2022 preseason,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.2584}",False,-0.2584
3,1555686134805667840,2022-08-05 22:44:12+00:00,muellman78,On his way to get that #GoldJacket @TonyBoselli #ProFootballHallofFame #Jaguars #DUUUVAL https://t.co/L3NietQux8,"['GoldJacket', 'ProFootballHallofFame', 'Jaguars', 'DUUUVAL']",1,0,"[User(username='TonyBoselli', id=25490481, displayname='Tony Boselli', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,his way get that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1555683717959614464,2022-08-05 22:34:36+00:00,KyilanThomas1,@MiaOBrienTV you look fed tf up with the #Jaguars 🤣 I feel ya https://t.co/gDUB29vTgO,['Jaguars'],1,0,"[User(username='MiaOBrienTV', id=3306324576, displayname=""Mia O'Brien"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,you look fed tf up with i feel ya,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1555673782421004288,2022-08-05 21:55:07+00:00,JaguarsViews,Left Tackle Tony Boselli Enters HoF #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/SEOESFKRHg,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,1,,,left tackle tony boselli enters hof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1555670684369653761,2022-08-05 21:42:48+00:00,carwaxo,Studs and Duds from Hall of Fame Game vs Jaguars #bitcoin #Studs #Duds #Hall #Fame #Game #Jaguars https://t.co/BM0U1dJzDH,"['bitcoin', 'Studs', 'Duds', 'Hall', 'Fame', 'Game', 'Jaguars']",0,0,,,studs duds hall fame game vs jaguars,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",True,0.4404
7,1555669189351849986,2022-08-05 21:36:52+00:00,Jagman13,Another #Jaguars legend in the hall https://t.co/JX3vMyE8OQ,['Jaguars'],11,0,,,another legend hall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1555659912927133702,2022-08-05 21:00:00+00:00,1010XL,"NOW on The @Frank_Frangie Show: The @PriscoCBS Report presented by @ShowtimeofJax!

What did Prisco think of the #Jaguars last night?

LISTEN: 1010 AM | 92.5 FM | https://t.co/K9m8ForDVt | 1010 XL app https://t.co/VduqsYyiZ1",['Jaguars'],0,0,"[User(username='Frank_Frangie', id=460783794, displayname='Frank Frangie', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PriscoCBS', id=56411751, displayname='Pete Prisco', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ShowtimeofJax', id=716002822916059136, displayname='Showtime Sports Cards & Collectibles', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,now show report presented by what did prisco think last night listen 1010 am 92 5 fm 1010 xl app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1555653547789676545,2022-08-05 20:34:43+00:00,Sanjit__T,"Travon Walker really impressed me last night. The #Jaguars really hit with him:

https://t.co/ANdZApIBgx https://t.co/Ubt81dDgBY",['Jaguars'],22,2,,,travon walker really impressed me last night really hit with him,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.5256}",True,0.5256
