,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1561487728834928640,2022-08-21 22:57:40+00:00,Brandon_Waters,This move by Snoop Conner. #dtwd #DUUUVAL #jaguars https://t.co/KBoqab5mwS,"['dtwd', 'DUUUVAL', 'jaguars']",3,0,,,this move by snoop conner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1561486241295646720,2022-08-21 22:51:45+00:00,ZachPotterTE,Game day in Omaha. Go #Jaguars https://t.co/vgnBo79rAI,['Jaguars'],107,1,,,game day omaha go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1561485804987351040,2022-08-21 22:50:01+00:00,JaguarsViews,Garcia beats Kvitova to win Western &amp; Southern title #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/wmEkI2yLXu,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,garcia beats kvitova win western amp southern title,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",True,0.5859
3,1561479501619527681,2022-08-21 22:24:58+00:00,CFreemanJAX,"Take a few minutes to read @Demetrius82's story on #Jaguars OT Jawaan Taylor as he enters an emotional season, via @jaxdotcom: https://t.co/i14mqMf6Uc",['Jaguars'],9,1,"[User(username='Demetrius82', id=15216982, displayname='Demetrius Harvey', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='jaxdotcom', id=15572679, displayname='Florida Times-Union', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,take few minutes read story ot jawaan taylor as he enters emotional season via,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.1531}",True,0.1531
4,1561478010175295489,2022-08-21 22:19:03+00:00,Miss_Botello,Thank you for the update on Del Sol High School’s progress! It’s taking shape and I can’t wait to see it in 2023. #jaguars https://t.co/xqrB16yS9Z,['jaguars'],0,0,,,thank you update del sol high school s progress it s taking shape i can t wait see it 2023,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6486}",True,0.6486
5,1561475370918223873,2022-08-21 22:08:33+00:00,boudytechnolog2,"What a revolution in automotive industry!!!!!!!!!!!!!!!!!!!
#Automotive #Automotivedesign #Automobile #Auto #car #Automobil #BMW #Tesla #Mercedes #Jaguars #automotiveindustry https://t.co/naO4LUexfV","['Automotive', 'Automotivedesign', 'Automobile', 'Auto', 'car', 'Automobil', 'BMW', 'Tesla', 'Mercedes', 'Jaguars', 'automotiveindustry']",0,0,,,what revolution automotive industry,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1561475303469469696,2022-08-21 22:08:17+00:00,TechnologyBoudy,"What a revolution in automotive industry!!!!!!!!!!!!!!!!!!!
#Automotive #Automotivedesign #Automobile #Auto #car #Automobil #BMW #Tesla #Mercedes #Jaguars #automotiveindustry https://t.co/yMrpbO1mm4","['Automotive', 'Automotivedesign', 'Automobile', 'Auto', 'car', 'Automobil', 'BMW', 'Tesla', 'Mercedes', 'Jaguars', 'automotiveindustry']",2,0,,,what revolution automotive industry,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1561473253285236740,2022-08-21 22:00:09+00:00,TheJaguarsWire,"#Jaguars receiver Laquon Treadwell had the time of his life while mic’d up vs #Browns, and we’re here for every second of it.  https://t.co/sFMaXynFYW","['Jaguars', 'Browns']",2,1,,,receiver laquon treadwell had time his life while mic d up vs we re here every second it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1561472220727492608,2022-08-21 21:56:02+00:00,raw_chili,"[Demetrius Harvey] #Jaguars who will not dress tonight vs. Steelers, no surprises: 21 CB ... 
 
https://t.co/KmuYuSkKdI
 
#AmericanFootballConference #AmericanFootballConferenceSouthDivision #Florida #Football #Jacksonville #JacksonvilleJaguars #NationalFootballLeague #NFL https://t.co/aRs1mkuWvl","['Jaguars', 'AmericanFootballConference', 'AmericanFootballConferenceSouthDivision', 'Florida', 'Football', 'Jacksonville', 'JacksonvilleJaguars', 'NationalFootballLeague', 'NFL']",0,0,,,who will not dress tonight vs steelers no surprises 21 cb,"{'neg': 0.168, 'neu': 0.687, 'pos': 0.145, 'compound': -0.0772}",False,-0.0772
9,1561470783582621696,2022-08-21 21:50:20+00:00,RhiannaHollenb1,"My wallet felt empty without a #jaguar from the @ApeGangNFT Collection!

Gotta have the TRIO
#apegang #toucans #jaguars 
#NFTCommunity #floorGEM #sessy https://t.co/gzmtsmuibs","['jaguar', 'apegang', 'toucans', 'jaguars', 'NFTCommunity', 'floorGEM', 'sessy']",11,1,"[User(username='ApeGangNFT', id=1389582564264923138, displayname='ApeGang.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,my wallet felt empty without collection gotta have trio,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.2023}",False,-0.2023
