,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1569837933854851072,2022-09-13 23:58:24+00:00,T_halliburton,"@BaldyNFL @ChicagoBears @justnfields When Maholm does it, the media ears it up and it’s “ oh look at Maholms can do”. Just cuz they want to hate on #DaBears nobody (aside from this post) wants to acknowledge him. It’s cool. Bears fans are watchin and we know!!!",['DaBears'],3,1,"[User(username='BaldyNFL', id=2957214987, displayname='Brian Baldinger', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChicagoBears', id=47964412, displayname='Chicago Bears', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='justnfields', id=2641158161, displayname='Justin Fields', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,maholm media ears oh look maholms cuz want hate nobody aside post wants acknowledge cool bears fans watchin know,-0.2732,-0.08333333333333337,-0.35653333333333337,False
4,1569836712532279298,2022-09-13 23:53:33+00:00,jacobinfante24,"Just checked the projected forecast in Green Bay for the Week 2 #Bears game on Sunday night. There's a 60% chance of rain...

If we have to wait another week to see this Luke Getsy offense on a dry football field, I'm going to be so disappointed.",['Bears'],813,29,,,checked projected forecast green bay week 2 game sunday night theres 60 chance rain wait another week see luke getsy offense dry football field im going disappointed,-0.4767,-0.3541666666666667,-0.8308666666666666,False
5,1569836479626547201,2022-09-13 23:52:37+00:00,BarroomNetwork,"We're live tonight at 8pm CT to talk #Bears, #PackersWeek, and welcome the three guests from the @_BearGirls podcast: @Heidiaca, @naslebriones &amp; @almiiss. Catch it here on Twitter or jump into the CHAT on our YouTube page: https://t.co/GLUH3i0468 https://t.co/7reUiH0nZs","['Bears', 'PackersWeek']",8,3,"[User(username='_BearGirls', id=1557826572937076736, displayname='BearGirls 🐻💓', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Heidiaca', id=352124153, displayname='Heidi ➡️ Oso🧸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='naslebriones', id=280104403, displayname='LadyBear🐻⬇️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='almiiss', id=81710494, displayname='𝙰𝚕𝚖𝚊 𝚁. 🦦🇲🇽💜💚💙', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,live tonight 8pm ct talk welcome three guests podcast amp catch twitter jump chat youtube page,0.4588,0.4681818181818182,0.9269818181818181,True
6,1569836040432816128,2022-09-13 23:50:52+00:00,Wi11DeWitt,"Just how much did the #Bears make the 49ers work for every set of downs?

Chicago allowed the fourth-fewest first downs per play. (0.254)",['Bears'],42,7,,,much make 49ers work every set downs chicago allowed fourth fewest first downs per play 0 254,0.34,0.15,0.49,True
7,1569835106092843008,2022-09-13 23:47:10+00:00,cpdoran,"Why are people giving airtime to a failed #Bears OC who was so inept, he traded away one of the best tight ends in football for a stale bag of peanuts? Stop giving him attention FFS.",['Bears'],0,0,,,people giving airtime failed oc inept traded away one best tight ends football stale bag peanuts stop giving attention ffs,-0.0772,-0.04464285714285715,-0.12184285714285716,False
8,1569834895651782657,2022-09-13 23:46:19+00:00,bluegrasskings,"Yeah he did tgst p lsy so mahomes had to do the same move trying to compete😂 &amp; y'all keep hating saying the bears passed on mahomes &amp; Watson but @49ers passed on Mitch, Watson, &amp; mahomes, &amp; Justin so haters is just jealous we had Mitch &amp; was winning &amp; got Justin now #bears 😂😉 https://t.co/oXu6eTA672",['bears'],0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,yeah tgst p lsy mahomes move trying compete amp yall keep hating saying bears passed mahomes amp watson passed mitch watson amp mahomes amp justin haters jealous mitch amp winning amp got justin,-0.5994,0.5,-0.09940000000000004,False
9,1569834806980001793,2022-09-13 23:45:58+00:00,Wi11DeWitt,"#Bears were just one of three teams to not allow a passing touchdown and get two takeaways.

Vikings and Saints were the others.",['Bears'],125,9,,,one three teams allow passing touchdown get two takeaways vikings saints others,0.2263,0.0,0.2263,True
12,1569833557907980288,2022-09-13 23:41:00+00:00,BearsViews,The Bears Succession Plan: What Happens *After* Virginia McCaskey? #BearsBlog #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/FbHnN8z5dI,"['BearsBlog', 'BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,bears succession plan happens virginia mccaskey,0.2023,0.0,0.2023,True
13,1569833362344366080,2022-09-13 23:40:14+00:00,cog_roos,"@robertkschmitz @ErikLambert1 Nick Morrow, Jack Sanborn etc. give confidence to Poles/Eberflus that they don't need to pay $20 mil per year to Roquan. They will let some other team pay him. He won't be even tagged. #Bears",['Bears'],0,1,"[User(username='robertkschmitz', id=405002316, displayname='Robert Schmitz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ErikLambert1', id=319117761, displayname='Erik Lambert', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,nick morrow jack sanborn etc give confidence poles eberflus dont need pay 20 mil per year roquan let team pay wont even tagged,0.5983,0.0,0.5983,True
14,1569832974853541889,2022-09-13 23:38:41+00:00,Wi11DeWitt,"#Bears 13.1 yards per completion ranked third in the NFL in Week 1.

Titans and Eagles tied for first (13.3 yards per completion).",['Bears'],31,6,,,13 1 yards per completion ranked third nfl week 1 titans eagles tied first 13 3 yards per completion,0.0,0.125,0.125,True
