,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1572370271591596033,2022-09-20 23:41:00+00:00,49ersSupporters,"Justin Fields' usage, Trey Lance injury shows road to star QB is very narrow #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/vqe0rYcAw1","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,justin fields usage trey lance injury shows road star qb narrow,-0.4215,-0.2,-0.6214999999999999,False
2,1572369911368011776,2022-09-20 23:39:34+00:00,TheLeftSchuh,"Join me for the Live 49ers Mailbag today, happening in 20 minutes!! Bring your Niners questions with you to the chat! #49ers #FTTB 
https://t.co/LFK7uNviBj","['49ers', 'FTTB']",3,1,,,join live 49ers mailbag today happening 20 minutes bring niners questions chat,0.296,0.13636363636363635,0.43236363636363634,True
5,1572367754438533123,2022-09-20 23:31:00+00:00,49ersSupporters,"Seahawks have been conservative so far, it’s time to let Geno Smith cook #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/GFsNinx2NG","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,seahawks conservative far time let geno smith cook,0.0,0.1,0.1,True
7,1572364990472130560,2022-09-20 23:20:01+00:00,49er_edits,"The #49ers currently have 28 players in the Pro Football Hall of Fame, I had the pleasure of seeing 26 of those busts in person. Congrats to these Niners for being nominated. 10 nominated to get in this year. I still can’t believe Roger Craig didn’t get in. #FTTB https://t.co/kCH2cSNMYh","['49ers', 'FTTB']",8,1,,,currently 28 players pro football hall fame pleasure seeing 26 busts person congrats niners nominated 10 nominated get year still believe roger craig get,0.875,0.0,0.875,True
9,1572362972722348037,2022-09-20 23:12:00+00:00,49ersSupporters,What Kyle Shanahan Told Trey Lance After QB’s Season-Ending Injury #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/LfyU5tph0E,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kyle shanahan told trey lance qb season ending injury,-0.4215,0.0,-0.4215,False
10,1572361446172012549,2022-09-20 23:05:56+00:00,Loustradamus1,Pic is from the ‘93 NFC Divisional Playoff. Niners win 44-3. #FTTB https://t.co/yrGJeFnnkJ,['FTTB'],1,0,,,pic 93 nfc divisional playoff niners win 44 3,0.0258,0.8,0.8258000000000001,True
11,1572356681916469250,2022-09-20 22:47:00+00:00,49ersSupporters,"Fantasy Football waiver wire pickups, players to avoid for Week 3 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/6ca3syfUmp","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,fantasy football waiver wire pickups players avoid week 3,-0.296,0.0,-0.296,False
13,1572355171291734022,2022-09-20 22:41:00+00:00,49ersSupporters,A heartfelt goodbye and a shocking reunion: How Jimmy Garoppolo and the San Francisco 49ers came ... #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/QhDJvv0vdR,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,heartfelt goodbye shocking reunion jimmy garoppolo san francisco 49ers came,0.2023,-0.5,-0.29769999999999996,False
16,1572350137946734594,2022-09-20 22:21:00+00:00,49ersSupporters,"Updated NFL Power Rankings: New 1-32 poll, plus adjustments every team needs to make -- quickly #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/owWUVsBNhK","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,updated nfl power rankings new 1 32 poll plus adjustments every team needs make quickly,0.0,0.23484848484848483,0.23484848484848483,True
17,1572348376804622338,2022-09-20 22:14:00+00:00,49ersSupporters,"NFL picks, predictions against the spread Week 3: Buccaneers best Packers; 49ers solve Broncos; Colts, Raiders fall to 0-3 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/VY1Qc5LLXv","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,nfl picks predictions spread week 3 buccaneers best packers 49ers solve broncos colts raiders fall 0 3,0.7184,1.0,1.7184,True
