,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1574909093998784514,2022-09-27 23:49:23+00:00,Bambamlld,"We've got 99 problems, but Trey ain't one...@treylance09 #treylance #TreyWayOrNoWay #Niners #49ers","['treylance', 'TreyWayOrNoWay', 'Niners', '49ers']",0,0,"[User(username='treylance09', id=2764455717, displayname='Trey Lance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,weve got 99 problems trey aint one,-0.4019,0.0,-0.4019,False
1,1574904469598478339,2022-09-27 23:31:00+00:00,49ersSupporters,Kyle Shanahan defends Jimmy Garoppolo after slow start to season #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/rNlXhL51QJ,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kyle shanahan defends jimmy garoppolo slow start season,0.0,-0.30000000000000004,-0.30000000000000004,False
2,1574901953452285964,2022-09-27 23:21:00+00:00,49ersSupporters,"49ers' defense dominant despite team's losing record, incredible stat shows #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/0X0EWABbCi","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",1,0,,,49ers defense dominant despite teams losing record incredible stat shows,0.3987,0.9,1.2987,True
3,1574901700535754758,2022-09-27 23:20:00+00:00,49ersSupporters,NFL Power Rankings: Where the 49ers Stand Following 'SNF' Loss #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/ik80GnxmaX,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,nfl power rankings 49ers stand following snf loss,-0.3182,0.0,-0.3182,False
4,1574899687802511387,2022-09-27 23:12:00+00:00,49ersSupporters,'Bullcrap Report' of QB Jimmy Garoppolo Trade? 3 Reasons Behind Ron Rivera Truth #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/nGOiFPBBEZ,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,bullcrap report qb jimmy garoppolo trade 3 reasons behind ron rivera truth,0.3182,-0.4,-0.08180000000000004,False
5,1574899436316237827,2022-09-27 23:11:00+00:00,49ersSupporters,"The Good, the Bad and the Ugly: 5 49ers Takeaways from Week 3 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/QhzLfuzB7e","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,good bad ugly 5 49ers takeaways week 3,-0.5994,-0.23333333333333328,-0.8327333333333333,False
6,1574898932605493252,2022-09-27 23:09:00+00:00,49ersSupporters,"Kurtenbach: 49ers Stock Report — who's up, who's down after embarrassing loss to Denver #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/rDUnr43D3o","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kurtenbach 49ers stock report whos whos embarrassing loss denver,-0.5994,0.0,-0.5994,False
7,1574896993423564827,2022-09-27 23:01:18+00:00,49ersSupporters,"Jimmy G appeared to call out Kyle Shanahan's play-calling on SNF: 'All your plays suck, man' #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/Qr5G3e1Pgg","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,jimmy g appeared call kyle shanahans play calling snf plays suck man,0.128,0.0,0.128,True
8,1574896164587151377,2022-09-27 22:58:00+00:00,49ersSupporters,Broncos fans will be glad to hear what happened the last time a team won 11-10 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/2SEjdUNOgV,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,broncos fans glad hear happened last time team 11 10,0.4588,0.25,0.7088,True
9,1574890983237591041,2022-09-27 22:37:25+00:00,akaDafni,We in 2nd place but you’d think we were in negative 20th place by the way #Niners Twitter acts 🙄🙄 https://t.co/2zOSvdsbC3,['Niners'],3,1,,,2nd place think negative 20th place way twitter acts,-0.5719,-0.09999999999999999,-0.6718999999999999,False
