,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1577810620052815878,2022-10-05 23:59:00+00:00,49ersSupporters,49ers overreactions: George Kittle's lack of production cause for concern? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/zDuK25iWFG,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers overreactions george kittles lack production cause concern,-0.3182,0.0,-0.3182,False
2,1577808615725039618,2022-10-05 23:51:02+00:00,49ersSupporters,"The Good, the Bad and the Ugly: 5 Takeaways from Week 4 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/qS7KQenhtq","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,good bad ugly 5 takeaways week 4,-0.5994,-0.23333333333333328,-0.8327333333333333,False
4,1577807852055445514,2022-10-05 23:48:00+00:00,49ersSupporters,"Rams injury problems mount on offense, in secondary #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/xSuESVVkQE","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,rams injury problems mount offense secondary,-0.7579,-0.3,-1.0579,False
6,1577802620344750081,2022-10-05 23:27:13+00:00,TheRealMcKoy85,"Niners/Cowboys again in the playoffs? Who says no? 

Both offenses are questionable, but the defenses make it interesting. #FTTB https://t.co/3PfKO6lTVv",['FTTB'],5,0,,,niners cowboys playoffs says offenses questionable defenses make interesting,-0.0772,0.0,-0.0772,False
9,1577796309494398976,2022-10-05 23:02:08+00:00,49ersSupporters,49ers Surge into the Top 10 of NFL Power Rankings in Week 5 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/FSJzGuXyZL,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers surge top 10 nfl power rankings week 5,0.2023,0.5,0.7023,True
10,1577796083719327744,2022-10-05 23:01:15+00:00,49ersSupporters,"The 49ers Fleeced the Rams, but did They Save their Season? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/EgONZN6jKg","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers fleeced rams save season,0.4939,0.0,0.4939,True
11,1577790992312410113,2022-10-05 22:41:01+00:00,49ersSupporters,"Kawakami: 49ers defense is best in league, maybe team’s best ever — statistical reality check #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/d5fg6N9XE5","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kawakami 49ers defense best league maybe team best ever statistical reality check,0.872,1.0,1.8719999999999999,True
13,1577783131788148740,2022-10-05 22:09:47+00:00,Amaripop,Niners fans will say the first throw at the top was all around greatness and the one at the bottom was a garbage QB being bailed out by his receiver #fttb https://t.co/w9o40Ei26h,['fttb'],5,0,,,niners fans say first throw top around greatness one bottom garbage qb bailed receiver,0.2023,0.375,0.5773,True
14,1577780952692039701,2022-10-05 22:01:07+00:00,49ersSupporters,49ers mailbag: Can Nick Bosa lead 49ers' defense into historic season? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/3lfDPfDVLO,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers mailbag nick bosa lead 49ers defense historic season,0.128,0.0,0.128,True
15,1577780168248139781,2022-10-05 21:58:00+00:00,49ersSupporters,NFL power rankings: 49ers defense helps climb back toward top 10 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/TzpawNBvVP,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,nfl power rankings 49ers defense helps climb back toward top 10,0.5994,0.25,0.8494,True
