,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1582519107484028929,2022-10-18 23:48:51+00:00,akaDafni,"Coulda been Ray Ray but he dropped the pass…
Ok I’m over it. On to the Chiefs #Niners https://t.co/DW36OM3iae",['Niners'],0,0,,,coulda ray ray dropped pass ok chiefs,0.296,0.5,0.796,True
6,1582507148935716866,2022-10-18 23:01:20+00:00,chrisj1914,@Graham_SFN I belive the Niners are the biggest threat to the Niners winning the NFC west. #FTTB,['FTTB'],28,0,"[User(username='Graham_SFN', id=1152455374886207489, displayname='Brad', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-90.959148, latitude=30.167772)",belive niners biggest threat niners winning nfc west,-0.5719,0.5,-0.07189999999999996,False
10,1582498816221401088,2022-10-18 22:28:13+00:00,Javi_Altami,@Tweeeety86 @splash_cousin My thought on Niners interest is that they want the rams to pay more. Hope I’m wrong and we land him! #FTTB,['FTTB'],3,0,"[User(username='Tweeeety86', id=1381169497, displayname='Justine ♥️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='splash_cousin', id=1174202108997971972, displayname='Jordan Elliott', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,thought niners interest want rams pay hope wrong land,0.4019,-0.5,-0.09810000000000002,False
16,1582484942143238152,2022-10-18 21:33:06+00:00,Amaripop,"@ElMarcosSanz @Giantsfaithful3  Can you imagine if Jimmy G threw 57 passes with less than 250 yards, no tds and an INT, what niners Twitter would look like.4.2 yards per pass bruh 🤣🤣🤣🤣 and they on here crying for that #fttb",['fttb'],6,0,"[User(username='ElMarcosSanz', id=165128833, displayname='Marcos Sanz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Giantsfaithful3', id=1242984386, displayname='SFGiantsFaithful3', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,imagine jimmy g threw 57 passes less 250 yards tds int niners twitter would look like 4 2 yards per pass bruh crying,-0.1531,-0.18333333333333335,-0.33643333333333336,False
17,1582484674747985920,2022-10-18 21:32:02+00:00,Amaripop,"@Craig_II Can you imagine if Jimmy G threw 57 passes with less than 250 yards, no tds and an INT, what niners Twitter would look like.4.2 yards per pass bruh 🤣🤣🤣🤣 and they on here crying for that #fttb",['fttb'],2,0,"[User(username='Craig_II', id=1269818060753403904, displayname='Craig', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,imagine jimmy g threw 57 passes less 250 yards tds int niners twitter would look like 4 2 yards per pass bruh crying,-0.1531,-0.18333333333333335,-0.33643333333333336,False
18,1582476971312762880,2022-10-18 21:01:25+00:00,49ersSupporters,Falcons BREAKING: CB Casey Hayward on Injured Reserve #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/XlnT7jNF7o,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,falcons breaking cb casey hayward injured reserve,-0.4019,0.0,-0.4019,False
19,1582474602336309248,2022-10-18 20:52:00+00:00,49ersSupporters,"Aaron Rodgers Says Packers Shouldn't Panic, References Struggles of Bucs, Rams, 49ers #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/cPCehjDMsk","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",1,0,,,aaron rodgers says packers shouldnt panic references struggles bucs rams 49ers,0.5875,0.0,0.5875,True
22,1582473677949370369,2022-10-18 20:48:20+00:00,FMendieta30,Today’s pick up at target! Baby boy we waiting for ya. #niners #FTTB hope this gives us good luck for Sunday. 🙏🏽💪🏽🤙🏽 https://t.co/mXohc56qbe,"['niners', 'FTTB']",64,5,,,today pick target baby boy waiting ya hope gives us good luck sunday,0.8316,0.7,1.5316,True
23,1582469410433818624,2022-10-18 20:31:22+00:00,Trav_isKing,"I want to thank the @49ers &amp; @zennioptical for allowing me to perform at the official Atlanta Invasion rally event, this past weekend, for our #49erFaithful fans! 🫡 #fttb #49ers #zenni #lovemyzennis https://t.co/y4RRu2FyLO","['49erFaithful', 'fttb', '49ers', 'zenni', 'lovemyzennis']",115,14,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zennioptical', id=85618712, displayname='Zenni ®', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,want thank amp allowing perform official atlanta invasion rally event past weekend fans,0.4215,-0.25,0.17149999999999999,True
24,1582465439703044096,2022-10-18 20:15:36+00:00,akaDafni,#Niners Twitter when they can’t blame Jimmy for the loss to the Falcons 🤣🤣🤣 https://t.co/2fHundPJCu,['Niners'],6,0,,,twitter blame jimmy loss falcons,-0.5719,0.0,-0.5719,False
