,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1592666514800668673,2022-11-15 23:51:02+00:00,49ersSupporters,Aaron Banks is Solidifying Himself as a High-End Starter for the 49ers #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/oBVOFH3lXg,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",1,0,,,aaron banks solidifying high end starter 49ers,0.0,0.16,0.16,True
2,1592665779899863040,2022-11-15 23:48:06+00:00,hellablk,@NBCSWarriors Stop they know #kittles and #cmc are married jimmy is cool #cmc is hotter and the #niners are azz “0”,"['kittles', 'cmc', 'cmc', 'niners']",0,0,"[User(username='NBCSWarriors', id=66753565, displayname='Warriors on NBCS', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,stop know married jimmy cool hotter azz 0,0.0258,0.3,0.3258,True
4,1592661226106269698,2022-11-15 23:30:01+00:00,BearDaGoat,This weekend is about to be lit! Mexico City for the #Niners Game lets gooooo,['Niners'],0,0,,,weekend lit mexico city game lets gooooo,0.0,-0.4,-0.4,False
6,1592657961523871745,2022-11-15 23:17:02+00:00,Chase_Senior,"The #49ers signed QB Jacob Eason &amp; WR Dazz Newsome.

Will Kyler Murray play vs. San Francisco on Monday Night?

Latest Niners injury news.

WATCH: https://t.co/6oKXHDjEO0

#FTTB @ChatSports https://t.co/tjvAvZnkdw","['49ers', 'FTTB']",3,5,"[User(username='ChatSports', id=81275395, displayname='Chat Sports', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,signed qb jacob eason amp wr dazz newsome kyler murray play vs san francisco monday night latest niners injury news watch,-0.1027,0.5,0.3973,True
7,1592654075342262272,2022-11-15 23:01:36+00:00,SportsAviation,"🏈 San Francisco 49ers (@49ers) #FTTB
🆚 Arizona Cardinals #BirdCityFootball #SFvsAZ 
🗒️ #Niners to CO for week @ high altitude
‼️ Rare @JetTipNet arrival alert @COSAirport 
✈️ N794UA | UAL2540 | B772
🛫 SJC - 1:11 pm PT
🛬 COS - 4:28 pm MT
📡 Tracking: https://t.co/QbYoRwylAY https://t.co/crtYrZtbva","['FTTB', 'BirdCityFootball', 'SFvsAZ', 'Niners']",1,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JetTipNet', id=845005322720817154, displayname='JetTip', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='COSAirport', id=1470283753, displayname='Colorado Springs Airport', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,san francisco 49ers arizona cardinals co week high altitude rare arrival alert n794ua ual2540 b772 sjc 1 11 pm pt cos 4 28 pm mt tracking,0.296,0.22999999999999998,0.526,True
9,1592648298774802434,2022-11-15 22:38:39+00:00,49ersSportsTalk,"For the #49ers faithful let’s hope not. Kyle Williams 2.0 back there, who has a fumbling problem and can’t run good route. #Niners #NFL https://t.co/HNnqQ2LUPt","['49ers', 'Niners', 'NFL']",10,1,,,faithful let hope kyle williams 2 0 back fumbling problem run good route,0.7184,0.35,1.0684,True
10,1592643098265686017,2022-11-15 22:17:59+00:00,Matthewburt_,This thread of the Niners gun looks makes me want to throw again. The trips formations huge windows and designs for easy targets. 🤌 #FTTB https://t.co/87rAs6bo2W,['FTTB'],1,0,,,thread niners gun looks makes want throw trips formations huge windows designs easy targets,0.4767,0.41666666666666674,0.8933666666666668,True
12,1592640963889238019,2022-11-15 22:09:30+00:00,RHaylock,"NEW BLEAV IN 49ers POD w/@_ericdavis_ on @BleavNetwork 

-game balls! 
-what's up w/ the redzone offense? 
-will the #Niners offense lose its predictability? 

https://t.co/CPvQ8PwFrx

Presented by: @betonline_ag @butcherbox 
#FTTB","['Niners', 'FTTB']",1,1,"[User(username='_ericdavis_', id=1175115521580093440, displayname='Eric Davis', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BleavNetwork', id=220917145, displayname='Bleav', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='betonline_ag', id=852155385213571077, displayname='BetOnline.ag', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='butcherbox', id=3302320059, displayname='ButcherBox', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,new bleav 49ers pod w game balls whats w redzone offense offense lose predictability presented,-0.6908,-0.13181818181818183,-0.8226181818181818,False
13,1592640838735220736,2022-11-15 22:09:00+00:00,49ersSupporters,Chargers HC Brandon Staley Says Defensive Gameplan Against 49ers Was Among the Best He's Called #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/mE2D0EpRx8,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,chargers hc brandon staley says defensive gameplan 49ers among best hes called,0.6486,1.0,1.6486,True
17,1592638567574298624,2022-11-15 21:59:58+00:00,ymnhk22,"🏈Steve Young?! You Might NOT Have Known!
Z-Code ™️ Sports Prediction Systems: Link in the comments and bio.
https://t.co/J5Z5HUrODv
#sportstak #sportsnews #foxsports #espn #nfl #byu #lds #MLB #NBA2K23 #moneyball #NHL  #bettingpicks #bettingtips #espndaily #49ers #Niners","['sportstak', 'sportsnews', 'foxsports', 'espn', 'nfl', 'byu', 'lds', 'MLB', 'NBA2K23', 'moneyball', 'NHL', 'bettingpicks', 'bettingtips', 'espndaily', '49ers', 'Niners']",1,0,,,steve young might known z code sports prediction systems link comments bio,0.0,0.1,0.1,True
