,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1595566085100736514,2022-11-23 23:52:53+00:00,RV014,@49ers @SociosUSA Been a 49ers fan my whole life. Have had the privilege of seeing them play a couple times on the road but unfortunately not at home. Work long hours and it hasn’t been possible to get out to   San Fran. This would be a dream come true. #FTTB https://t.co/72pd41Wb6A,['FTTB'],0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SociosUSA', id=1387148881780224008, displayname='Socios US', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,49ers fan whole life privilege seeing play couple times road unfortunately home work long hours possible get san fran would dream come true,0.8225,0.0,0.8225,True
2,1595565615305162757,2022-11-23 23:51:01+00:00,49ersSupporters,Saints Wednesday Injury Report #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/AYpu1BI9TD,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,saints wednesday injury report,-0.4215,0.0,-0.4215,False
3,1595564857117802497,2022-11-23 23:48:00+00:00,49ersSupporters,Fantasy Football Week 12: Tight End rankings #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/NXwXj7Pnqg,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,fantasy football week 12 tight end rankings,0.0,-0.17857142857142858,-0.17857142857142858,False
4,1595563094897348608,2022-11-23 23:41:00+00:00,49ersSupporters,Why not 49ers vs. Cowboys on Thanksgiving? It's complicated #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/Zalp1ZrfgI,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers vs cowboys thanksgiving complicated,0.0,-0.5,-0.5,False
5,1595562087648043008,2022-11-23 23:37:00+00:00,49ersSupporters,Saints can help save their season with a win against one of their oldest rivals #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/sIW8s3bMWL,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,saints help save season win one oldest rivals,0.8658,0.8,1.6658,True
6,1595561036211437568,2022-11-23 23:32:49+00:00,RusticeTyler,"@49ers @SociosUSA We bleed Red and Gold out here in North Carolina!  Haven’t been back in the Bay Area for over 3 years due to moving out here, but We stay repressing #ninernation #FTTB https://t.co/EWqxMVPXTB","['ninernation', 'FTTB']",0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SociosUSA', id=1387148881780224008, displayname='Socios US', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,bleed red gold north carolina back bay area 3 years due moving stay repressing,-0.4215,-0.041666666666666664,-0.46316666666666667,False
7,1595560992313950214,2022-11-23 23:32:39+00:00,TheRealFTP,"@49ers @SociosUSA #FTTB No matter what the situation, no matter who's on the roster. The love never stops",['FTTB'],2,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SociosUSA', id=1387148881780224008, displayname='Socios US', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,matter situation matter whos roster love never stops,0.7044,0.5,1.2044000000000001,True
8,1595560578919301120,2022-11-23 23:31:00+00:00,49ersSupporters,San Francisco 49ers defeat Arizona Cardinals in Mexico City at Aztec Stadium #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/npRGY2FWgc,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,san francisco 49ers defeat arizona cardinals mexico city aztec stadium,-0.4588,0.0,-0.4588,False
10,1595558351659798528,2022-11-23 23:22:09+00:00,THEWALLY32,Yeah the @49ers ain’t winning the super bowl with 10🤦🏾‍♂️smh… I’ll see you in January king @treylance09 #FTTB https://t.co/VRJjy4QLiJ,['FTTB'],0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='treylance09', id=2764455717, displayname='Trey Lance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,yeah winning super bowl 10 smh see january king,0.802,0.41666666666666663,1.2186666666666666,True
11,1595558062248566786,2022-11-23 23:21:00+00:00,49ersSupporters,49ers Looking Like Contender Following Blowout vs. Cardinals #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/0VmKc8NZYP,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers looking like contender following blowout vs cardinals,0.4588,0.0,0.4588,True
