,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1597741951557804034,2022-11-29 23:59:00+00:00,49ersSupporters,49ers defense playing at Super Bowl level #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/I5azJ3TiTy,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers defense playing super bowl level,0.7351,0.3333333333333333,1.0684333333333333,True
2,1597737533148123137,2022-11-29 23:41:27+00:00,Cary_Showboat_A,"NFL | 2022 | Points Against per Game | Through 11/28/22

#nfl #nflpicks #nflbetting #nflanalysis #stats #leaders #power #rank #offense #defense #pass #rush #touchdown #49ers #SanFrancisco #SanFrancisco49ers #NinersFootball #Niners #DallasCowboys #Dallas #DallasTX #Cowboys https://t.co/6aLnUtWzEt","['nfl', 'nflpicks', 'nflbetting', 'nflanalysis', 'stats', 'leaders', 'power', 'rank', 'offense', 'defense', 'pass', 'rush', 'touchdown', '49ers', 'SanFrancisco', 'SanFrancisco49ers', 'NinersFootball', 'Niners', 'DallasCowboys', 'Dallas', 'DallasTX', 'Cowboys']",4,1,,,nfl 2022 points per game 11 28 22,0.0,-0.4,-0.4,False
3,1597734904833642496,2022-11-29 23:31:00+00:00,49ersSupporters,Jimmy Garoppolo Is Tied For This Crazy 49ers’ Team Record #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/4WlAooBTJe,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,jimmy garoppolo tied crazy 49ers team record,-0.34,-0.6,-0.94,False
4,1597732315987578880,2022-11-29 23:20:43+00:00,zain49ers,This was my first #49ers game…Monday night vs the Bears. Won the game 52-14 and witnessed the longest return TD in Niners history (Don Griffin 99 yards). #FTTB https://t.co/NGU1xBK4pZ,"['49ers', 'FTTB']",29,2,,,first game monday night vs bears game 52 14 witnessed longest return td niners history griffin 99 yards,0.0,-0.18333333333333335,-0.18333333333333335,False
5,1597729871542771712,2022-11-29 23:11:00+00:00,49ersSupporters,"Raheem Mostert further explains 49ers comments, denies Jimmy Garoppolo shot #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/XMgJ5b0GS8","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,raheem mostert explains 49ers comments denies jimmy garoppolo shot,-0.4215,0.0,-0.4215,False
7,1597727702349389826,2022-11-29 23:02:23+00:00,49ersSupporters,Mike McDaniel Makes His Opinion On Nick Bosa Clear #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/pkKYDqozsg,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",1,0,,,mike mcdaniel makes opinion nick bosa clear,0.3818,0.10000000000000002,0.4818,True
9,1597726916551012352,2022-11-29 22:59:15+00:00,Bambamlld,49ers Tuesday | Niners Rain Hell Down On The Saints &amp; Coaches Tell Lies https://t.co/pKtSdHh95g #49ers #49ersTuesday #NOVSSF #49ersvsSaints #JimmyG #KyleShanahan #1D #1Defense #Niners #FTTB #NinerEmpire #1stPlaceNFCWEST #NFCWEST #NinerGangorDontBang,"['49ers', '49ersTuesday', 'NOVSSF', '49ersvsSaints', 'JimmyG', 'KyleShanahan', '1D', '1Defense', 'Niners', 'FTTB', 'NinerEmpire', '1stPlaceNFCWEST', 'NFCWEST', 'NinerGangorDontBang']",3,1,,,49ers tuesday niners rain hell saints amp coaches tell lies,-0.8126,0.0,-0.8126,False
10,1597725344303181824,2022-11-29 22:53:01+00:00,TheRealMcKoy85,Does anyone have any news on whether or not the Niners game is going to be flexed into primetime this weekend? #FTTB #SFvsMIA #SNF #SundayNightFootball #NFL,"['FTTB', 'SFvsMIA', 'SNF', 'SundayNightFootball', 'NFL']",1,0,,,anyone news whether niners game going flexed primetime weekend,0.0,-0.4,-0.4,False
11,1597725342868951046,2022-11-29 22:53:00+00:00,49ersSupporters,"If 49ers defensive coordinator DeMeco Ryans gets hired away, who goes with him? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/SPCL4RRC7M","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers defensive coordinator demeco ryans gets hired away goes,0.0258,0.0,0.0258,True
12,1597724839204323333,2022-11-29 22:51:00+00:00,49ersSupporters,"NFL best bets for Week 13: Our model picks the Jets, Patriots and Dolphins #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/TSJsqxD71A","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,nfl best bets week 13 model picks jets patriots dolphins,0.6369,1.0,1.6369,True
