,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1569836083453493248,2022-09-13 23:51:03+00:00,49ersSupporters,"The 2-Minute Drill I Don't worry about 49ers' Trey Lance, the Rams' offensive woes and trouble in Jerry World #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/lceetnrEp2","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,2 minute drill dont worry 49ers trey lance rams offensive woes trouble jerry world,-0.7347,-0.2,-0.9347000000000001,False
3,1569830787855310851,2022-09-13 23:30:00+00:00,leavingforla,"Shop #FTTB Frames, Phone Cases, Puzzles, Throw Pillows and more! @ &gt;&gt; https://t.co/U4BNHMDCX8 &lt;&lt; #NFL #Football #FootballSunday #sundayfootball #49ers #Niners #ninergang #ninersgang #SanFrancisco #SanFrancisco49ers","['FTTB', 'NFL', 'Football', 'FootballSunday', 'sundayfootball', '49ers', 'Niners', 'ninergang', 'ninersgang', 'SanFrancisco', 'SanFrancisco49ers']",1,1,,,shop frames phone cases puzzles throw pillows gt gt lt lt,0.4939,0.0,0.4939,True
4,1569827366234476544,2022-09-13 23:16:24+00:00,nflrums,#49ers worked out former #Falcons teammates Devonta Freeman and Tevin Coleman who Kyle Shannahan coached in Atlanta. #Niners https://t.co/wmWDuUjYwK,"['49ers', 'Falcons', 'Niners']",600,58,,,worked former teammates devonta freeman tevin coleman kyle shannahan coached atlanta,0.4019,0.0,0.4019,True
5,1569825075934932993,2022-09-13 23:07:18+00:00,kareemslick,@Matt_NFL_ I have nothing against Jimmy G I like the Guy I've always supported him I still can't believe he did this in a Game.  I'm getting dizzy just watching this clip 😂👀🤦🏽‍♂️ #GoNiners #FTTB #Niners #49ers #JimmyGaroppolo,"['GoNiners', 'FTTB', 'Niners', '49ers', 'JimmyGaroppolo']",1,0,"[User(username='Matt_NFL_', id=2925300434, displayname='Matt Daniel', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,nothing jimmy g like guy ive always supported still cant believe game im getting dizzy watching clip,-0.1803,-0.4,-0.5803,False
6,1569820795878412289,2022-09-13 22:50:18+00:00,theninersguy,Niners need a huge bounce back game this weekend. #FTTB,['FTTB'],0,0,,,niners need huge bounce back game weekend,0.3182,1.850371707708594e-17,0.3182,True
13,1569815945987739648,2022-09-13 22:31:01+00:00,49ersSupporters,Elijah Mitchell Placed on Injured Reserve and Other Roster Moves #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/reEudW0KKh,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,elijah mitchell placed injured reserve roster moves,-0.4019,0.0,-0.4019,False
16,1569813431934681088,2022-09-13 22:21:02+00:00,49ersSupporters,Several Green Bay injuries could benefit Chicago Bears #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/SnqWW8Qygu,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,several green bay injuries could benefit chicago bears,0.4588,-0.1,0.3588,True
19,1569809954164318216,2022-09-13 22:07:13+00:00,kareemslick,"@49ers @gkittle46 @EliMitch15 I wish you both a speedy recovery hope you're doing well.  Take your time coming back, your Health is #1, don't stress it we appreciate U Dudes rest up.  #GoNiners #FTTB #Niners #NinerGang #49ers #GeorgeKittle #ElijahMitchell #NinerGang #SanFrancisco49ers","['GoNiners', 'FTTB', 'Niners', 'NinerGang', '49ers', 'GeorgeKittle', 'ElijahMitchell', 'NinerGang', 'SanFrancisco49ers']",0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='gkittle46', id=725897344357519360, displayname='George Kittle', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EliMitch15', id=1283421657458257920, displayname='Elijah Mitchell', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,wish speedy recovery hope youre well take time coming back health dont stress appreciate u dudes rest,0.7766,0.0,0.7766,True
20,1569809947164291072,2022-09-13 22:07:11+00:00,sliccgaming,#MarlonMack going to the @49ers LETS GOOOOOOO! WELCOME TO THE BAY #NFL #Football #NFC #SanFrancisco49ers #ThisIsNinersEmpire #FTTB,"['MarlonMack', 'NFL', 'Football', 'NFC', 'SanFrancisco49ers', 'ThisIsNinersEmpire', 'FTTB']",1,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,going lets gooooooo welcome bay,0.4588,0.8,1.2588,True
22,1569808540143071232,2022-09-13 22:01:36+00:00,kareemslick,"Keep your Head up @treylance09
You'll be okay once you get more reps and experience you'll take things to the next level.  Brush off the Haters, stay focused and don't be hard on yourself.  Stay blessed #GoNiners #FTTB #IGYB #NinerGang #Niners #TreyLance #TreyArea #49ers @49ers","['GoNiners', 'FTTB', 'IGYB', 'NinerGang', 'Niners', 'TreyLance', 'TreyArea', '49ers']",0,0,"[User(username='treylance09', id=2764455717, displayname='Trey Lance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,keep head youll okay get reps experience youll take things next level brush haters stay focused dont hard stay blessed,-0.3716,0.06944444444444443,-0.30215555555555557,False
