,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
2,1572370271591596033,2022-09-20 23:41:00+00:00,49ersSupporters,"Justin Fields' usage, Trey Lance injury shows road to star QB is very narrow #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/vqe0rYcAw1","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,justin fields usage trey lance injury shows road star qb narrow,-0.4215,-0.2,-0.6214999999999999,False
3,1572369911368011776,2022-09-20 23:39:34+00:00,TheLeftSchuh,"Join me for the Live 49ers Mailbag today, happening in 20 minutes!! Bring your Niners questions with you to the chat! #49ers #FTTB 
https://t.co/LFK7uNviBj","['49ers', 'FTTB']",3,1,,,join live 49ers mailbag today happening 20 minutes bring niners questions chat,0.296,0.13636363636363635,0.43236363636363634,True
6,1572367754438533123,2022-09-20 23:31:00+00:00,49ersSupporters,"Seahawks have been conservative so far, it’s time to let Geno Smith cook #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/GFsNinx2NG","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,seahawks conservative far time let geno smith cook,0.0,0.1,0.1,True
8,1572364990472130560,2022-09-20 23:20:01+00:00,49er_edits,"The #49ers currently have 28 players in the Pro Football Hall of Fame, I had the pleasure of seeing 26 of those busts in person. Congrats to these Niners for being nominated. 10 nominated to get in this year. I still can’t believe Roger Craig didn’t get in. #FTTB https://t.co/kCH2cSNMYh","['49ers', 'FTTB']",8,1,,,currently 28 players pro football hall fame pleasure seeing 26 busts person congrats niners nominated 10 nominated get year still believe roger craig get,0.875,0.0,0.875,True
11,1572362972722348037,2022-09-20 23:12:00+00:00,49ersSupporters,What Kyle Shanahan Told Trey Lance After QB’s Season-Ending Injury #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/LfyU5tph0E,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kyle shanahan told trey lance qb season ending injury,-0.4215,0.0,-0.4215,False
12,1572361446172012549,2022-09-20 23:05:56+00:00,Loustradamus1,Pic is from the ‘93 NFC Divisional Playoff. Niners win 44-3. #FTTB https://t.co/yrGJeFnnkJ,['FTTB'],1,0,,,pic 93 nfc divisional playoff niners win 44 3,0.0258,0.8,0.8258000000000001,True
15,1572356681916469250,2022-09-20 22:47:00+00:00,49ersSupporters,"Fantasy Football waiver wire pickups, players to avoid for Week 3 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/6ca3syfUmp","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,fantasy football waiver wire pickups players avoid week 3,-0.296,0.0,-0.296,False
17,1572355171291734022,2022-09-20 22:41:00+00:00,49ersSupporters,A heartfelt goodbye and a shocking reunion: How Jimmy Garoppolo and the San Francisco 49ers came ... #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/QhDJvv0vdR,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,heartfelt goodbye shocking reunion jimmy garoppolo san francisco 49ers came,0.2023,-0.5,-0.29769999999999996,False
18,1572354121482764288,2022-09-20 22:36:50+00:00,BillyBadazz209,"The narrative that @grantcohn &amp; his Father are trying to create on the @49ers is straight up WRONG. Creating accusations with no valid backing is just disgusting. You &amp; your father are attempting to be the @TMZ of the @NFL I’d ban you from the building if I was the @49ers 
#FTTB",['FTTB'],5,0,"[User(username='grantcohn', id=194352411, displayname='Grant Cohn', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TMZ', id=16331010, displayname='TMZ', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NFL', id=19426551, displayname='NFL', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,narrative amp father trying create straight wrong creating accusations valid backing disgusting amp father attempting ban building,-0.7964,-0.43333333333333335,-1.2297333333333333,False
21,1572351674731360256,2022-09-20 22:27:06+00:00,MotionMan,"The @49ers are currently running without their QB1, RB1, TE1, and FS1 (what did I miss?), and STILL have to be considered a strong candidate to represent the NFC in the Super Bowl.

Amazing! #FTTB",['FTTB'],0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,currently running without qb1 rb1 te1 fs1 miss still considered strong candidate represent nfc super bowl amazing,0.7717,0.3416666666666667,1.1133666666666668,True
23,1572350137946734594,2022-09-20 22:21:00+00:00,49ersSupporters,"Updated NFL Power Rankings: New 1-32 poll, plus adjustments every team needs to make -- quickly #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/owWUVsBNhK","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,updated nfl power rankings new 1 32 poll plus adjustments every team needs make quickly,0.0,0.23484848484848483,0.23484848484848483,True
