,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1577810620052815878,2022-10-05 23:59:00+00:00,49ersSupporters,49ers overreactions: George Kittle's lack of production cause for concern? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/zDuK25iWFG,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers overreactions george kittles lack production cause concern,-0.3182,0.0,-0.3182,False
2,1577808615725039618,2022-10-05 23:51:02+00:00,49ersSupporters,"The Good, the Bad and the Ugly: 5 Takeaways from Week 4 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/qS7KQenhtq","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,good bad ugly 5 takeaways week 4,-0.5994,-0.23333333333333328,-0.8327333333333333,False
4,1577807852055445514,2022-10-05 23:48:00+00:00,49ersSupporters,"Rams injury problems mount on offense, in secondary #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/xSuESVVkQE","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,rams injury problems mount offense secondary,-0.7579,-0.3,-1.0579,False
6,1577802620344750081,2022-10-05 23:27:13+00:00,TheRealMcKoy85,"Niners/Cowboys again in the playoffs? Who says no? 

Both offenses are questionable, but the defenses make it interesting. #FTTB https://t.co/3PfKO6lTVv",['FTTB'],5,0,,,niners cowboys playoffs says offenses questionable defenses make interesting,-0.0772,0.0,-0.0772,False
7,1577801187268722688,2022-10-05 23:21:31+00:00,guga7510,Hey guys @49ers @JimmyG_10 @fred_warner @19problemz @JuiceCheck44 @nbsmallerbear @gkittle46 @THE2ERA  thank you for a great win! #KeepWorking #TeamWin #BeatSeahawks✅ #BeatRams✅  next one … #BeatPanthers  #FTTB #SeeYouInFebruary 👍🏻,"['KeepWorking', 'TeamWin', 'BeatSeahawks', 'BeatRams', 'BeatPanthers', 'FTTB', 'SeeYouInFebruary']",0,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JimmyG_10', id=339317307, displayname='Jimmy Garoppolo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fred_warner', id=1258484468, displayname='Fred Warner', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='19problemz', id=589211155, displayname='Deebo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JuiceCheck44', id=1135953494, displayname='Kyle Juszczyk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nbsmallerbear', id=2272468141, displayname='Nick Bosa', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='gkittle46', id=725897344357519360, displayname='George Kittle', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='THE2ERA', id=839889224, displayname='BA', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,hey guys thank great win next one,0.886,0.5333333333333333,1.4193333333333333,True
13,1577796309494398976,2022-10-05 23:02:08+00:00,49ersSupporters,49ers Surge into the Top 10 of NFL Power Rankings in Week 5 #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/FSJzGuXyZL,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers surge top 10 nfl power rankings week 5,0.2023,0.5,0.7023,True
14,1577796083719327744,2022-10-05 23:01:15+00:00,49ersSupporters,"The 49ers Fleeced the Rams, but did They Save their Season? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/EgONZN6jKg","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers fleeced rams save season,0.4939,0.0,0.4939,True
15,1577790992312410113,2022-10-05 22:41:01+00:00,49ersSupporters,"Kawakami: 49ers defense is best in league, maybe team’s best ever — statistical reality check #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/d5fg6N9XE5","['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,kawakami 49ers defense best league maybe team best ever statistical reality check,0.872,1.0,1.8719999999999999,True
16,1577789969648812032,2022-10-05 22:36:57+00:00,CrystalPeachyB,@NothingBut9ers @49ers @MikeAndrews83 @WayneBreezie @socios @NickClarke01 @Ny2ThaBay @49erFaithful365 And you damn right they do!!!!! 🔥🔥🔥🔥🔥🔥 Let’s go!!!! #FTTB ❤️💛,['FTTB'],6,0,"[User(username='NothingBut9ers', id=848631515193987075, displayname='Nothing But Niners', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MikeAndrews83', id=786425904310419456, displayname='Michael Andrews', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='WayneBreezie', id=2569264209, displayname='WayneBreezie', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='socios', id=1001022572186820608, displayname='Socios.com', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NickClarke01', id=323969708, displayname='Nick Clarke', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Ny2ThaBay', id=63786286, displayname='ᴺʸ²ᵀʰᵃᴮᵃʸ', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49erFaithful365', id=250383844, displayname='𝔸𝕝𝕨𝕒𝕪𝕤 𝔽𝕒𝕚𝕥𝕙𝕗𝕦𝕝', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,damn right let go,-0.4019,0.2857142857142857,-0.11618571428571428,False
18,1577786883257421824,2022-10-05 22:24:41+00:00,Chilly49ers,Where my Niner Faithful At !!! 49er Street Squad ready to go live tonight at 6pm …. Join us as we talk MNF and upcoming game against Carolina let’s have some fun ya’ll @Tone01Arevalo @49ers #FTTB #49erfaithful https://t.co/hiF1WNz0eB,"['FTTB', '49erfaithful']",3,0,"[User(username='Tone01Arevalo', id=306636030, displayname='Antonio Arevalo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,niner faithful 49er street squad ready go live tonight 6pm join us talk mnf upcoming game carolina let fun ya,0.872,0.05909090909090908,0.9310909090909091,True
