,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1579984947351212032,2022-10-11 23:59:00+00:00,49ersSupporters,49ers Release Mack; Sign Defensive Tackle T.Y. McGill to Practice Squad #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/pO9vwquOAH,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers release mack sign defensive tackle mcgill practice squad,0.0258,0.0,0.0258,True
2,1579973005362728960,2022-10-11 23:11:33+00:00,akaDafni,"The #Niners FO has proven they will do what they want and whatever is best for the team. They don’t care about your feelings. 2023 will take care of itself...
#FalconsWeek https://t.co/5Se64mdysw","['Niners', 'FalconsWeek']",1,0,,,fo proven want whatever best team care feelings 2023 take care,0.8979,1.0,1.8979,True
7,1579962895999598592,2022-10-11 22:31:23+00:00,OurSf49ers,"POV: Samson Ebukam on the Niners’ intimidating DL 😳 

#49ers || #FTTB 
🎥: @49ers https://t.co/iQjSgmdN7Z","['49ers', 'FTTB']",704,50,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,pov samson ebukam niners intimidating dl,-0.4404,0.0,-0.4404,False
11,1579955215226540033,2022-10-11 22:00:52+00:00,aserious49erfan,Good afternoon 😃 Happy Tuesday ❤️It’s a good day to be a Niners fan 😉#fttb ❤️💛❤️💛 https://t.co/Nc5G2fY4cb,['fttb'],27,2,,,good afternoon happy tuesday good day niners fan,0.8957,0.7333333333333334,1.6290333333333336,True
12,1579954503758946304,2022-10-11 21:58:02+00:00,49ersSupporters,49ers overreactions: Trade for cornerback with Emmanuel Moseley injured? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/Gp81YelWLx,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers overreactions trade cornerback emmanuel moseley injured,-0.4019,0.0,-0.4019,False
17,1579949012748480515,2022-10-11 21:36:13+00:00,SFNinerNoise,"The rest of the #NFCWest is struggling right now with every team but the #49ers losing in Week 5. 

Can the Niners ultimately run away with the division? #FTTB https://t.co/sSyBMo9I6X","['NFCWest', '49ers', 'FTTB']",4,0,,,rest struggling right every team losing week 5 niners ultimately run away division,-0.6597,0.14285714285714285,-0.5168428571428572,False
18,1579947563264143363,2022-10-11 21:30:27+00:00,shawnluke15,@crystalscuor New podcast barely starting. Give us some support ! And keep up the good work. Go Niners!#FTTB,['FTTB'],1,0,"[User(username='crystalscuor', id=3195642990, displayname='𝚌ʀ𝕪𝚜;', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,new podcast barely starting give us support keep good work go niners,0.6808,0.27878787878787875,0.9595878787878787,True
19,1579946436627935232,2022-10-11 21:25:59+00:00,TheRealMcKoy85,"@TacklinFuel88 Oh I hope so. I loved meeting and beating the Cowboys last year. It felt like my childhood all over again. Niners/Cowboys playoff games are electric. 

We did it in Arlington last year…Levi’s this year? #FTTB #DallasCowboys","['FTTB', 'DallasCowboys']",1,0,"[User(username='TacklinFuel88', id=1486390813525377024, displayname='JJ', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-121.336699, latitude=38.525492)",oh hope loved meeting beating cowboys last year felt like childhood niners cowboys playoff games electric arlington last year levi year,0.743,0.2333333333333333,0.9763333333333333,True
21,1579940145461354498,2022-10-11 21:00:59+00:00,Chase_Senior,"Going LIVE on the #49ers Report right now!

- If Jimmy G can just be solid, the #49ers can win the NFC. He played his best game Sunday

- Could the Niners trade for Christian McCaffrey?

- Taking your questions

WATCH: https://t.co/SlQgljifUJ

#FTTB @ChatSports https://t.co/H8CnWvqFvV","['49ers', '49ers', 'FTTB']",6,4,"[User(username='ChatSports', id=81275395, displayname='Chat Sports', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,going live report right jimmy g solid win nfc played best game sunday could niners trade christian mccaffrey taking questions watch,0.8074,0.26029684601113173,1.0676968460111318,True
23,1579937005122727937,2022-10-11 20:48:30+00:00,Hopey168,@Mr_Perrins13 @crystalscuor @3rdandlongukpod The way I see it the more Niners fans we have on the better #FTTB,['FTTB'],1,0,"[User(username='Mr_Perrins13', id=1454911256268267520, displayname='Mr PERRINS Media Teacher', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='crystalscuor', id=3195642990, displayname='𝚌ʀ𝕪𝚜;', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='3rdandlongukpod', id=1416048600530964491, displayname='thirdandlongpod', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,way see niners fans better,0.4404,0.5,0.9404,True
28,1579925393288876032,2022-10-11 20:02:22+00:00,d_roja87,"@jrLlaca A mis 8 vi ese SB y de ahí en adelante los Niners están en mi corazón, grande Young, #FTTB",['FTTB'],1,0,"[User(username='jrLlaca', id=83638140, displayname='José Ramón Llaca', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,mis 8 vi ese sb de ah en adelante los niners est n en mi coraz n grande young,0.0,0.1,0.1,True
