,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1585058377675284482,2022-10-25 23:59:00+00:00,49ersSupporters,Will the 49ers Activate Jason Verrett off Injured Reserve by the Deadline? #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/KQiGXSIFEp,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers activate jason verrett injured reserve deadline,-0.4019,0.0,-0.4019,False
1,1585058120405250049,2022-10-25 23:57:59+00:00,SportsAnthony,Niners play has left a lot to be desired but they’re only one game out of first place chasing a team they dominated already this season. Could be worse…#FTTB https://t.co/AjPEGXrsSm,['FTTB'],2,0,,,niners play left lot desired one game first place chasing team dominated already season could worse,0.1027,-0.1375,-0.03480000000000001,False
2,1585058108405342209,2022-10-25 23:57:56+00:00,akaDafni,@mseveyvee I don’t care what anyone says. I DON’T WANT HIM ANYWHERE NEAR THE #Niners!  That SB he won was over 10 years ago. He’s toxic https://t.co/ET8MzJEuou,['Niners'],1,0,"[User(username='mseveyvee', id=16575260, displayname='Sabrina', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,care anyone says want anywhere near sb 10 years ago toxic,0.5423,0.1,0.6423,True
3,1585057417649266688,2022-10-25 23:55:11+00:00,RipRock81,"Still beat the Niners! 😂🤣😂 
Kyle better stop playing around before Jim Harbaugh takes the job back. #FTTB https://t.co/4VQPd9hW5A",['FTTB'],0,0,,,still beat niners kyle better stop playing around jim harbaugh takes job back,0.3612,0.25,0.6112,True
6,1585052339974860800,2022-10-25 23:35:01+00:00,akaDafni,@Soul_Reepah @49ers Hopefully the Faithful will take over SoFi again! #RedOut #Niners,"['RedOut', 'Niners']",6,1,"[User(username='Soul_Reepah', id=1398061624917856260, displayname='229 El General', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,hopefully faithful take sofi,0.6808,0.0,0.6808,True
7,1585049973871509504,2022-10-25 23:25:37+00:00,azninho25,"If the Niners offense was the MHA Cast: 

McCaffrey: Deku
Kittle: Bakugou
Deebo: Todoroki
Aiyuk: Iida
Trent Williams: Yaoyorozu 
Juice: Kirishima
Jeff Wilson: Jirou 

Jimmy Grossman: MINETA 🤣

#FTTB",['FTTB'],5,0,,,niners offense mha cast mccaffrey deku kittle bakugou deebo todoroki aiyuk iida trent williams yaoyorozu juice kirishima jeff wilson jirou jimmy grossman mineta,-0.25,0.0,-0.25,False
8,1585048288134582273,2022-10-25 23:18:55+00:00,Chilly49ers,After Sunday’s loss I’m not Happy about it and gonna talk about it with my boy Niner G-Pain … tune in tomorrow on 49er Street Squad 6pm pst/9pm est @49ers #FTTB https://t.co/lu4vgYFCLh,['FTTB'],1,0,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,sunday loss happy gonna talk boy niner g pain tune tomorrow 49er street squad 6pm pst 9pm est,-0.2263,0.8,0.5737000000000001,True
9,1585044818300108807,2022-10-25 23:05:08+00:00,Chase_Senior,"ICYMI during the live show:

Will the #49ers trade for their beloved son, Mac Jones?

Plus, even though the Niners got blasted by the Chiefs, I was impressed with Christian McCaffrey.

TAP IN: https://t.co/2m4aGniuNe

#FTTB @ChatSports https://t.co/6hqEOCceVN","['49ers', 'FTTB']",3,3,"[User(username='ChatSports', id=81275395, displayname='Chat Sports', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,icymi live show trade beloved son mac jones plus even though niners got blasted chiefs impressed christian mccaffrey tap,0.7506,0.24727272727272726,0.9978727272727272,True
10,1585044084292558851,2022-10-25 23:02:13+00:00,49ersSupporters,49ers release Tevin Coleman as Jason Verrett roster decision looms #SanFrancisco49ers #49ers #SF49ers #Niners #GoNiners #Ers https://t.co/BkrFUsRy0P,"['SanFrancisco49ers', '49ers', 'SF49ers', 'Niners', 'GoNiners', 'Ers']",0,0,,,49ers release tevin coleman jason verrett roster decision looms,-0.1531,0.0,-0.1531,False
11,1585041612597788672,2022-10-25 22:52:23+00:00,TheBuddersPod,Our Budders Game of the Week #8 is @49ers vs @RamsNFL Who do you think will win? #FTTB #RamsHouse #SFvsLAR #NFLTwitter,"['FTTB', 'RamsHouse', 'SFvsLAR', 'NFLTwitter']",2,4,"[User(username='49ers', id=43403778, displayname='San Francisco 49ers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RamsNFL', id=24109979, displayname='Los Angeles Rams', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,budders game week vs think win,0.5859,0.2,0.7859,True
