,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1569475673764536320,2022-09-12 23:58:54+00:00,MrWStrokerNFL,There are strong reports that #Steelers backup QB Mason Rudolph is going to be traded to the #Cowboys for a future 2023 third-round pick.,"['Steelers', 'Cowboys']",13,0,,,there are strong reports that backup qb mason rudolph is going be traded future 2023 third round pick,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5106}",True,0.5106
1,1569474604158308352,2022-09-12 23:54:39+00:00,Steelersdepot,"Steelers DT Cam Heyward Talks Win vs Bengals, TJ Watt Injury &amp; More with Rich Eisen | Full Interview #Steelers #NFL 
 https://t.co/bbw1W9phea https://t.co/lnKJv6OrPH","['Steelers', 'NFL']",14,1,,,steelers dt cam heyward talks win vs bengals tj watt injury amp more with rich eisen full interview,"{'neg': 0.11, 'neu': 0.589, 'pos': 0.301, 'compound': 0.7076}",True,0.7076
2,1569474061306314757,2022-09-12 23:52:30+00:00,Steelersdepot,Amazing INT by Cam Sutton #Steelers #NFL https://t.co/MmRnIPQSnL,"['Steelers', 'NFL']",72,0,,,amazing int by cam sutton,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",True,0.5859
3,1569473600234856448,2022-09-12 23:50:40+00:00,sdextrasmedia,Neil O'Donnell leads a list #Steelers #NFL https://t.co/ueXtw8GdIg,"['Steelers', 'NFL']",271,28,,,neil odonnell leads list,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1569473257408954368,2022-09-12 23:49:18+00:00,Blitz_Burgh,Neil O’Donnell. 👀 #Steelers #NFL https://t.co/ZW4nMnv9ml,"['Steelers', 'NFL']",268,4,,,neil o donnell,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1569473023966859264,2022-09-12 23:48:22+00:00,sdextrasmedia,Jaylen Warren loves contact #Steelers #NFL https://t.co/YBePWDYevd,"['Steelers', 'NFL']",3629,377,,,jaylen warren loves contact,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",True,0.5719
6,1569472971554832386,2022-09-12 23:48:10+00:00,jrotten77,This is what being a Pittsburgh Steeler is all about.  #HereWeGo #Steelers #SteelersNation https://t.co/t2VI3IkHQt,"['HereWeGo', 'Steelers', 'SteelersNation']",1,0,,"Coordinates(longitude=-95.823268, latitude=29.522325)",this is what being pittsburgh steeler is all about,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1569472654956167168,2022-09-12 23:46:54+00:00,Bob36810941,@PaniniAmerica #steelers,['steelers'],0,0,"[User(username='PaniniAmerica', id=44128979, displayname='Panini America', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1569472614661521409,2022-09-12 23:46:45+00:00,Bob36810941,#steelers https://t.co/zQtMqF3GxM,['steelers'],0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1569472608789499906,2022-09-12 23:46:43+00:00,Blitz_Burgh,Lmfaoooo. #Steelers #NFL https://t.co/Rsmmp1YS63,"['Steelers', 'NFL']",11,0,,,lmfaoooo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
