,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1579622539701415936,2022-10-10 23:58:56+00:00,cochegalo,"💪🏼🔥💪🏼🔥💪🏼🔥💪🏼🔥💪🏼🔥💪🏼🔥
🏈⚫🟡🏈⚫🟡🏈⚫🟡🏈⚫🟡

#Steelers
#HereWeGo https://t.co/1x0Czb3X6k","['Steelers', 'HereWeGo']",0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1579622276252991488,2022-10-10 23:57:53+00:00,PastorRunge,"@davebassili That's right, real Steeler fans stick with the team in good and bad years. This feels like @2000, and late 80's teams. They will get better. #Steelers #SteelersNation","['Steelers', 'SteelersNation']",1,0,"[User(username='davebassili', id=343727382, displayname='The Happiest Hippie', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='2000', id=41782677, displayname='charlie 2000', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,thats right real steeler fans stick with team good bad years this feels like late 80s teams they will get better,"{'neg': 0.122, 'neu': 0.59, 'pos': 0.288, 'compound': 0.5859}",True,0.5859
2,1579622193440641024,2022-10-10 23:57:33+00:00,SilverburghKane,If we are worried about firing OC mid season which …valid point….just bring Ben in to draw plays up in the dirt #Steelers #BenforOC,"['Steelers', 'BenforOC']",1,0,,,if we are worried about firing oc mid season which valid point just bring ben draw plays up dirt,"{'neg': 0.292, 'neu': 0.625, 'pos': 0.083, 'compound': -0.6124}",False,-0.6124
3,1579621717013499906,2022-10-10 23:55:39+00:00,BrioniBoy12,@RenegadeAdam And It slips through his hands into the DB for a pick. 18 needs to take a seat. #Steelers,['Steelers'],0,0,"[User(username='RenegadeAdam', id=1195899596226080773, displayname='Adam Steel', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,it slips through his hands into db pick 18 needs take seat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1579621668175372288,2022-10-10 23:55:28+00:00,the_dowjones,"@Alex_Kozora This is the playcall that made me ask the age old question, which only #Steelers fans can understand is, ""does the QB have the authority to change the play call?"" KP smart enough to check out of this, why didn't he?",['Steelers'],14,0,"[User(username='Alex_Kozora', id=608546437, displayname='Alex Kozora', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,this is playcall that made me ask age old question which only fans can understand is does qb have authority change play call kp smart enough check out this why didnt he,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6597}",True,0.6597
5,1579621556703334400,2022-10-10 23:55:01+00:00,typestruth,"This Sunday ,, 1pm est std 🤷🏻‍♂️ #Steelers https://t.co/tIMaPTHC7U",['Steelers'],2,0,,,this sunday 1pm est std,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1579621489137319937,2022-10-10 23:54:45+00:00,BrioniBoy12,"@RenegadeAdam You guys missed out on Bradshaw. Those were short routes for him. Terry, man… Terry could spin it 60 with his wrist. #Steelers",['Steelers'],5,0,"[User(username='RenegadeAdam', id=1195899596226080773, displayname='Adam Steel', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,you guys missed out bradshaw those were short routes him terry man terry could spin it 60 with his wrist,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",False,-0.296
7,1579621436288737281,2022-10-10 23:54:33+00:00,SilverburghKane,We see the standard is the standard Coach T ….stop sitting on your hands and “make moves” #Steelers,['Steelers'],0,0,,,we see standard is standard coach t stop sitting your hands make moves,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",False,-0.296
8,1579621343825625088,2022-10-10 23:54:10+00:00,MatthewAlan6621,@PaulZeise @BrianGulish @Pitt70115 That’s the thing Tomlin backers always say. “GIVE ME A NAME”. Had 0 idea who Tomlin was before #Steelers hired him.,['Steelers'],1,0,"[User(username='PaulZeise', id=312198098, displayname='Paul Zeise', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BrianGulish', id=75180808, displayname='BG', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Pitt70115', id=1141127540, displayname='The Boy with the Thorn in his Side', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-80.890301, latitude=40.854108)",that s thing tomlin backers always say give me name had 0 idea who tomlin was before hired him,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1579620797316202496,2022-10-10 23:52:00+00:00,SteelersNewsNow,Steelers suffer worst loss since 51-0 to the Browns in 1989 #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/UvWE9XrwRB,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",1,0,,,steelers suffer worst loss since 51 0 browns 1989,"{'neg': 0.664, 'neu': 0.336, 'pos': 0.0, 'compound': -0.872}",False,-0.872
