,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1573462020262854657,2022-09-23 23:59:13+00:00,Steel43644268Go,Diontae Johnson &amp; Najee Harris Frustrated #nflshorts #steelers #najeehar... https://t.co/LotPEwFAPb via @YouTube,"['nflshorts', 'steelers', 'najeehar']",0,0,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,diontae johnson amp najee harris frustrated via,"{'neg': 0.362, 'neu': 0.638, 'pos': 0.0, 'compound': -0.5267}",False,-0.5267
1,1573461485606535168,2022-09-23 23:57:06+00:00,CBSSportsRadio,"Joining @ZachGelb next is @RamonFoster to discuss if it's time for the #Steelers to start Kenny Pickett, preview Tennessee-Florida &amp; more!

Listen Live: https://t.co/t8cAgpuzrb https://t.co/2tkdd2opN8",['Steelers'],1,1,"[User(username='ZachGelb', id=210816603, displayname='Zach Gelb', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RamonFoster', id=2387982769, displayname='Ramon Foster', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,joining next is discuss if its time start kenny pickett preview tennessee florida amp more listen live,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
2,1573461209415811082,2022-09-23 23:56:00+00:00,SteelersNewsNow,Instant analysis: Script flips on Steelers in second half as they stumble in Cleveland #PittsburghSteelers #Steelers #SteelersFans #BlackAndYellow https://t.co/dJQ1WKpxvd,"['PittsburghSteelers', 'Steelers', 'SteelersFans', 'BlackAndYellow']",0,0,,,instant analysis script flips steelers second half as they stumble cleveland,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1573460991735627781,2022-09-23 23:55:08+00:00,StillCurtain,What #Steelers devastating loss means for the future (via @Austin_M_Lloyd) https://t.co/x5vXkFqr36,['Steelers'],3,1,"[User(username='Austin_M_Lloyd', id=1323002515496075264, displayname='Austin Lloyd', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,what devastating loss means future via,"{'neg': 0.623, 'neu': 0.377, 'pos': 0.0, 'compound': -0.765}",False,-0.765
4,1573460919740399628,2022-09-23 23:54:51+00:00,ContraAtaqueDep,"George Pickens hace inverosímil atrapada con los #Steelers

George Pickens, receptor abierto novato de los Steelers se llevó los reflectores con una inverosímil atrapada que ya se postula como una de las mejores en la campaña que acaba de comenzar. https://t.co/HWNWPSq6Lb",['Steelers'],0,0,,,george pickens hace inveros mil atrapada con los george pickens receptor abierto novato de los steelers se llev los reflectores con una inveros mil atrapada que ya se postula como una de las mejores en la campa que acaba de comenzar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1573460568832450560,2022-09-23 23:53:27+00:00,EmilyGiangreco,"John Banaszak and I just starting chatting and he is seriously so kind and has so many amazing stories! 

He’s also wearing his #Steelers Super Bowl XIV ring and said I should try it on! 

I’ve never seen a #SuperBowl ring in person. https://t.co/2QUcGFYwvA","['Steelers', 'SuperBowl']",263,8,,,john banaszak i just starting chatting he is seriously so kind has so many amazing stories he s also wearing his super bowl xiv ring said i should try it i ve never seen ring person,"{'neg': 0.04, 'neu': 0.666, 'pos': 0.294, 'compound': 0.9126}",True,0.9126
6,1573459951300771854,2022-09-23 23:51:00+00:00,SteelersNewsNow,JOIN US: Steelers-Browns postgame YouTube chat with Adam Bittner and Paul Zeise #PittsburghSteelers #Steelers #SteelersFans #BlackAndYellow https://t.co/Fv8PdyQhHe,"['PittsburghSteelers', 'Steelers', 'SteelersFans', 'BlackAndYellow']",0,0,,,join us steelers browns postgame youtube chat with adam bittner paul zeise,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}",True,0.296
7,1573459698291965971,2022-09-23 23:50:00+00:00,SteeIerNation,"#Steelers undrafted free agent Jaylen Warren continues to impress when he touches the football 

https://t.co/3Z0EEL2IQQ",['Steelers'],252,10,,"Coordinates(longitude=-80.519851, latitude=39.719801)",undrafted free agent jaylen warren continues impress when he touches football,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7351}",True,0.7351
8,1573458441271648257,2022-09-23 23:45:00+00:00,SteelersNewsNow,"Steelers notes: Offense gets on track in the first half, for a change #PittsburghSteelers #Steelers #SteelersFans #BlackAndYellow https://t.co/W17oQc0iWp","['PittsburghSteelers', 'Steelers', 'SteelersFans', 'BlackAndYellow']",0,0,,,steelers notes offense gets track first half change,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.25}",False,-0.25
9,1573458175109611521,2022-09-23 23:43:57+00:00,Gibvoice,"Observations from reading the ""Comments"" section following an article about the most recent #Steelers loss on @TheAthletic: There's negativity to be sure, but it's not expressed with the same virulent venom directed at other posters seen in racing Twitter threads/message boards.",['Steelers'],8,0,"[User(username='TheAthletic', id=809532994444591104, displayname='The Athletic', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,observations reading comments section following article about most recent loss theres negativity be sure but its not expressed with same virulent venom directed at other posters seen racing twitter threads message boards,"{'neg': 0.233, 'neu': 0.725, 'pos': 0.043, 'compound': -0.8095}",False,-0.8095
