,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1582159153182937088,2022-10-17 23:58:31+00:00,Steelersdepot,https://t.co/GdcRDx53je | Official Site of the National Football League https://t.co/S8RTqaQo6n #Steelers,['Steelers'],0,1,,,official site national football league,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1582159106143502342,2022-10-17 23:58:20+00:00,PlayMakaBK,"YOOOOOOOOOOOOO, #Steelers won yesterday missing a plethora of players.....

Them dudes AND coaches battled AND WE WON....After 4 straight losses yall.....WE WON....Crazy too, weez A GAME, 1 FREAKING GAME OUTTA 1ST.....

#STEELERNATION &amp; PITTSBURGH MEDIA: https://t.co/OGEqm2ztFg","['Steelers', 'STEELERNATION']",0,0,,,yooooooooooooo won yesterday missing plethora players them dudes coaches battled we won after 4 straight losses yall we won crazy too weez game 1 freaking game outta 1st amp pittsburgh media,"{'neg': 0.272, 'neu': 0.442, 'pos': 0.287, 'compound': 0.4019}",True,0.4019
2,1582158652097826816,2022-10-17 23:56:32+00:00,Blitz_Burgh,"Very True. Also 10% of Steelers Fan Base on Twitter is pure toxicity. Not all Yinz are bad, but there are some real bad ones out there. No matter what the Steelers do they’re always miserable. #Steelers #NFL https://t.co/8WiVyGaY30","['Steelers', 'NFL']",24,1,,,very true also 10 steelers fan base twitter is pure toxicity not all yinz are bad but there are some real bad ones out there no matter what steelers do they re always miserable,"{'neg': 0.307, 'neu': 0.588, 'pos': 0.105, 'compound': -0.9053}",False,-0.9053
3,1582158616999911424,2022-10-17 23:56:24+00:00,Blitz_Burgh,Dotson responds to death threats from fans: 'That's just wild' #Steelers #NFL https://t.co/q7x782BaJO https://t.co/R3xBDoB6qA,"['Steelers', 'NFL']",6,0,,,dotson responds death threats fans thats just wild,"{'neg': 0.528, 'neu': 0.472, 'pos': 0.0, 'compound': -0.7717}",False,-0.7717
4,1582158565824901121,2022-10-17 23:56:11+00:00,Steelersdepot,Kevin Dotson on sack: “I gave up a sack. I don’t know why everyone is going crazy. Maybe because it was Kenny Pickett. I gave up a sack. I won’t deny it. Something happened afterward. I told him sorry. He forgave me. I don’t care what everyone else thinks.” #Steelers,['Steelers'],59,4,,,kevin dotson sack i gave up sack i don t know why everyone is going crazy maybe because it was kenny pickett i gave up sack i won t deny it something happened afterward i told him sorry he forgave me i don t care what everyone else thinks,"{'neg': 0.123, 'neu': 0.688, 'pos': 0.188, 'compound': 0.6369}",True,0.6369
5,1582158409574780938,2022-10-17 23:55:34+00:00,Steelersdepot,Kevin Dotson says he received death threats on social media after rough outing Sunday https://t.co/6eQQSgBwS7 via PFT #Steelers https://t.co/7MTDtzXTmx,['Steelers'],2,2,,,kevin dotson says he received death threats social media after rough outing sunday via pft,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.7717}",False,-0.7717
6,1582158236115144706,2022-10-17 23:54:53+00:00,TDPBSteelers,Absolutely disgusting if you do this crap you're a monster... should never happen... disgusting. #HereWeGo #Steelers https://t.co/Un5P6EkFHc,"['HereWeGo', 'Steelers']",1,1,,,absolutely disgusting if you do this crap youre monster should never happen disgusting,"{'neg': 0.509, 'neu': 0.491, 'pos': 0.0, 'compound': -0.8856}",False,-0.8856
7,1582158210173087744,2022-10-17 23:54:47+00:00,Blitz_Burgh,More from Kevin Dotson: “I gave up a sack. I won’t deny it. Something happened afterward. I told him sorry. He forgave me. I don’t care what everyone else thinks.” #Steelers #NFL,"['Steelers', 'NFL']",168,2,,,more kevin dotson i gave up sack i won t deny it something happened afterward i told him sorry he forgave me i don t care what everyone else thinks,"{'neg': 0.116, 'neu': 0.594, 'pos': 0.291, 'compound': 0.765}",True,0.765
8,1582158155521277952,2022-10-17 23:54:34+00:00,AmazinglyWykked,"Hey #49ers, #Giants and #Steelers fans. How are all of you feeling after Week 6? Let me know in the comments.

#NFL","['49ers', 'Giants', 'Steelers', 'NFL']",0,0,,,hey fans how are all you feeling after week 6 let me know comments,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.128}",True,0.128
9,1582158099175026688,2022-10-17 23:54:20+00:00,BrioniBoy12,"@MichaelBeck56 Belichick owns Tomlin. He could put a HS field hockey team out there and beat CoachCheer. As for the Jets, another team Tomlin never has us ready for. #Steelers #SteelersFootball","['Steelers', 'SteelersFootball']",0,0,"[User(username='MichaelBeck56', id=922561844748808192, displayname='Michael Beck', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,belichick owns tomlin he could put hs field hockey team out there beat coachcheer as jets another team tomlin never has us ready,"{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.2755}",False,-0.2755
