,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1584696117777661953,2022-10-24 23:59:31+00:00,MisterGreen024,"#FireMattCanada 

#Steelers https://t.co/9Om6Qckog0 https://t.co/O1dn7BsQ4r","['FireMattCanada', 'Steelers']",0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
1,1584695990711468032,2022-10-24 23:59:01+00:00,SteelersTres60,HOY ES LUNES DE @iazuara EN #Steelers360 QUUE ANALIZA SIN PELOS EN LA LENGUA Y DE MANERA BRUTAL LA ACTUACIÓN DE KENNY PICKETT Y LOS #Steelers ANOCHE EN MIAMI https://t.co/efx9q93Ezo,"['Steelers360', 'Steelers']",48,5,"[User(username='iazuara', id=61322474, displayname='Coach Ismael Azuara', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,hoy es lunes de en quue analiza sin pelos en la lengua y de manera brutal la actuaci n de kenny pickett y los anoche en miami,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.8271}",False,-0.8271
2,1584694871709093889,2022-10-24 23:54:34+00:00,Steelersdepot,Bears Vs. Patriots Week 7 Monday Night Game Open Discussion Thread https://t.co/oBoxeMzsL6 #Steelers https://t.co/j3FgyNeEaF,['Steelers'],2,0,,,bears vs patriots week 7 monday night game open discussion thread,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1584694227774185472,2022-10-24 23:52:00+00:00,SteelersNewsNow,5 things we learned: Kenny Pickett ranks worst among NFL QBs in multiple stat categories #PittsburghSteelers #Steelers #SteelersFootball #BlackAndYellow https://t.co/xv8yJ5a81r,"['PittsburghSteelers', 'Steelers', 'SteelersFootball', 'BlackAndYellow']",0,0,,,5 things we learned kenny pickett ranks worst among nfl qbs multiple stat categories,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.6249}",False,-0.6249
4,1584693235817271297,2022-10-24 23:48:04+00:00,Steelersdepot,Roethlisberger Reacts To Pickett’s Game-Ending INT: Hate It For Kenny https://t.co/mgXiUYrZSS #Steelers https://t.co/KswIFPuT8R,['Steelers'],33,4,,,roethlisberger reacts pickett s game ending int hate it kenny,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.5719}",False,-0.5719
5,1584692577160527872,2022-10-24 23:45:27+00:00,gschickl,Are any of the teams who picked 1-19 in 2022 #NFL Draft regretful that they did not select Kenny Pickett ahead of #Steelers?  He is who they thought he is.,"['NFL', 'Steelers']",0,0,,,are any teams who picked 1 19 2022 draft regretful that they did not select kenny pickett ahead he is who they thought he is,"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.4404}",False,-0.4404
6,1584692172519272449,2022-10-24 23:43:50+00:00,granger_md,Noteworthy: https://t.co/dmhfVGbEzd #Steelers #SteelerNation #HereWeGo,"['Steelers', 'SteelerNation', 'HereWeGo']",0,0,,"Coordinates(longitude=-84.5968051, latitude=33.895088)",noteworthy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
7,1584690771688845313,2022-10-24 23:38:16+00:00,TommyGB64,"Open letter to #Steelers fans ~ Please, please tell me how exciting those Mitch games were. So much fun to watch right? Get out! At least with Pickett there’s a buzz, some excitement. They are gonna have a rough season no matter what, but at least let it be entertaining #HereWeGo","['Steelers', 'HereWeGo']",5,0,,,open letter fans please please tell me how exciting those mitch games were so much fun watch right get out at least with pickett there s buzz some excitement they are gonna have rough season no matter what but at least let it be entertaining,"{'neg': 0.031, 'neu': 0.688, 'pos': 0.281, 'compound': 0.8776}",True,0.8776
8,1584690151409999872,2022-10-24 23:35:48+00:00,DeeLovesSports,"I normally don't address #Steelers football the Monday after because I form my opinions w/out media influence, I but since this is a Different type of season why not #HereWeGo 

https://t.co/besRUM4c1e https://t.co/b88DnZXkK1","['Steelers', 'HereWeGo']",16,2,,,i normally dont address football monday after because i form my opinions w out media influence i but since this is different type season why not,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1584690018680901632,2022-10-24 23:35:17+00:00,PSO_Sports,"Le'Veon Bell's #Steelers records:
- Career RUSH YPG (86.1)
- Season YScm (2,215)
- Seasons (3) of 1,800+ YScm
- Seasons (3), consecutive seasons (2) of 1,000+ RUSH YDS &amp; 500+ REC YDS
- Career REC (312) by a RB
- Season REC YDS (854), Top3 REC (85) by a RB
https://t.co/Vmo8qUB77Y",['Steelers'],4,0,,,leveon bells records career rush ypg 86 1 season yscm 2 215 seasons 3 1 800 yscm seasons 3 consecutive seasons 2 1 000 rush yds amp 500 rec yds career rec 312 by rb season rec yds 854 top3 rec 85 by rb,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.3818}",False,-0.3818
