,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1577085147689922560,2022-10-03 23:56:14+00:00,NFLProNetwork1,#Steelers ' Kenny Pickett expected to remain starting QB: Rookie hoping to build off record-setting debut https://t.co/5WXwhBgAsA,['Steelers'],4,0,,,kenny pickett expected remain starting qb rookie hoping build off record setting debut,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",True,0.4215
1,1577085033524781056,2022-10-03 23:55:47+00:00,SteelDad,Pickett’s toss to Warren was bad. The decision to go hurry up on first down at the 31 with under 4 minutes to play was just as bad. #MattCanada #Steelers,"['MattCanada', 'Steelers']",3,0,,,pickett s toss warren was bad decision go hurry up first down at 31 with under 4 minutes play was just as bad,"{'neg': 0.255, 'neu': 0.657, 'pos': 0.088, 'compound': -0.6808}",False,-0.6808
2,1577084787684044800,2022-10-03 23:54:48+00:00,M_K_Reynolds,"Faith &gt; Despair
#Steelers https://t.co/Ipf3nYwA51",['Steelers'],0,0,,,faith gt despair,"{'neg': 0.319, 'neu': 0.0, 'pos': 0.681, 'compound': 0.3818}",True,0.3818
3,1577084081678028800,2022-10-03 23:52:00+00:00,SteelersNewsNow,"Jets at Steelers 3 Takeaways | Alijah Vera-Tucker, Nate Herbig Provide 'Stabilizing Combination' on OL #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/ahBmFaaAp7","['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,jets at steelers 3 takeaways alijah vera tucker nate herbig provide stabilizing combination ol,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1577083949717032962,2022-10-03 23:51:29+00:00,R_Casstevens4,"thanks @TeamJuJu, it means a lot. i mean i get, our OC sucks more dick than the kardashians #Steelers #ChiefsKingdom #Chiefs #JUJU","['Steelers', 'ChiefsKingdom', 'Chiefs', 'JUJU']",0,0,"[User(username='TeamJuJu', id=733170759829327874, displayname='JuJu Smith-Schuster', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,thanks it means lot i mean i get our oc sucks more dick than kardashians,"{'neg': 0.321, 'neu': 0.527, 'pos': 0.153, 'compound': -0.4927}",False,-0.4927
5,1577083830871154689,2022-10-03 23:51:00+00:00,SteelersNewsNow,7 big takeaways from Steelers vs Jets #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/kYrACTaCrc,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",1,0,,,7 big takeaways steelers vs jets,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
6,1577083584846127105,2022-10-03 23:50:02+00:00,SteelDad,It’s high time we start talking about Teryl Austin’s defense and not just the offense. #Steelers,['Steelers'],217,5,,,it s high time we start talking about teryl austin s defense not just offense,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.3049}",True,0.3049
7,1577083529464348672,2022-10-03 23:49:48+00:00,BrianGriffiths,"Look, you know I'm no #Steelers fan. But it was dumb as hell to start the season with Trubisky as QB instead of Pickett anyway https://t.co/PcWh04OfBw",['Steelers'],1,0,,,look you know im no fan but it was dumb as hell start season with trubisky as qb instead pickett anyway,"{'neg': 0.4, 'neu': 0.547, 'pos': 0.053, 'compound': -0.9153}",False,-0.9153
8,1577083360694140928,2022-10-03 23:49:08+00:00,SilverburghKane,Is white gonna be out this week also for bills? #Steelers,['Steelers'],0,0,,,is white gonna be out this week also bills,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1577082704197132288,2022-10-03 23:46:32+00:00,AuntB0924,#Browns #HereWeGo #Steelers #RavensFlock #Bengals https://t.co/ntRBfwpd5L,"['Browns', 'HereWeGo', 'Steelers', 'RavensFlock', 'Bengals']",2,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
