,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1572012294472704000,2022-09-19 23:58:32+00:00,derry_diana,Y’all are at it already. 😂 Chill - it’s too early in the season for your nonsense  #Steelers. https://t.co/jP7GjePiAH,['Steelers'],4,0,,,y all are at it already chill it s too early season your nonsense,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",False,-0.4019
1,1572011660000231424,2022-09-19 23:56:00+00:00,SteelersNewsNow,Mitch Trubisky on Kenny Pickett chants: Block it out and continue to play football #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/EOEMSEWblB,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",1,0,,,mitch trubisky kenny pickett chants block it out continue play football,"{'neg': 0.203, 'neu': 0.629, 'pos': 0.168, 'compound': -0.128}",False,-0.128
2,1572011595726716936,2022-09-19 23:55:45+00:00,infinite_prose,#Steelers https://t.co/IFEaxqQ5vl,['Steelers'],0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
3,1572010994813091840,2022-09-19 23:53:22+00:00,Th3Street_Noble,"Mitch Trubisky isn’t the ANSWER! 

Matt Canada isn’t the ANSWER! 

@CoachTomlin make some mores! 

#Steelers #HereWeGo","['Steelers', 'HereWeGo']",0,0,"[User(username='CoachTomlin', id=1482304957, displayname='Mike Tomlin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,mitch trubisky isn t answer matt canada isn t answer make some mores,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
4,1572010938873659392,2022-09-19 23:53:09+00:00,TimotRice,it appears Mitch Trubisky didnt bring none of Josh Allen back with him to Pittsburgh.. #learnsomething  #steelers,"['learnsomething', 'steelers']",3,0,,,it appears mitch trubisky didnt bring none josh allen back with him pittsburgh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
5,1572010399314100224,2022-09-19 23:51:00+00:00,SteelersNewsNow,Cole Strange gives clutch performance in Patriots' Week 2 win vs. Steelers #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/uXrT2W4jyZ,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",1,0,,,cole strange gives clutch performance patriots week 2 win vs steelers,"{'neg': 0.132, 'neu': 0.588, 'pos': 0.279, 'compound': 0.4588}",True,0.4588
6,1572009893254799363,2022-09-19 23:48:59+00:00,Chancellorpink,"#Steelers lose, #Trushitsky sucks again, media blames Canada instead again. Wash, kneel, blow, rinse, swallow, repeat.  🤡😜😇 https://t.co/m7CV5aMOD3","['Steelers', 'Trushitsky']",1,2,,,lose sucks again media blames canada instead again wash kneel blow rinse swallow repeat,"{'neg': 0.418, 'neu': 0.582, 'pos': 0.0, 'compound': -0.7845}",False,-0.7845
7,1572009619375161344,2022-09-19 23:47:54+00:00,Cooney2112,@steelers watching #billstitans. Lots of wide open receivers and quality run plays. Maybe someone over there should be recording the game and copying the playbooks. #steelers,"['billstitans', 'steelers']",0,0,"[User(username='steelers', id=19426729, displayname='Pittsburgh Steelers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,watching lots wide open receivers quality run plays maybe someone over there should be recording game copying playbooks,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",True,0.25
8,1572008893613580288,2022-09-19 23:45:01+00:00,SteelersNewsNow,Highlights of former Tar Heels in action in Week 2 of the NFL season #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/AyKHUmebXd,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,highlights former tar heels action week 2 nfl season,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
9,1572008215063183365,2022-09-19 23:42:19+00:00,OfficialCAT28,I love the Steelers but from that one lose there was a lot of finger pointing… like you guys all fucked up just focus on what needs to be fixed and move on from there. #startpickett #steelers,"['startpickett', 'steelers']",0,0,,,i love steelers but that one lose there was lot finger pointing like you guys all fucked up just focus what needs be fixed move there,"{'neg': 0.264, 'neu': 0.575, 'pos': 0.16, 'compound': -0.7003}",False,-0.7003
