,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1558965694892490754,2022-08-14 23:56:00+00:00,SteelersNewsNow,"The George Pickens show continued Saturday, this time he was in game uniform #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/6QjWVztmFp","['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,george pickens show continued saturday time game uniform,0.0,-0.4,-0.4,False
1,1558964677635350528,2022-08-14 23:51:57+00:00,drMamboFury,@_Dbush11 u are easily the WORST linebacker I have ever seen in my life. How can u play LB when you are AFRAID to tackle.  Can't wait until u are cut/traded. Absolute junk. You need to figure out if football is the right path for u because u gonna cost wins to ur tm8s. #Steelers,['Steelers'],0,0,"[User(username='_Dbush11', id=2294056121, displayname='Devin Bush ll', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,u easily worst linebacker ever seen life u play lb afraid tackle cant wait u cut traded absolute junk need figure football right path u u gonna cost wins ur tm8s,0.6386,-0.16285714285714287,0.4757428571428571,True
2,1558964436831969282,2022-08-14 23:51:00+00:00,SteelersNewsNow,Top 5 Winners from First Week of Steelers Preseason #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/R5T36fpg6L,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,top 5 winners first week steelers preseason,0.5994,0.375,0.9744,True
3,1558963523363000320,2022-08-14 23:47:22+00:00,SteelerSanc16,"Diontae Johnson 
Chase Claypool
George Pickens 
Calvin Austin
Miles Boykin
Gunner Olszewski
Stephen Sims
Tyler Vaughan
Anthony Miller 
Cody White

The #Steelers really are wide receiver wizards man!!",['Steelers'],2,0,,,diontae johnson chase claypool george pickens calvin austin miles boykin gunner olszewski stephen sims tyler vaughan anthony miller cody white really wide receiver wizards man,0.0,-0.05,-0.05,False
4,1558962932016455681,2022-08-14 23:45:01+00:00,SteelersNewsNow,Steelers are able to escape Week 1 of the preseason relatively healthy #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/zCp8zS3IwJ,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",1,0,,,steelers able escape week 1 preseason relatively healthy,0.5267,0.5,1.0267,True
6,1558962100063567872,2022-08-14 23:41:43+00:00,luciocw,"rookie QB sempre é difícil avaliar, mas tenho impressão que #Steelers fez uma boa escolha, bora ver na temporada (e próximas) https://t.co/x1GoRm7euG",['Steelers'],3,0,,,rookie qb sempre dif cil avaliar mas tenho impress que fez uma boa escolha bora ver na temporada e pr ximas,0.4404,0.0,0.4404,True
8,1558961555709997056,2022-08-14 23:39:33+00:00,Steelersdepot,Art Rooney On Tomlin Practice Incentive Method: ‘They’re Playing For Lobster And Steak’ https://t.co/QmeL1rZGmy #Steelers https://t.co/tseFfwclBi,['Steelers'],15,0,,,art rooney tomlin practice incentive method playing lobster steak,0.5106,0.0,0.5106,True
9,1558961339657175040,2022-08-14 23:38:42+00:00,Sugeknight323,"Make sure to join myself and @the_cmorris tomorrow 6pm pst as episode 2 of ""We The AFC North"" podcast breaking down the #Steelers and #RavensFlock pre-season action. We will be talking injuries, stand outs from the pre-season game and news from both teams
https://t.co/hBQNz6Z4SX","['Steelers', 'RavensFlock']",3,2,"[User(username='the_cmorris', id=455839008, displayname='Colin Morris 31-30', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,make sure join tomorrow 6pm pst episode 2 afc north podcast breaking pre season action talking injuries stand outs pre season game news teams,0.5423,0.06666666666666665,0.6089666666666667,True
10,1558961235973906433,2022-08-14 23:38:17+00:00,theNewStandar13,I will worry about the #Steelers Run Defense if it looks bad with the starting 11.,['Steelers'],0,0,,,worry run defense looks bad starting 11,-0.7096,-0.3499999999999999,-1.0595999999999999,False
12,1558960070913818624,2022-08-14 23:33:39+00:00,Jeffrey_Bana,@ClayTravis Kenny Pickett wins MVP and leads the Pittsburgh Steelers to the Super Bowl!! #HereWeGo,['HereWeGo'],2,0,"[User(username='ClayTravis', id=50772918, displayname='Clay Travis', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,kenny pickett wins mvp leads pittsburgh steelers super bowl,0.8225,0.31666666666666665,1.1391666666666667,True
14,1558959404116058113,2022-08-14 23:31:00+00:00,SteelersNewsNow,'What Should I Do?': George Pickens' Hilarious Reason For Doing Antonio Brown's TD Dance #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/NQFTVcPnls,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,george pickens hilarious reason antonio browns td dance,0.4019,0.5,0.9018999999999999,True
