,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1561865179230396416,2022-08-22 23:57:31+00:00,TannerPhiferNFL,The #Steelers signed offensive tackle Adrian Ealy and waived offensive tackle Jordan Tucker @Pro32Network,['Steelers'],3,1,"[User(username='Pro32Network', id=1547330901503270912, displayname='Pro32 Network', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,signed offensive tackle adrian ealy waived offensive tackle jordan tucker,-0.7184,0.0,-0.7184,False
1,1561864801009209348,2022-08-22 23:56:01+00:00,SteelersNewsNow,Steelers Add Two More to Injury Report #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/bXQtX2XW8t,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,steelers add two injury report,-0.4215,0.0,-0.4215,False
2,1561864467058606080,2022-08-22 23:54:41+00:00,Sugeknight323,"Steel Conspiracy  ? Never heard of it 

6pm pst /9pm est it's going down talking #Steelers and #RavensFlock football

https://t.co/gCMy59qD2Q

#HereWeGo #Ravens https://t.co/7qlaXvKfit","['Steelers', 'RavensFlock', 'HereWeGo', 'Ravens']",2,1,,,steel conspiracy never heard 6pm pst 9pm est going talking football,-0.5267,0.0,-0.5267,False
3,1561863835023196162,2022-08-22 23:52:10+00:00,vonToddenstein,"#Steelers are making fools of everyone who said that they would die without #BigBen. I've easily been vindicated for enjoying the season play out as it did and the QB situation is better than average. The challenge, as it has been, will be with the O-line and defense. Not the QB.","['Steelers', 'BigBen']",1,1,,,making fools everyone said would die without ive easily vindicated enjoying season play qb situation better average challenge line defense qb,-0.2425,0.32083333333333336,0.07833333333333337,True
5,1561863789921853441,2022-08-22 23:52:00+00:00,SteelCurtainRis,"And if you're a #Steelers fan who actually remembers the infamous ""Cody Carlson Game"" against the Oilers then you're officially ""old.""

For those too you to remember, @Defeoman tells the story in this @btsteelcurtain classic:
https://t.co/nyFCP3umEB https://t.co/iDUWMSPPk7",['Steelers'],1,0,"[User(username='Defeoman', id=224084846, displayname='Tony Defeo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='btsteelcurtain', id=20337419, displayname='BTSC Steelers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,youre fan actually remembers infamous cody carlson game oilers youre officially old remember tells story classic,0.3182,-0.12666666666666668,0.1915333333333333,True
6,1561863539526090752,2022-08-22 23:51:00+00:00,SteelersNewsNow,Steelers Offensive Line Addresses Preseason Struggles #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/RbqBCJjoEz,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,steelers offensive line addresses preseason struggles,-0.6705,0.0,-0.6705,False
7,1561863179390648329,2022-08-22 23:49:34+00:00,ChrisHalicke,"Cam Heyward returned to #Steelers practice today, which is a huge sigh of relief for this defense. Even so, Heyward is confident in the quality of the depth behind him. @MikesBeerBar 

🏈 7-day FREE trial: https://t.co/QEP5sQHHub
https://t.co/z6pzl3mY5b",['Steelers'],6,3,"[User(username='MikesBeerBar', id=1092517772561711104, displayname=""Mike's Beer Bar 🍺"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=-79.957257, latitude=40.422259)",cam heyward returned practice today huge sigh relief defense even heyward confident quality depth behind 7 day free trial,0.91,0.22500000000000003,1.135,True
8,1561862726414225409,2022-08-22 23:47:46+00:00,Blitz_Burgh,"As Kendrick Green struggles with technique and confidence, the door is open for Kevin Dotson to start on Steelers line #Steelers #NFL https://t.co/cN046xx5Q8 https://t.co/pP5D5Qxncq","['Steelers', 'NFL']",35,0,,,kendrick green struggles technique confidence door open kevin dotson start steelers line,0.2023,-0.1,0.1023,True
14,1561861254905569280,2022-08-22 23:41:55+00:00,Blitz_Burgh,"Mark Robinson, Hamilcar Rashed run with Steelers’ starting defense — for one day, at least #Steelers #NFL https://t.co/QdDtCAFldN https://t.co/2MxJ2CDdSo","['Steelers', 'NFL']",24,1,,,mark robinson hamilcar rashed run steelers starting defense one day least,0.128,-0.15,-0.021999999999999992,False
15,1561861025003094016,2022-08-22 23:41:00+00:00,SteelersNewsNow,Will Kenny Pickett challenge Trubisky for Week 1 Steelers starter role? #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/vVUK1q97b6,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,kenny pickett challenge trubisky week 1 steelers starter role,0.0772,0.0,0.0772,True
18,1561859888535506945,2022-08-22 23:36:30+00:00,DKPSpodcasts,"It's the @dlolley_pgh Show brought to you by @MikesBeerBar: Let’s talk about the state of the QB room and the quality play ALL THREE have provided.

🎧 Our platforms: https://t.co/YV2wAfxJ8Y

#DKPS #Steelers #HereWeGo  https://t.co/oCbSU4o3A7","['DKPS', 'Steelers', 'HereWeGo']",16,7,"[User(username='dlolley_pgh', id=271023902, displayname='Dale Lolley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MikesBeerBar', id=1092517772561711104, displayname=""Mike's Beer Bar 🍺"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,show brought let talk state qb room quality play three provided platforms,0.34,0.0,0.34,True
20,1561859261109510145,2022-08-22 23:34:00+00:00,SteelersNewsNow,Three Steelers Who Can Be Surprise Contributors This Season #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/QfAFFUGBm4,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",0,0,,,three steelers surprise contributors season,0.2732,0.0,0.2732,True
23,1561858254535200769,2022-08-22 23:30:00+00:00,westgate_family,"2021 Panini Phoenix Football T.J. Watt Fire Burst Card 92 SP Pittsburgh Steelers #HereWeGo 
https://t.co/4chFbNEZbY",['HereWeGo'],0,0,,,2021 panini phoenix football j watt fire burst card 92 sp pittsburgh steelers,-0.34,0.0,-0.34,False
24,1561857506229501953,2022-08-22 23:27:02+00:00,TriggeredWise,"This clip from Hard Knocks with the Lions LB coach talking about rookie LB, Malcolm Rodriquez, is exactly how I picture the #Steelers LB meetings went this week with Brian Flores talking about Mark Robinson. https://t.co/H2rapejvAT https://t.co/bnoGRZ9dnU",['Steelers'],40,6,,,clip hard knocks lions lb coach talking rookie lb malcolm rodriquez exactly picture lb meetings went week brian flores talking mark robinson,-0.1027,-0.020833333333333343,-0.12353333333333334,False
