,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,Sentiment_Analysis,Positive_Sentiment,Compound_Sentiment Score
0,1589632788579614721,2022-11-07 14:56:05+00:00,Seth_Jonze,The #cheifs should change their name too. It’s on par with Indians or redskins to me. No way they deserve that name to be clowned as a football team with the chop and chant thing. No. Gotta go too folks.,['cheifs'],0,0,,,should change their name too it s par with indians or redskins me no way they deserve that name be clowned as football team with chop chant thing no gotta go too folks,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.5267}",False,-0.5267
1,1589495990612283392,2022-11-07 05:52:30+00:00,Amirish6,"Another one! 🚨🚨🚨🚨🚨🚨

$50 to $191.88 

Total cash out is $$$241.88 

A live parlay cooked up while at the inlaws with no clue whats happening! 

Guess i choose a good week to get back in the mix. Hopefully everyone else profited 

#cheifs 
#UtahJaz 
#nba 
#bettingtwitter https://t.co/c3kolf6t79","['cheifs', 'UtahJaz', 'nba', 'bettingtwitter']",2,0,,,another one 50 191 88 total cash out is 241 88 live parlay cooked up while at inlaws with no clue whats happening guess i choose good week get back mix hopefully everyone else profited,"{'neg': 0.055, 'neu': 0.748, 'pos': 0.197, 'compound': 0.6908}",True,0.6908
2,1589482495174922240,2022-11-07 04:58:52+00:00,_LatesBaseball,CHEIFS WIN IT. Came back from 17-9 and BEAT THE TITANS. 6th win of the year. GOO JOB @Chiefs . #NFL #cheifs,"['NFL', 'cheifs']",0,0,"[User(username='Chiefs', id=33583496, displayname='Kansas City Chiefs', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,cheifs win it came back 17 9 beat titans 6th win year goo job,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.8225}",True,0.8225
3,1589481431969193984,2022-11-07 04:54:39+00:00,AyeshanMan,Yeah boy got the dub! Go #Cheifs,['Cheifs'],0,0,,,yeah boy got dub go,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}",True,0.296
4,1589480183744323584,2022-11-07 04:49:41+00:00,katiestupak,Just some late night thoughts… I want a connection like Mahomes and Kelce ❤️ #cheifs @SportsGridTV @Chiefs,['cheifs'],2,0,"[User(username='SportsGridTV', id=14993335, displayname='SportsGridTV', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Chiefs', id=33583496, displayname='Kansas City Chiefs', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,just some late night thoughts i want connection like mahomes kelce,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.4215}",True,0.4215
5,1589477722929369089,2022-11-07 04:39:54+00:00,MontelongoApri2,Ugh!!!!!   If someone says flag one more time I’m going to throw up!!!! #Cheifs,['Cheifs'],0,0,,,ugh if someone says flag one more time i m going throw up,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}",False,-0.4215
6,1589472327741636608,2022-11-07 04:18:28+00:00,DrRa6er,Refs gift wrap the game for Kansas! You can try as many times as you’d like for 2 pts #cheifs,['cheifs'],1,0,,,refs gift wrap game kansas you can try as many times as you d like 2 pts,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.6597}",True,0.6597
7,1589470788331061248,2022-11-07 04:12:21+00:00,prettyparieee,Let’s gooooo #cheifs,['cheifs'],0,0,,,let s gooooo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
8,1589445889885544456,2022-11-07 02:33:25+00:00,andy_b_brown,"This is getting hard to watch. C'mon now, let's get something going #Cheifs",['Cheifs'],0,0,,,this is getting hard watch cmon now lets get something going,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}",False,-0.1027
9,1589443352348758018,2022-11-07 02:23:20+00:00,c_shep_3,I hate saying this but give Derick Henry the ball and forget about it. #cheifs,['cheifs'],0,0,,"Coordinates(longitude=-94.733122, latitude=38.868002)",i hate saying this but give derick henry ball forget about it,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.5719}",False,-0.5719
10,1589433727788404736,2022-11-07 01:45:05+00:00,AnimeInADayDude,#Cheifs #Filmred https://t.co/MMtNUdsleK,"['Cheifs', 'Filmred']",0,0,,,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",False,0.0
