,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1569836178655830018,2022-09-13 23:51:25+00:00,pfrumors,The 2021 Defensive Player of the Year avoided a season-ending injury. The #Steelers could have their All-Pro edge rusher back around the midseason point https://t.co/FPrRyMBILM,['Steelers'],4,2,,,2021 defensive player year avoided season ending injury could pro edge rusher back around midseason point,-0.6249,0.0,-0.6249,False
2,1569836082501488642,2022-09-13 23:51:02+00:00,SteelersNewsNow,Season-Opening Win Over Bengals See Steelers Climb Up NFL Power Rankings #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/ZMioHAUOmz,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,season opening win bengals see steelers climb nfl power rankings,0.5859,0.8,1.3859,True
4,1569834870033076225,2022-09-13 23:46:13+00:00,RMASI7777,My new jersey came today. Just in time for my Alaskan cruise (which I will wear on game day) amd for my trip to Pittsburgh next month. #HereWeGo #Steelers #Pickett #FutureQB https://t.co/P5NMNc4AiS,"['HereWeGo', 'Steelers', 'Pickett', 'FutureQB']",0,0,,,new jersey came today time alaskan cruise wear game day amd trip pittsburgh next month,0.0,-0.08787878787878789,-0.08787878787878789,False
5,1569834846670974976,2022-09-13 23:46:08+00:00,NeverQuit214,Yeah at the very end when all the other games were over and the broadcast snapped to the poverty bowl in overtime 🤣 what a joke. No one tunes in to watch #steelers #bengals https://t.co/npLd8ymDBX,"['steelers', 'bengals']",0,0,,,yeah end games broadcast snapped poverty bowl overtime joke one tunes watch,0.0258,0.0,0.0258,True
6,1569834345392914433,2022-09-13 23:44:08+00:00,Steelersdepot,"Garafolo: T.J. Watt's pectoral injury will not require surgery, not season ending https://t.co/xn4Dwxv1a9 #Steelers https://t.co/LUU5JrXpRb",['Steelers'],38,7,,,garafolo j watts pectoral injury require surgery season ending,-0.4215,0.0,-0.4215,False
7,1569833836900454400,2022-09-13 23:42:07+00:00,steelers_n6tion,Pretty sure Minkah had the blocked extra point after this photo was captured. Jamar Chase decided to poke the bear and lost. Lol #HereWeGo #Steelers https://t.co/v5B9nyU3tm,"['HereWeGo', 'Steelers']",400,44,,,pretty sure minkah blocked extra point photo captured jamar chase decided poke bear lost lol,0.5994,0.3875,0.9869000000000001,True
8,1569833779233193985,2022-09-13 23:41:53+00:00,PghSteelersNow,"Berger: Minkah Fitzpatrick proved exactly why he's worth every penny of the big-money contract extension the #Steelers gave him.

https://t.co/d936zveAJr",['Steelers'],60,8,,,berger minkah fitzpatrick proved exactly hes worth every penny big money contract extension gave,0.2263,0.18333333333333335,0.40963333333333335,True
9,1569833715689308162,2022-09-13 23:41:38+00:00,MikedUpSports1,"🚨THE #Steelers @Chris_Wormley43 &amp; friends show is ALMOST HERE! 

And man was it an honor having @highsmith34 on the program 🙏🏻

We talk Bengals, their motivation, &amp; even “Take Over Your Trap.” 🎵🤷🏻‍♂️

FIND IT: @sickpodsteelers @yinzercrazyshow 

🔜🔜🔜🔜🔜🔜🔜 https://t.co/SHx0d9WA8R",['Steelers'],22,4,"[User(username='Chris_Wormley43', id=246585100, displayname='Chris Wormley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='highsmith34', id=2560395802, displayname='Alex Highsmith', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='sickpodsteelers', id=1494715169024454658, displayname='The Sick Podcast - Steelers Crazy!', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='yinzercrazyshow', id=1144671339044855811, displayname='YinzerCrazy.com ⚫️🟡', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,amp friends show almost man honor program talk bengals motivation amp even take trap find,0.7287,0.0,0.7287,True
10,1569833578296672258,2022-09-13 23:41:05+00:00,Steelersdepot,"‘That Was, I Think, The Defense You’re Gonna See’:Ben Roethlisberger on Pittsburgh’s Week 1 Performance https://t.co/A0bVFwcvMf #Steelers https://t.co/4mtsKnbPv1",['Steelers'],46,2,,,think defense gonna see ben roethlisberger pittsburgh week 1 performance,0.128,0.0,0.128,True
11,1569833555647234050,2022-09-13 23:41:00+00:00,SteelersNewsNow,Film Room: Steelers’ Defense Gets Creative To Beat Bengals #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/78IYH0jWNw,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,film room steelers defense gets creative beat bengals,0.5267,0.5,1.0267,True
