,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
1,1577448065685803008,2022-10-04 23:58:21+00:00,ALawRadio,"Who or what is the focus of the #NFL investigation into Tua's health? I'll ask @Outkick insider @ArmandoSalguero when he joins us from Florida. He was in Tampa for #Bucs #Chiefs and we'll hit top headlines from the first month, like the #Steelers QB change. @AfterHoursCBS tonight","['NFL', 'Bucs', 'Chiefs', 'Steelers']",24,3,"[User(username='Outkick', id=334920737, displayname='OutKick', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ArmandoSalguero', id=46939857, displayname='Armando Salguero', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AfterHoursCBS', id=3385448177, displayname='After Hours', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,focus investigation tuas health ill ask insider joins us florida tampa well hit top headlines first month like qb change tonight,0.3818,0.08333333333333333,0.4651333333333333,True
2,1577448037798273024,2022-10-04 23:58:14+00:00,Ol_TimeFootball,"October 4, 1952
#Steelers #Browns 
Otto Graham throws for a career high 401 (21-49-401-3-4)
Jones 4-98-1
Motley 11-49 5-93-1
21-20 #Browns https://t.co/rUWnC185Hk","['Steelers', 'Browns', 'Browns']",17,2,,,october 4 1952 otto graham throws career high 401 21 49 401 3 4 jones 4 98 1 motley 11 49 5 93 1 21 20,0.0,0.38,0.38,True
3,1577447781429657600,2022-10-04 23:57:13+00:00,Alex_Kozora,Nice slab from Kevin Dotson on this rep. #Steelers https://t.co/kvv6ocg5VD,['Steelers'],279,8,,,nice slab kevin dotson rep,0.4215,0.6,1.0215,True
4,1577446406666723330,2022-10-04 23:51:45+00:00,SteelerSanc16,"I don’t want Tomlin fired, but he’s not above criticism either. I’m not sure this team ever wins another Super Bowl until he relinquishes control of the defense #Steelers",['Steelers'],3,0,,,want tomlin fired criticism either sure team ever wins another super bowl relinquishes control defense,0.6369,0.37777777777777777,1.0146777777777778,True
5,1577446239502729217,2022-10-04 23:51:05+00:00,hatcrawler,"NFL PITTSBURGH STEELERS BANNER PATCH 59FIFTY now available from JUSTSPORTSAZ

#newdrop #justsportsaz #justsports #arizona #nfl #pittsburghsteelers #steelers #herewego #pittsburgh #pennsylvania #banner #patch #59fifty #hatcrawler #fitted

https://t.co/RNPJTKnRjd","['newdrop', 'justsportsaz', 'justsports', 'arizona', 'nfl', 'pittsburghsteelers', 'steelers', 'herewego', 'pittsburgh', 'pennsylvania', 'banner', 'patch', '59fifty', 'hatcrawler', 'fitted']",0,0,,,nfl pittsburgh steelers banner patch 59fifty available justsportsaz,0.0,0.4,0.4,True
6,1577445908316360705,2022-10-04 23:49:46+00:00,blakeparnham,John Hussey called both Buffalo’s first and last games of last season. The second straight year he gets #Steelers at #Bills. @BfloFanatics https://t.co/MqUXM9TPMG,"['Steelers', 'Bills']",0,0,"[User(username='BfloFanatics', id=732349559444283392, displayname='Buffalo Fanatics', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,john hussey called buffalo first last games last season second straight year gets,0.2263,0.09,0.3163,True
9,1577444398907916291,2022-10-04 23:43:46+00:00,theseeker428,"I said right from the start, play the best player at QB. 

Can't say for sure they'd be 3-1 rn if they started Pickett, but they'd be 2-2 and probably still in the playoff race. 

#Steelers",['Steelers'],3,0,,,said right start play best player qb cant say sure theyd 3 1 rn started pickett theyd 2 2 probably still playoff race,0.6846,0.5952380952380952,1.2798380952380952,True
15,1577440680896520192,2022-10-04 23:29:00+00:00,SteelersNewsNow,‘Not all at Mitch’s feet’: Mike Tomlin gets brutally honest on replacing Mitch Trubisky with Kenny Pickett #PittsburghSteelers #Steelers #SteelerNation #BlackAndYellow https://t.co/l3rKjXBrvX,"['PittsburghSteelers', 'Steelers', 'SteelerNation', 'BlackAndYellow']",1,0,,,mitch feet mike tomlin gets brutally honest replacing mitch trubisky kenny pickett,-0.1779,0.6,0.4221,True
16,1577439686620241920,2022-10-04 23:25:03+00:00,jlomas72,"If the #Steelers would cut @DAnenih instead of just scratching him every week, I would certainly appreciate him back on the #Titans defense","['Steelers', 'Titans']",24,3,"[User(username='DAnenih', id=4413205093, displayname='David Anenih', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,would cut instead scratching every week would certainly appreciate back defense,0.5423,0.10714285714285714,0.6494428571428571,True
17,1577438998670487552,2022-10-04 23:22:19+00:00,412SteelLIT,Watch Pittsburgh Steelers Fan “Pittsburgh SteelLIT” Live Drunk Reaction When Kenny Pickett Enters The Game Vs. Jets w/ First Pass Attempt Reaction #PittsburghSteelers #SteelersNation #SteelersFootball #steelersfan #HereWeGo        https://t.co/tawYkBAD1z https://t.co/ggWaxXAAEn,"['PittsburghSteelers', 'SteelersNation', 'SteelersFootball', 'steelersfan', 'HereWeGo']",0,0,,,watch pittsburgh steelers fan pittsburgh steellit live drunk reaction kenny pickett enters game vs jets w first pass attempt reaction,-0.0258,-0.12840909090909092,-0.1542090909090909,False
