,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1564764316326416387,2022-08-30 23:57:39+00:00,jhathhorn,"We will discuss who the #Steelers released along with a couple of trades to get to the 53-man roster.  It's the Fan Black and Gold Breakdown Podcast with @JRown32  and @jhathhorn @937theFan 
https://t.co/6HdlkK4Wng",['Steelers'],3,3,"[User(username='JRown32', id=20786050, displayname='Josh Rowntree', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='jhathhorn', id=314199445, displayname='Jeff Hathhorn', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='937theFan', id=108637282, displayname='93.7 The Fan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,discuss released along couple trades get 53 man roster fan black gold breakdown podcast,0.3182,-0.16666666666666666,0.15153333333333333,True
1,1564763900847034368,2022-08-30 23:56:00+00:00,SteelersNewsNow,Steelers biggest surprises during the final cut down day #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/ue1CWnMNNR,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,steelers biggest surprises final cut day,-0.0516,0.0,-0.0516,False
2,1564763822224703489,2022-08-30 23:55:41+00:00,Bradley_Locker,"Strong play from #Steelers corner Levi Wallace in run support here. If Wallace doesn't come up and make this tackle, could have been a huge gain for the Lions. https://t.co/MLvycOSvcO",['Steelers'],0,0,,,strong play corner levi wallace run support wallace doesnt come make tackle could huge gain lions,0.9201,0.4166666666666667,1.3367666666666667,True
4,1564763670567178241,2022-08-30 23:55:05+00:00,3SteelRivers,#Steelers offensive linemen are thanking god on the timeline today because they know they should’ve been cut 💀,['Steelers'],1,0,,,offensive linemen thanking god timeline today know cut,-0.4588,0.0,-0.4588,False
5,1564763328693542921,2022-08-30 23:53:44+00:00,3SteelRivers,"I’m so excited for this upcoming season but I worry a lot about certain positions, depth, and play calling #Steelers",['Steelers'],0,0,,,excited upcoming season worry lot certain positions depth play calling,0.4588,0.29464285714285715,0.7534428571428571,True
7,1564762889021448192,2022-08-30 23:51:59+00:00,enrique12qb,"Listos para llegar a play offs.
#Steelers
#SteelersFootball 
#NFL https://t.co/BYqLt2TroB","['Steelers', 'SteelersFootball', 'NFL']",1,0,,,listos para llegar play offs,0.34,0.0,0.34,True
8,1564762781517488128,2022-08-30 23:51:33+00:00,Steelersdepot,Cynthia Frelund projects 2022 stats for last year's fantasy stars | 'NFL Fantasy Live' https://t.co/z9YI9idrf3 #Steelers https://t.co/AajTzzc4FQ,['Steelers'],2,1,,,cynthia frelund projects 2022 stats last years fantasy stars nfl fantasy live,0.0,0.06818181818181818,0.06818181818181818,True
10,1564761704445116417,2022-08-30 23:47:16+00:00,Jason_Shetler,I’m just glad TJ Watt and Minkah Fitzpatrick were able to crack the #Steelers 53. Wasn’t too certain if either would make it,['Steelers'],6,0,,,glad tj watt minkah fitzpatrick able crack 53 certain either would make,0.6249,0.4047619047619047,1.0296619047619047,True
14,1564760702178451458,2022-08-30 23:43:17+00:00,J_martino11,Kenny Pickett pumping his small fists in the air #Steelers https://t.co/JKYH3V6Yx3,['Steelers'],3,0,,,kenny pickett pumping small fists air,0.0,-0.25,-0.25,False
15,1564760402247835648,2022-08-30 23:42:06+00:00,SteelersNetwork,QB Chris Oladokun visited the #Chiefs today. #Steelers 7th round pick this year.,"['Chiefs', 'Steelers']",36,1,,,qb chris oladokun visited today 7th round pick year,0.0,-0.2,-0.2,False
