,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1599916163794112514,2022-12-05 23:58:33+00:00,Blitz_Burgh,"Hours after visiting his father's grave, Connor Heyward caught his first NFL touchdown #Steelers #NFL https://t.co/hGKbXbhZ8B https://t.co/3AjNSpAtEx","['Steelers', 'NFL']",1912,88,,,hours visiting fathers grave connor heyward caught first nfl touchdown,-0.3818,0.25,-0.13179999999999997,False
1,1599915933228994560,2022-12-05 23:57:38+00:00,BreakingNewzman,Road Game Takeover: Steelers Fans Take Over Atlanta Like Sherman Marching In https://t.co/k3qoqNWIYq #steelers via @pghsteelersnow,['steelers'],3,1,"[User(username='PghSteelersNow', id=1066871596932059138, displayname='Steelers Now', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,road game takeover steelers fans take atlanta like sherman marching via,0.3612,-0.4,-0.0388,False
2,1599915648494186496,2022-12-05 23:56:30+00:00,dmiller10nc,"@diorginyard @NFLALLDAY @NBATopShot Held a @CamHeyward for months because my dude said a reward was coming for doing so. Im ready. I love the @steelers more than anyone out there. Ask anyone I know and they will confirm that. If I have one wish from my endeavors on AD, it is to meet a Steeler. #HereWeGo https://t.co/tzuXyxdUi1",['HereWeGo'],0,0,"[User(username='diorginyard', id=66861536, displayname='Dior Ginyard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NFLALLDAY', id=1438274218534178816, displayname='NFL ALL DAY', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NBATopShot', id=1154808173674389505, displayname='NBA Top Shot', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CamHeyward', id=263869582, displayname='Cam Heyward', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='steelers', id=19426729, displayname='Pittsburgh Steelers', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,held months dude said reward coming im ready love anyone ask anyone know confirm one wish endeavors ad meet steeler,0.9201,0.35,1.2701,True
4,1599914265737105410,2022-12-05 23:51:00+00:00,SteelersNewsNow,OLB Alex Highsmith States Steelers’ Running Game ‘Has Been Huge’ During Win Streak #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/qzJmmuIAJo,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,olb alex highsmith states steelers running game huge win streak,0.7269,0.26666666666666666,0.9935666666666667,True
5,1599914025084542976,2022-12-05 23:50:03+00:00,Pittsburgh_Ball,Wrapping up the Steelers win over the Falcons in Week 13 | Steelers Live The Extra Point #Pittsburgh #Steelers #NFL Video: https://t.co/YFdvmrjQiN,"['Pittsburgh', 'Steelers', 'NFL']",0,0,,,wrapping steelers win falcons week 13 steelers live extra point video,0.5859,0.31212121212121213,0.8980212121212121,True
7,1599912694735572992,2022-12-05 23:44:46+00:00,MitchellHarlan3,"@Steelers_DB If you made a list of the league’s most predictable offenses, where would the #steelers rank?",['steelers'],0,0,"[User(username='Steelers_DB', id=314119463, displayname='Derrick', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,made list league predictable offenses would rank,-0.3612,-0.5,-0.8612,False
8,1599912652356067332,2022-12-05 23:44:35+00:00,JoeSteelerFan,"@Blitz_Burgh You gotta admit,  @DC4LCustomTees did a hell of a job on this tee!   
#steelers https://t.co/SADp1hoQAq",['steelers'],81,7,"[User(username='Blitz_Burgh', id=1005593878743920645, displayname='Blitzburgh', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DC4LCustomTees', id=849622006941319168, displayname='DC4LCustomTees.com', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,gotta admit hell job tee,-0.5859,0.0,-0.5859,False
10,1599912025496641536,2022-12-05 23:42:06+00:00,Blitz_Burgh,What are Yinz thoughts on Tomlin snapping at the fan? Douche move or not that big of a deal? There could be more to the story also. #Steelers #NFL,"['Steelers', 'NFL']",307,2,,,yinz thoughts tomlin snapping fan douche move big deal could story also,-0.0516,0.0,-0.0516,False
12,1599911748533903361,2022-12-05 23:41:00+00:00,SteelersNewsNow,The Pittsburgh Steelers Are In The Middle Of A Historic Turnover-less Streak #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/cLFfY44n7c,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,pittsburgh steelers middle historic turnover less streak,0.0,-0.05555555555555555,-0.05555555555555555,False
13,1599911682763280384,2022-12-05 23:40:44+00:00,realtadams542,"There’s more to this, this guy looks like a guy that’s trying to instigate something and then cutting video that quick… wants attention and got it. #steelers #miketomlin https://t.co/ohW5oPcAaz","['steelers', 'miketomlin']",0,0,,,guy looks like guy trying instigate something cutting video quick wants attention got,0.25,-0.022222222222222216,0.22777777777777777,True
